Date,Open,High,Low,Close,Volume
2018-06-18 05:30:00+05:30,30.0,31.5,28.5,31.5,7006229
2018-06-19 05:30:00+05:30,32.7,33.05,31.0,32.6,2895692
2018-06-20 05:30:00+05:30,31.5,32.2,31.0,31.0,1115553
2018-06-21 05:30:00+05:30,29.45,30.0,29.45,29.65,2854524
2018-06-22 05:30:00+05:30,28.2,29.8,28.2,29.45,1612972
2018-06-25 05:30:00+05:30,30.0,30.0,28.5,28.95,365859
2018-06-26 05:30:00+05:30,28.8,29.4,27.55,28.8,493868
2018-06-27 05:30:00+05:30,28.3,28.3,27.4,27.4,133412
2018-06-28 05:30:00+05:30,26.05,26.05,26.05,26.05,61587
2018-07-02 05:30:00+05:30,27.2,27.25,22.8,25.2,1369795
2018-07-03 05:30:00+05:30,26.95,26.95,24.5,26.35,519628
2018-07-04 05:30:00+05:30,26.0,29.95,25.8,29.6,1033451
2018-07-05 05:30:00+05:30,29.8,31.95,28.6,29.8,1546192
2018-07-06 05:30:00+05:30,29.0,30.9,28.85,30.35,523472
2018-07-09 05:30:00+05:30,30.45,31.4,29.55,30.95,616718
2018-07-10 05:30:00+05:30,30.55,31.85,30.25,31.1,492511
2018-07-11 05:30:00+05:30,31.05,33.4,30.6,31.95,1610144
2018-07-12 05:30:00+05:30,31.8,32.9,30.95,31.1,524503
2018-07-13 05:30:00+05:30,32.5,32.7,31.2,31.45,770830
2018-07-16 05:30:00+05:30,32.4,32.4,30.85,31.1,696778
2018-07-17 05:30:00+05:30,31.65,31.85,30.95,31.45,557931
2018-07-18 05:30:00+05:30,31.5,31.75,29.55,29.75,497514
2018-07-19 05:30:00+05:30,29.8,30.4,28.1,29.7,469529
2018-07-20 05:30:00+05:30,29.95,35.6,29.5,35.4,5891772
2018-07-23 05:30:00+05:30,37.9,42.45,37.1,42.45,2766587
2018-07-24 05:30:00+05:30,45.85,46.65,45.0,46.65,1510186
2018-07-25 05:30:00+05:30,50.7,51.3,47.1,51.3,868232
2018-07-26 05:30:00+05:30,55.8,56.4,48.0,52.9,6847468
2018-07-27 05:30:00+05:30,54.5,54.8,51.15,52.35,1425686
2018-07-30 05:30:00+05:30,52.8,57.55,52.8,57.55,2011508
2018-07-31 05:30:00+05:30,60.4,60.4,58.6,60.4,3461295
2018-08-01 05:30:00+05:30,62.7,63.4,62.3,63.4,1023345
2018-08-02 05:30:00+05:30,66.55,66.55,66.55,66.55,162902
2018-08-03 05:30:00+05:30,69.85,69.85,69.85,69.85,116347
2018-08-06 05:30:00+05:30,73.3,73.3,73.3,73.3,66210
2018-08-07 05:30:00+05:30,71.3,73.0,69.65,69.65,1031500
2018-08-08 05:30:00+05:30,66.2,66.2,66.2,66.2,71603
