Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,44.1,44.35,43.8,44.2,1790247
2015-01-02 05:30:00+05:30,44.2,45.3,44.2,44.95,2926043
2015-01-05 05:30:00+05:30,45.0,46.0,44.85,45.1,3236445
2015-01-06 05:30:00+05:30,44.75,45.75,43.55,44.05,5952755
2015-01-07 05:30:00+05:30,43.9,44.7,43.3,44.15,3820161
2015-01-08 05:30:00+05:30,44.6,45.65,44.45,45.45,4252913
2015-01-09 05:30:00+05:30,46.0,46.1,44.45,44.75,3287270
2015-01-12 05:30:00+05:30,45.0,46.9,44.55,46.75,6675511
2015-01-13 05:30:00+05:30,46.9,47.1,45.15,45.45,3686989
2015-01-14 05:30:00+05:30,45.4,46.2,45.2,45.5,2886982
2015-01-15 05:30:00+05:30,46.05,46.55,45.65,45.95,2940294
2015-01-16 05:30:00+05:30,45.95,46.3,45.55,45.8,2428199
2015-01-19 05:30:00+05:30,46.1,46.9,45.9,46.65,2679229
2015-01-20 05:30:00+05:30,46.65,46.9,46.3,46.55,2863085
2015-01-21 05:30:00+05:30,46.55,46.7,45.7,46.0,2382167
2015-01-22 05:30:00+05:30,46.25,48.25,45.9,47.25,3128197
2015-01-23 05:30:00+05:30,48.0,51.35,47.4,50.85,16688620
2015-01-27 05:30:00+05:30,51.3,51.6,49.65,50.0,7579859
2015-01-28 05:30:00+05:30,49.9,50.9,48.2,49.75,9649877
2015-01-29 05:30:00+05:30,50.2,52.1,49.35,51.6,13789164
2015-01-30 05:30:00+05:30,52.0,53.1,50.5,51.95,17770031
2015-02-02 05:30:00+05:30,52.4,52.75,51.3,51.75,5532687
2015-02-03 05:30:00+05:30,51.95,52.0,49.6,49.85,4843071
2015-02-04 05:30:00+05:30,50.2,51.3,48.8,50.15,6267401
2015-02-05 05:30:00+05:30,50.15,50.15,46.85,47.45,4151083
2015-02-06 05:30:00+05:30,47.55,48.2,46.8,47.1,3076685
2015-02-09 05:30:00+05:30,46.8,47.9,46.05,46.4,3115777
2015-02-10 05:30:00+05:30,46.3,47.6,45.65,46.75,4149516
2015-02-11 05:30:00+05:30,47.0,49.8,47.0,49.4,5724207
2015-02-12 05:30:00+05:30,49.6,52.4,49.4,51.95,10943728
2015-02-13 05:30:00+05:30,51.4,52.35,50.75,50.95,5125304
2015-02-16 05:30:00+05:30,51.05,52.05,49.6,50.5,5007533
2015-02-18 05:30:00+05:30,50.9,51.95,50.65,51.45,3827277
2015-02-19 05:30:00+05:30,51.95,55.7,51.4,55.35,14870563
2015-02-20 05:30:00+05:30,55.95,56.0,54.5,54.8,11644548
2015-02-23 05:30:00+05:30,55.1,57.65,54.45,57.0,17445479
2015-02-24 05:30:00+05:30,56.95,57.9,55.25,56.7,14060818
2015-02-25 05:30:00+05:30,57.15,57.4,55.5,55.85,6905522
2015-02-26 05:30:00+05:30,56.0,56.0,54.65,54.9,6990473
2015-02-27 05:30:00+05:30,55.4,57.55,55.15,57.4,8484593
2015-02-28 05:30:00+05:30,58.0,58.6,54.75,56.05,13627550
2015-03-02 05:30:00+05:30,56.45,56.55,54.55,55.35,5426406
2015-03-03 05:30:00+05:30,56.5,57.5,55.7,57.1,6875563
2015-03-04 05:30:00+05:30,57.9,59.35,56.0,56.6,13880606
2015-03-05 05:30:00+05:30,58.3,60.15,56.6,59.4,24828195
2015-03-09 05:30:00+05:30,58.15,58.15,54.5,54.95,17949958
2015-03-10 05:30:00+05:30,55.0,55.45,51.9,52.25,11832317
2015-03-11 05:30:00+05:30,52.8,53.25,50.65,51.55,11185937
2015-03-12 05:30:00+05:30,51.8,53.1,51.8,52.8,5831158
2015-03-13 05:30:00+05:30,53.3,53.3,49.7,50.0,7207712
2015-03-16 05:30:00+05:30,50.15,51.05,49.4,50.4,4749638
2015-03-17 05:30:00+05:30,50.9,51.1,49.55,50.45,4967676
2015-03-18 05:30:00+05:30,50.7,50.9,49.85,50.15,3976763
2015-03-19 05:30:00+05:30,50.5,50.85,47.75,48.05,5218422
2015-03-20 05:30:00+05:30,48.1,48.1,46.5,47.5,7351440
2015-03-23 05:30:00+05:30,47.9,47.9,46.6,46.75,3762662
2015-03-24 05:30:00+05:30,46.65,47.3,45.75,46.1,4575468
2015-03-25 05:30:00+05:30,46.1,46.75,45.85,46.45,3297809
2015-03-26 05:30:00+05:30,46.0,47.5,45.9,46.35,4091037
2015-03-27 05:30:00+05:30,46.55,47.1,44.65,46.0,6177625
2015-03-30 05:30:00+05:30,46.2,47.8,46.2,47.5,3645315
2015-03-31 05:30:00+05:30,47.8,48.75,46.9,47.3,5860485
2015-04-01 05:30:00+05:30,46.7,48.0,46.7,47.75,3015649
2015-04-06 05:30:00+05:30,47.9,47.95,46.65,47.35,3414042
2015-04-07 05:30:00+05:30,47.45,48.95,47.05,48.65,4573142
2015-04-08 05:30:00+05:30,48.7,49.5,48.1,48.55,3876456
2015-04-09 05:30:00+05:30,49.3,50.25,48.9,49.35,6722073
2015-04-10 05:30:00+05:30,49.4,50.45,48.7,49.8,4018572
2015-04-13 05:30:00+05:30,49.6,50.2,48.8,49.5,3240431
2015-04-15 05:30:00+05:30,49.5,50.15,48.5,48.85,3032189
2015-04-16 05:30:00+05:30,48.85,49.3,47.7,48.05,3422646
2015-04-17 05:30:00+05:30,48.0,48.65,47.05,47.5,2773109
2015-04-20 05:30:00+05:30,47.5,47.5,45.15,45.55,3382155
2015-04-21 05:30:00+05:30,46.25,46.25,44.9,45.05,3229734
2015-04-22 05:30:00+05:30,45.35,45.7,44.3,45.35,2714408
2015-04-23 05:30:00+05:30,45.9,45.9,44.05,44.4,3220619
2015-04-24 05:30:00+05:30,44.25,44.5,43.05,43.65,3968464
2015-04-27 05:30:00+05:30,43.75,44.0,41.8,42.15,3718096
2015-04-28 05:30:00+05:30,42.2,42.7,41.3,42.45,5475322
2015-04-29 05:30:00+05:30,42.9,43.3,42.1,42.85,2566960
2015-04-30 05:30:00+05:30,43.0,43.2,42.2,42.95,4269018
2015-05-04 05:30:00+05:30,43.3,45.05,43.1,44.85,4344402
2015-05-05 05:30:00+05:30,44.55,45.45,44.2,44.55,3012449
2015-05-06 05:30:00+05:30,44.3,44.4,41.9,42.05,3864400
2015-05-07 05:30:00+05:30,42.1,42.35,39.8,40.45,4653215
2015-05-08 05:30:00+05:30,41.0,42.15,41.0,41.8,3506710
2015-05-11 05:30:00+05:30,42.0,44.3,41.6,43.4,7612364
2015-05-12 05:30:00+05:30,42.7,42.7,40.05,40.3,5855277
2015-05-13 05:30:00+05:30,40.5,41.5,40.15,41.1,4862916
2015-05-14 05:30:00+05:30,40.65,41.5,40.4,41.15,3311023
2015-05-15 05:30:00+05:30,41.6,42.15,40.8,41.1,3673391
2015-05-18 05:30:00+05:30,41.7,42.2,41.5,41.9,2757496
2015-05-19 05:30:00+05:30,42.25,42.45,41.5,41.85,2630727
