Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,229.0,229.45,227.5,227.75,208341
2015-01-02 05:30:00+05:30,228.0,231.7,228.0,230.95,582581
2015-01-05 05:30:00+05:30,230.95,233.3,229.55,230.65,967248
2015-01-06 05:30:00+05:30,230.0,230.0,220.75,222.15,1479156
2015-01-07 05:30:00+05:30,222.0,222.95,218.1,220.1,1172388
2015-01-08 05:30:00+05:30,221.95,227.5,221.2,226.4,1084102
2015-01-09 05:30:00+05:30,226.7,228.4,222.05,223.8,1225314
2015-01-12 05:30:00+05:30,223.9,228.6,223.05,228.0,1035171
2015-01-13 05:30:00+05:30,228.0,232.75,226.2,230.1,2105508
2015-01-14 05:30:00+05:30,231.25,233.85,230.05,232.85,3179578
2015-01-15 05:30:00+05:30,235.15,243.5,233.9,240.45,3732809
2015-01-16 05:30:00+05:30,239.5,242.1,237.05,239.35,1204955
2015-01-19 05:30:00+05:30,239.3,247.5,238.5,246.8,2395181
2015-01-20 05:30:00+05:30,247.0,248.95,245.5,247.2,1960237
2015-01-21 05:30:00+05:30,248.0,248.4,243.35,246.65,1033591
2015-01-22 05:30:00+05:30,247.1,249.95,245.1,249.0,2518070
2015-01-23 05:30:00+05:30,250.1,253.4,245.3,252.5,2926698
2015-01-27 05:30:00+05:30,250.5,251.5,245.2,250.2,2395358
2015-01-28 05:30:00+05:30,248.25,252.0,247.0,249.05,2733606
2015-01-29 05:30:00+05:30,248.1,257.05,247.35,255.95,2751278
2015-01-30 05:30:00+05:30,255.0,256.3,241.0,248.75,2568740
2015-02-02 05:30:00+05:30,250.0,250.8,243.55,249.25,845482
2015-02-03 05:30:00+05:30,249.75,252.4,242.5,245.05,2247358
2015-02-04 05:30:00+05:30,246.05,250.95,243.0,248.75,2304210
2015-02-05 05:30:00+05:30,248.0,251.5,245.8,247.55,1218994
2015-02-06 05:30:00+05:30,246.1,250.25,246.0,248.25,864075
2015-02-09 05:30:00+05:30,247.15,251.3,244.0,246.0,807547
2015-02-10 05:30:00+05:30,245.0,252.5,245.0,249.6,1479339
2015-02-11 05:30:00+05:30,250.0,252.0,248.85,250.85,1570176
2015-02-12 05:30:00+05:30,251.55,262.0,251.4,259.7,2027412
2015-02-13 05:30:00+05:30,261.8,266.0,259.0,265.1,1674012
2015-02-16 05:30:00+05:30,264.95,268.0,263.4,266.2,955073
2015-02-18 05:30:00+05:30,265.0,271.5,265.0,270.1,2423402
2015-02-19 05:30:00+05:30,273.0,273.0,262.1,265.05,2789435
2015-02-20 05:30:00+05:30,265.25,266.0,261.15,263.1,830196
2015-02-23 05:30:00+05:30,264.05,265.0,259.25,262.15,1068181
2015-02-24 05:30:00+05:30,262.25,263.45,254.0,257.3,1165496
2015-02-25 05:30:00+05:30,259.9,264.8,258.35,261.05,1385462
2015-02-26 05:30:00+05:30,262.0,264.0,255.55,259.75,3015768
2015-02-27 05:30:00+05:30,260.5,270.35,260.5,269.45,1907559
2015-02-28 05:30:00+05:30,272.6,273.0,264.6,272.1,1000736
2015-03-02 05:30:00+05:30,272.0,287.0,270.4,285.45,2832881
2015-03-03 05:30:00+05:30,285.55,286.0,277.25,281.0,1657278
2015-03-04 05:30:00+05:30,282.1,283.75,273.0,274.65,3325192
2015-03-05 05:30:00+05:30,275.0,276.0,269.05,273.35,1196807
2015-03-09 05:30:00+05:30,274.6,275.0,261.55,263.75,1477604
2015-03-10 05:30:00+05:30,264.8,266.05,258.5,259.5,1755355
2015-03-11 05:30:00+05:30,260.85,263.8,256.15,259.85,1390394
2015-03-12 05:30:00+05:30,261.0,268.7,261.0,264.05,1700626
2015-03-13 05:30:00+05:30,268.0,268.75,254.0,256.0,1480291
2015-03-16 05:30:00+05:30,257.9,259.65,255.15,256.65,976672
2015-03-17 05:30:00+05:30,259.65,260.6,254.15,258.7,1014172
2015-03-18 05:30:00+05:30,259.95,259.95,251.0,252.7,1030832
2015-03-19 05:30:00+05:30,256.8,256.8,250.2,251.7,1354373
2015-03-20 05:30:00+05:30,254.2,258.5,243.0,255.2,1780884
2015-03-23 05:30:00+05:30,256.05,259.0,252.2,256.15,1117431
2015-03-24 05:30:00+05:30,254.9,258.5,251.85,253.35,662042
2015-03-25 05:30:00+05:30,254.9,255.5,246.55,248.8,1470418
2015-03-26 05:30:00+05:30,246.95,251.95,245.4,250.1,1416055
2015-03-27 05:30:00+05:30,251.25,252.9,247.05,250.45,769766
2015-03-30 05:30:00+05:30,252.85,257.9,249.85,257.1,789976
2015-03-31 05:30:00+05:30,257.6,258.7,254.0,255.3,1383023
2015-04-01 05:30:00+05:30,254.95,261.4,253.4,260.25,1346375
2015-04-06 05:30:00+05:30,263.7,264.45,259.2,261.5,2100720
2015-04-07 05:30:00+05:30,261.5,263.55,254.25,260.1,1385846
2015-04-08 05:30:00+05:30,260.3,266.35,256.6,257.65,1722699
2015-04-09 05:30:00+05:30,260.0,260.0,253.55,256.15,1162924
2015-04-10 05:30:00+05:30,256.2,259.3,255.35,258.3,771330
2015-04-13 05:30:00+05:30,259.8,260.2,254.5,257.6,1109353
2015-04-15 05:30:00+05:30,260.4,262.0,257.6,259.95,2877879
2015-04-16 05:30:00+05:30,260.9,260.9,250.0,252.5,3346874
2015-04-17 05:30:00+05:30,250.4,250.95,245.75,246.85,1579668
2015-04-20 05:30:00+05:30,246.25,253.25,243.8,248.05,1651654
2015-04-21 05:30:00+05:30,247.0,247.95,239.25,240.0,1187332
2015-04-22 05:30:00+05:30,240.7,243.6,236.15,242.05,2817535
2015-04-23 05:30:00+05:30,243.85,246.9,236.1,237.6,1605610
2015-04-24 05:30:00+05:30,238.0,238.0,231.7,233.35,1431828
2015-04-27 05:30:00+05:30,234.45,234.45,228.7,230.15,1045609
2015-04-28 05:30:00+05:30,229.9,231.95,224.05,230.55,3076993
2015-04-29 05:30:00+05:30,230.0,241.5,228.2,238.3,4216759
2015-04-30 05:30:00+05:30,235.55,240.8,231.5,232.4,2718627
2015-05-04 05:30:00+05:30,234.3,243.0,232.0,241.3,1225037
2015-05-05 05:30:00+05:30,241.0,241.0,235.8,239.2,1425990
2015-05-06 05:30:00+05:30,239.2,239.4,224.55,226.8,1784868
2015-05-07 05:30:00+05:30,225.0,232.45,222.3,231.4,1204512
2015-05-08 05:30:00+05:30,232.75,239.95,231.65,233.2,1726625
2015-05-11 05:30:00+05:30,233.95,239.4,230.55,238.5,966021
2015-05-12 05:30:00+05:30,239.4,239.4,227.55,228.85,1408233
2015-05-13 05:30:00+05:30,230.75,236.25,228.0,235.15,1485322
2015-05-14 05:30:00+05:30,234.55,237.55,231.15,235.05,1388619
2015-05-15 05:30:00+05:30,234.95,236.95,232.35,234.7,688530
2015-05-18 05:30:00+05:30,235.45,242.9,233.6,240.7,1454344
