Date,Open,High,Low,Close,Volume
2024-09-16 05:30:00+05:30,150.0,165.0,146.0,165.0,636727334
2024-09-17 05:30:00+05:30,175.5,181.5,174.1,181.5,246750377
2024-09-18 05:30:00+05:30,181.0,188.5,171.1,173.66,262499718
2024-09-19 05:30:00+05:30,172.98,175.75,156.29,160.12,162885712
2024-09-20 05:30:00+05:30,162.01,168.2,161.45,163.73,74914958
2024-09-23 05:30:00+05:30,165.75,166.75,160.4,161.63,33914099
2024-09-24 05:30:00+05:30,161.7,162.4,158.05,158.68,27382743
2024-09-25 05:30:00+05:30,157.8,160.0,153.14,154.17,32117117
2024-09-26 05:30:00+05:30,154.0,163.24,150.4,157.89,82292061
2024-09-27 05:30:00+05:30,158.0,160.4,156.55,157.15,21754244
2024-09-30 05:30:00+05:30,156.75,156.84,153.51,154.06,17314972
2024-10-01 05:30:00+05:30,155.0,156.8,152.55,152.92,14893316
2024-10-03 05:30:00+05:30,149.0,151.91,148.67,150.6,19278895
2024-10-04 05:30:00+05:30,152.5,153.75,148.3,150.6,28716395
2024-10-07 05:30:00+05:30,150.6,151.34,135.54,136.03,61077251
2024-10-08 05:30:00+05:30,135.4,149.63,130.35,149.63,65871963
2024-10-09 05:30:00+05:30,152.55,159.62,152.12,155.27,71834457
2024-10-10 05:30:00+05:30,156.5,157.9,148.0,150.84,22236338
2024-10-11 05:30:00+05:30,150.84,152.74,149.6,150.88,12286184
2024-10-14 05:30:00+05:30,150.88,151.05,140.3,141.91,47858709
2024-10-15 05:30:00+05:30,143.8,145.24,138.0,139.9,31179031
2024-10-16 05:30:00+05:30,139.95,143.5,139.27,140.55,23483251
2024-10-17 05:30:00+05:30,140.6,141.67,137.65,138.23,18515750
2024-10-18 05:30:00+05:30,138.0,140.9,135.85,139.33,18526453
2024-10-21 05:30:00+05:30,140.74,142.0,136.03,136.58,15522983
2024-10-22 05:30:00+05:30,141.0,142.33,135.01,136.25,37108671
2024-10-23 05:30:00+05:30,136.5,138.49,134.75,136.83,16796959
2024-10-24 05:30:00+05:30,136.0,136.25,130.86,131.3,20083662
2024-10-25 05:30:00+05:30,131.85,133.25,128.26,131.34,24904712
2024-10-28 05:30:00+05:30,132.97,133.0,130.06,130.9,14815998
2024-10-29 05:30:00+05:30,131.0,132.4,129.31,131.78,12656708
2024-10-30 05:30:00+05:30,131.8,136.85,130.34,134.34,18344655
2024-10-31 05:30:00+05:30,134.5,136.3,132.74,134.11,10985009
2024-11-01 05:30:00+05:30,135.6,138.0,135.5,137.84,7668931
2024-11-04 05:30:00+05:30,138.0,138.25,134.25,135.33,8810870
2024-11-05 05:30:00+05:30,134.39,136.2,133.15,135.13,8984362
2024-11-06 05:30:00+05:30,135.5,138.73,134.9,137.66,11427410
2024-11-07 05:30:00+05:30,138.0,141.5,136.61,138.36,14649948
2024-11-08 05:30:00+05:30,138.36,138.78,135.02,135.46,6783776
2024-11-11 05:30:00+05:30,134.0,134.73,132.67,132.92,5990699
2024-11-12 05:30:00+05:30,133.09,134.38,130.5,130.91,7649915
2024-11-13 05:30:00+05:30,130.0,130.84,128.17,129.3,7793485
2024-11-14 05:30:00+05:30,129.3,130.99,128.6,129.65,7658399
2024-11-18 05:30:00+05:30,130.03,130.7,126.99,127.39,10089105
2024-11-19 05:30:00+05:30,127.84,129.4,127.0,127.51,7845123
2024-11-21 05:30:00+05:30,127.51,127.79,125.41,125.84,8044438
2024-11-22 05:30:00+05:30,125.8,128.4,125.34,126.95,6739102
2024-11-25 05:30:00+05:30,130.0,133.0,128.9,129.34,10271749
