Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,216.02,217.76,214.55,216.61,351338
2015-01-02 05:30:00+05:30,217.18,220.38,216.92,219.25,964267
2015-01-05 05:30:00+05:30,219.04,221.7,218.39,219.19,617381
2015-01-06 05:30:00+05:30,217.8,218.0,211.0,211.9,704450
2015-01-07 05:30:00+05:30,212.0,214.6,208.99,213.34,695826
2015-01-08 05:30:00+05:30,215.98,216.79,214.0,215.52,672487
2015-01-09 05:30:00+05:30,216.88,217.4,210.4,212.09,695275
2015-01-12 05:30:00+05:30,212.0,218.25,211.0,216.0,708730
2015-01-13 05:30:00+05:30,217.0,220.16,215.0,216.32,751110
2015-01-14 05:30:00+05:30,216.02,217.4,213.6,215.01,533002
2015-01-15 05:30:00+05:30,224.4,224.4,218.37,219.64,1311318
2015-01-16 05:30:00+05:30,219.2,219.59,215.71,216.17,567928
2015-01-19 05:30:00+05:30,217.0,219.3,216.42,216.97,515496
2015-01-20 05:30:00+05:30,217.44,219.78,216.8,217.36,830934
2015-01-21 05:30:00+05:30,217.7,227.74,217.7,225.58,2723575
2015-01-22 05:30:00+05:30,228.4,228.4,221.1,223.85,4837641
2015-01-23 05:30:00+05:30,227.45,228.9,219.7,223.1,4098897
2015-01-27 05:30:00+05:30,224.9,224.9,219.5,222.95,2373640
2015-01-28 05:30:00+05:30,222.9,227.85,220.4,223.55,2889375
2015-01-29 05:30:00+05:30,222.85,224.95,216.15,217.15,4185095
2015-01-30 05:30:00+05:30,220.7,220.7,185.6,193.15,26571571
2015-02-02 05:30:00+05:30,192.0,192.05,183.75,187.85,9608649
2015-02-03 05:30:00+05:30,190.0,191.9,184.4,185.05,7684466
2015-02-04 05:30:00+05:30,186.8,188.0,182.05,184.9,4629789
2015-02-05 05:30:00+05:30,185.8,185.8,175.3,177.55,6190147
2015-02-06 05:30:00+05:30,175.55,177.7,169.35,175.95,9804062
2015-02-09 05:30:00+05:30,175.0,178.25,172.5,173.45,5120528
2015-02-10 05:30:00+05:30,171.2,181.2,171.0,176.4,6840733
2015-02-11 05:30:00+05:30,177.9,182.85,177.2,180.95,4844214
2015-02-12 05:30:00+05:30,182.35,182.35,178.05,180.8,3925259
2015-02-13 05:30:00+05:30,182.7,185.3,180.2,182.95,6503715
2015-02-16 05:30:00+05:30,182.95,184.6,180.0,182.75,3812278
2015-02-18 05:30:00+05:30,183.0,184.1,180.0,183.2,2911544
