Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,29.8,30.64,26.39,29.69,455985
2015-01-02 05:30:00+05:30,29.55,29.98,29.14,29.54,300180
2015-01-05 05:30:00+05:30,29.42,29.58,28.9,28.98,196065
2015-01-06 05:30:00+05:30,28.98,29.43,28.21,28.6,390471
2015-01-07 05:30:00+05:30,28.7,33.13,28.7,32.45,2945763
2015-01-08 05:30:00+05:30,32.4,32.98,31.53,31.76,1460592
2015-01-09 05:30:00+05:30,31.97,33.52,31.83,32.35,1149087
2015-01-12 05:30:00+05:30,32.52,33.02,32.01,32.48,827490
2015-01-13 05:30:00+05:30,32.65,34.62,32.58,33.67,1859952
2015-01-14 05:30:00+05:30,33.58,33.89,32.99,33.22,564651
2015-01-15 05:30:00+05:30,33.45,33.72,32.89,33.04,304365
2015-01-16 05:30:00+05:30,33.3,34.03,33.08,33.27,588669
2015-01-19 05:30:00+05:30,33.4,33.67,32.73,32.84,328845
2015-01-20 05:30:00+05:30,33.07,33.15,31.73,31.95,489090
2015-01-21 05:30:00+05:30,32.08,32.76,31.65,31.83,516210
2015-01-22 05:30:00+05:30,32.0,32.83,31.82,32.41,1074138
2015-01-23 05:30:00+05:30,32.72,33.13,32.13,32.49,774999
2015-01-27 05:30:00+05:30,34.57,36.1,33.95,34.39,1598436
2015-01-28 05:30:00+05:30,34.48,34.8,34.12,34.43,533376
2015-01-29 05:30:00+05:30,34.34,34.34,33.48,33.8,312246
2015-01-30 05:30:00+05:30,33.89,34.12,33.37,33.72,233472
2015-02-02 05:30:00+05:30,33.84,35.33,33.43,34.58,567039
2015-02-03 05:30:00+05:30,34.82,36.64,33.8,36.37,1213365
2015-02-04 05:30:00+05:30,36.77,37.1,35.71,35.89,608949
2015-02-05 05:30:00+05:30,35.87,35.89,35.15,35.27,198192
2015-02-06 05:30:00+05:30,35.35,35.89,34.28,34.43,221853
2015-02-09 05:30:00+05:30,34.43,34.47,33.28,33.38,227985
2015-02-10 05:30:00+05:30,33.23,34.42,32.97,33.73,292962
2015-02-11 05:30:00+05:30,34.39,35.55,34.39,35.34,881382
2015-02-12 05:30:00+05:30,35.54,37.46,34.97,37.25,1225317
2015-02-13 05:30:00+05:30,37.52,37.68,36.39,36.57,553902
2015-02-16 05:30:00+05:30,36.82,37.82,36.42,36.97,442941
2015-02-18 05:30:00+05:30,37.27,41.87,37.18,40.34,3018957
2015-02-19 05:30:00+05:30,40.19,40.66,38.45,38.76,1019727
2015-02-20 05:30:00+05:30,38.89,39.79,38.52,38.65,676578
2015-02-23 05:30:00+05:30,38.93,39.37,37.42,37.62,575091
2015-02-24 05:30:00+05:30,38.06,38.54,37.03,37.37,859257
2015-02-25 05:30:00+05:30,37.76,38.23,37.27,37.44,598563
2015-02-26 05:30:00+05:30,37.61,38.17,36.57,36.84,943005
2015-02-27 05:30:00+05:30,37.78,41.26,37.75,38.06,4457982
2015-02-28 05:30:00+05:30,38.76,39.3,36.58,37.69,1450017
2015-03-02 05:30:00+05:30,37.97,37.98,36.62,36.79,687732
2015-03-03 05:30:00+05:30,36.99,37.23,36.42,36.77,525792
