Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,325.4,335.04,322.88,333.21,2035844
2015-01-02 05:30:00+05:30,334.03,336.97,332.38,335.18,2313640
2015-01-05 05:30:00+05:30,336.28,336.28,326.5,327.74,1328384
2015-01-06 05:30:00+05:30,326.96,326.96,319.89,325.17,3241335
2015-01-07 05:30:00+05:30,323.15,328.71,321.82,325.95,4054262
2015-01-08 05:30:00+05:30,327.38,333.25,324.26,331.6,5872564
2015-01-09 05:30:00+05:30,332.84,335.04,324.99,326.69,3170860
2015-01-12 05:30:00+05:30,326.6,326.6,318.7,320.4,1884233
2015-01-13 05:30:00+05:30,321.27,323.47,316.13,317.96,1327478
2015-01-14 05:30:00+05:30,318.56,319.71,316.45,317.51,2826142
2015-01-15 05:30:00+05:30,317.78,323.75,315.21,320.77,4109483
2015-01-16 05:30:00+05:30,318.61,323.2,311.35,314.8,8092411
2015-01-19 05:30:00+05:30,315.76,323.47,313.93,321.78,2801248
2015-01-20 05:30:00+05:30,321.78,327.79,319.57,325.86,2392381
2015-01-21 05:30:00+05:30,325.95,339.73,325.49,338.81,4181293
2015-01-22 05:30:00+05:30,342.8,343.35,331.6,339.73,2071143
2015-01-23 05:30:00+05:30,342.44,356.02,341.56,352.67,5188056
2015-01-27 05:30:00+05:30,351.39,362.68,350.38,361.95,4359810
2015-01-28 05:30:00+05:30,361.49,363.32,341.2,343.03,3716011
2015-01-29 05:30:00+05:30,344.13,349.37,333.35,345.05,6241264
2015-01-30 05:30:00+05:30,349.64,349.64,336.19,343.12,4476147
2015-02-02 05:30:00+05:30,339.73,342.8,327.33,329.9,3440191
2015-02-03 05:30:00+05:30,330.68,343.4,330.64,341.15,3510627
2015-02-04 05:30:00+05:30,344.32,346.43,335.14,338.76,4580324
2015-02-05 05:30:00+05:30,339.73,341.47,330.59,334.86,6834677
2015-02-06 05:30:00+05:30,335.04,339.73,329.63,338.12,2746521
2015-02-09 05:30:00+05:30,335.14,335.78,324.35,326.96,2507587
2015-02-10 05:30:00+05:30,326.23,332.2,324.12,327.01,5666236
2015-02-11 05:30:00+05:30,327.74,331.14,319.53,326.96,2887560
2015-02-12 05:30:00+05:30,329.63,330.41,320.72,323.84,3609580
2015-02-13 05:30:00+05:30,324.85,327.33,320.72,325.95,2795156
2015-02-16 05:30:00+05:30,324.12,335.55,323.2,331.78,1949489
2015-02-18 05:30:00+05:30,333.35,333.8,321.82,323.2,2820810
2015-02-19 05:30:00+05:30,325.91,329.08,321.55,327.51,2529933
2015-02-20 05:30:00+05:30,325.95,329.44,319.76,320.77,3369756
2015-02-23 05:30:00+05:30,319.53,322.19,316.96,318.88,1994981
2015-02-24 05:30:00+05:30,317.78,321.23,312.27,314.06,6116114
2015-02-25 05:30:00+05:30,318.52,321.82,316.45,320.08,2385468
2015-02-26 05:30:00+05:30,321.36,323.75,317.92,320.77,3783273
2015-02-27 05:30:00+05:30,320.44,328.8,318.93,326.14,3071003
