Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,87.34,88.03,87.05,87.39,4112230
2015-01-02 05:30:00+05:30,88.06,88.61,87.01,87.28,7763985
2015-01-05 05:30:00+05:30,87.38,88.15,86.66,87.62,7221045
2015-01-06 05:30:00+05:30,86.59,86.92,84.85,85.2,9316005
2015-01-07 05:30:00+05:30,84.62,85.56,83.75,85.05,7320355
2015-01-08 05:30:00+05:30,85.98,88.21,85.33,87.92,7897665
2015-01-09 05:30:00+05:30,88.79,88.79,85.01,85.74,9450920
2015-01-12 05:30:00+05:30,85.36,87.07,84.54,86.56,6493410
2015-01-13 05:30:00+05:30,86.71,87.17,85.65,86.51,7714665
2015-01-14 05:30:00+05:30,86.76,86.87,84.74,85.32,4732600
2015-01-15 05:30:00+05:30,90.54,91.07,87.92,89.05,11320330
2015-01-16 05:30:00+05:30,89.07,89.47,87.77,88.49,6014150
2015-01-19 05:30:00+05:30,89.01,90.75,88.29,90.35,10927800
2015-01-20 05:30:00+05:30,90.46,91.92,90.09,91.47,8122480
2015-01-21 05:30:00+05:30,91.64,92.47,90.58,91.41,10784750
2015-01-22 05:30:00+05:30,91.88,91.97,89.63,90.55,8089690
2015-01-23 05:30:00+05:30,91.76,92.01,89.69,91.24,6617765
2015-01-27 05:30:00+05:30,92.11,92.11,89.48,91.34,8712910
2015-01-28 05:30:00+05:30,90.46,93.11,90.26,92.62,10017795
2015-01-29 05:30:00+05:30,92.52,92.73,90.48,91.58,8259345
2015-01-30 05:30:00+05:30,91.72,92.4,85.92,86.21,11499760
2015-02-02 05:30:00+05:30,86.16,88.78,85.29,88.46,7207355
2015-02-03 05:30:00+05:30,88.76,89.78,84.86,85.48,9844540
2015-02-04 05:30:00+05:30,85.59,89.37,81.75,88.14,43265990
2015-02-05 05:30:00+05:30,88.71,88.71,82.92,83.56,15150910
2015-02-06 05:30:00+05:30,83.54,83.77,80.34,80.68,18129130
2015-02-09 05:30:00+05:30,79.93,81.31,77.67,78.09,9928990
2015-02-10 05:30:00+05:30,77.21,80.42,76.31,77.45,16063090
2015-02-11 05:30:00+05:30,77.58,79.37,77.54,78.55,8815130
2015-02-12 05:30:00+05:30,78.79,79.35,77.05,77.79,9286010
2015-02-13 05:30:00+05:30,78.32,81.37,77.84,81.03,17260710
2015-02-16 05:30:00+05:30,81.49,82.06,79.48,79.85,9291945
2015-02-18 05:30:00+05:30,80.03,80.53,79.1,79.7,6260710
2015-02-19 05:30:00+05:30,79.87,80.44,77.42,78.96,9478495
2015-02-20 05:30:00+05:30,79.33,81.26,78.24,80.11,11403190
2015-02-23 05:30:00+05:30,80.58,80.73,78.01,78.35,7962865
2015-02-24 05:30:00+05:30,78.59,79.66,77.03,78.84,10194070
2015-02-25 05:30:00+05:30,79.04,79.74,77.81,78.1,8085060
2015-02-26 05:30:00+05:30,78.27,78.32,76.3,76.56,12123435
2015-02-27 05:30:00+05:30,77.34,79.95,77.17,79.38,9558850
2015-02-28 05:30:00+05:30,80.15,81.7,78.44,80.83,13634400
2015-03-02 05:30:00+05:30,81.59,82.8,80.4,81.69,10265805
2015-03-03 05:30:00+05:30,81.72,84.21,81.12,83.44,9906145
2015-03-04 05:30:00+05:30,87.34,87.95,80.75,81.43,17466870
2015-03-05 05:30:00+05:30,81.44,82.94,80.78,82.61,8946240
2015-03-09 05:30:00+05:30,82.09,82.09,79.02,79.61,6607915
2015-03-10 05:30:00+05:30,79.7,80.93,78.67,78.99,7712880
2015-03-11 05:30:00+05:30,78.59,80.06,78.46,79.21,6380655
2015-03-12 05:30:00+05:30,79.91,80.49,79.17,79.41,6498610
2015-03-13 05:30:00+05:30,80.34,80.54,77.1,77.44,7317470
2015-03-16 05:30:00+05:30,77.81,78.34,76.64,77.45,6655950
2015-03-17 05:30:00+05:30,78.2,78.39,76.51,77.53,7336925
2015-03-18 05:30:00+05:30,77.91,79.16,77.36,77.98,8722765
2015-03-19 05:30:00+05:30,78.79,78.98,75.67,76.08,7411400
2015-03-20 05:30:00+05:30,75.67,75.76,73.83,74.16,9198875
2015-03-23 05:30:00+05:30,74.84,75.07,73.36,74.29,6674180
2015-03-24 05:30:00+05:30,74.1,74.65,72.87,73.04,7008910
2015-03-25 05:30:00+05:30,73.18,73.57,72.02,72.36,5153735
2015-03-26 05:30:00+05:30,72.05,72.75,70.43,70.69,8183060
2015-03-27 05:30:00+05:30,71.05,71.75,67.41,70.64,12408835
2015-03-30 05:30:00+05:30,71.37,72.89,70.05,72.57,8935610
2015-03-31 05:30:00+05:30,73.05,73.33,71.2,71.55,7339970
2015-04-01 05:30:00+05:30,71.3,74.66,71.03,74.12,7563025
2015-04-06 05:30:00+05:30,74.7,75.46,73.07,74.9,9329055
2015-04-07 05:30:00+05:30,75.46,75.48,73.3,74.6,9537130
2015-04-08 05:30:00+05:30,74.86,75.31,73.57,73.86,6809990
2015-04-09 05:30:00+05:30,74.75,76.04,73.54,75.83,9710975
2015-04-10 05:30:00+05:30,75.96,77.3,75.48,76.4,9243865
2015-04-13 05:30:00+05:30,76.98,78.04,76.35,77.75,7620550
2015-04-15 05:30:00+05:30,78.1,80.04,77.57,78.75,14839935
2015-04-16 05:30:00+05:30,78.78,78.88,76.68,77.72,9457910
2015-04-17 05:30:00+05:30,77.81,79.13,77.04,78.36,7792040
