Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,63.61,64.54,63.41,63.67,1240739
2015-01-02 05:30:00+05:30,63.67,64.57,63.32,63.68,1739197
2015-01-05 05:30:00+05:30,63.99,65.08,63.56,64.01,2141393
2015-01-06 05:30:00+05:30,63.14,63.48,60.78,61.09,2839094
2015-01-07 05:30:00+05:30,61.09,61.55,59.38,61.14,2068247
2015-01-08 05:30:00+05:30,62.06,63.48,61.96,63.09,2059606
2015-01-09 05:30:00+05:30,63.61,65.46,63.07,65.01,4123676
2015-01-12 05:30:00+05:30,65.1,65.83,64.25,64.88,2183323
2015-01-13 05:30:00+05:30,66.04,66.38,63.43,63.9,3506646
2015-01-14 05:30:00+05:30,65.18,65.39,62.2,63.15,3865020
2015-01-15 05:30:00+05:30,64.02,64.84,63.21,64.33,2441301
2015-01-16 05:30:00+05:30,63.99,65.46,63.51,64.67,2777620
2015-01-19 05:30:00+05:30,64.88,65.63,64.38,64.71,1357529
2015-01-20 05:30:00+05:30,64.84,66.19,64.55,65.87,2977895
2015-01-21 05:30:00+05:30,66.63,67.04,65.36,66.55,5622798
2015-01-22 05:30:00+05:30,66.55,67.47,65.87,66.31,3234628
2015-01-23 05:30:00+05:30,66.89,67.04,65.53,66.14,2382126
2015-01-27 05:30:00+05:30,66.48,66.86,65.53,65.71,2021509
2015-01-28 05:30:00+05:30,65.18,65.87,64.19,64.77,2327909
2015-01-29 05:30:00+05:30,64.69,65.22,63.85,64.13,2891140
2015-01-30 05:30:00+05:30,64.45,66.55,64.28,64.69,2966837
2015-02-02 05:30:00+05:30,64.67,65.65,62.52,62.91,3096250
2015-02-03 05:30:00+05:30,63.34,63.38,60.44,61.02,6428585
2015-02-04 05:30:00+05:30,60.1,60.2,56.33,57.32,12625367
2015-02-05 05:30:00+05:30,57.68,58.48,54.81,55.2,7040463
2015-02-06 05:30:00+05:30,55.46,56.04,49.57,54.26,6061462
2015-02-09 05:30:00+05:30,54.14,56.31,52.25,55.48,7205649
2015-02-10 05:30:00+05:30,55.29,56.28,54.02,55.51,3860817
2015-02-11 05:30:00+05:30,55.99,58.19,55.56,57.85,4046390
2015-02-12 05:30:00+05:30,58.14,58.7,57.03,57.97,3813317
2015-02-13 05:30:00+05:30,58.39,59.72,58.07,59.5,3756100
2015-02-16 05:30:00+05:30,59.69,59.72,57.59,58.63,3248255
2015-02-18 05:30:00+05:30,59.31,60.07,58.05,59.57,3779771
2015-02-19 05:30:00+05:30,60.1,62.08,59.49,61.19,3716118
2015-02-20 05:30:00+05:30,63.85,64.45,61.26,61.52,6195860
2015-02-23 05:30:00+05:30,61.98,62.11,59.96,60.2,2729528
2015-02-24 05:30:00+05:30,60.51,60.58,59.16,59.62,1948672
2015-02-25 05:30:00+05:30,59.89,60.42,59.26,59.45,1153817
2015-02-26 05:30:00+05:30,59.76,60.05,58.46,59.5,3759220
2015-02-27 05:30:00+05:30,59.89,61.94,59.43,61.53,4616987
2015-02-28 05:30:00+05:30,61.91,62.25,59.38,60.36,1765343
2015-03-02 05:30:00+05:30,60.66,61.89,59.81,61.38,2336803
2015-03-03 05:30:00+05:30,61.69,62.78,60.75,61.86,3599166
2015-03-04 05:30:00+05:30,62.03,62.8,60.95,61.57,4764054
2015-03-05 05:30:00+05:30,62.45,63.44,60.97,61.77,7990388
2015-03-09 05:30:00+05:30,61.77,61.77,59.13,59.69,2039794
2015-03-10 05:30:00+05:30,59.67,60.83,58.44,60.27,2629180
2015-03-11 05:30:00+05:30,60.07,61.19,59.45,59.91,1815993
2015-03-12 05:30:00+05:30,61.09,61.46,60.51,61.19,2624240
2015-03-13 05:30:00+05:30,61.55,61.7,58.12,58.46,2079115
2015-03-16 05:30:00+05:30,58.7,58.75,57.34,58.15,1674643
2015-03-17 05:30:00+05:30,58.67,59.64,57.95,59.47,1833190
2015-03-18 05:30:00+05:30,59.54,59.69,57.95,58.67,3146477
2015-03-19 05:30:00+05:30,58.7,59.52,58.02,58.46,3618243
2015-03-20 05:30:00+05:30,58.34,58.75,55.42,56.14,8764187
2015-03-23 05:30:00+05:30,56.41,56.62,55.15,55.95,2990175
2015-03-24 05:30:00+05:30,55.95,57.03,55.7,56.31,2880488
2015-03-25 05:30:00+05:30,56.58,56.58,55.01,55.71,2483034
2015-03-26 05:30:00+05:30,55.46,56.89,55.05,56.36,4085130
2015-03-27 05:30:00+05:30,56.64,56.64,54.76,56.07,1801832
2015-03-30 05:30:00+05:30,56.12,57.95,55.97,57.61,1464053
2015-03-31 05:30:00+05:30,57.97,58.5,56.35,56.65,2210362
2015-04-01 05:30:00+05:30,56.26,57.13,55.7,56.69,2739478
2015-04-06 05:30:00+05:30,57.28,57.93,56.35,56.98,2389009
2015-04-07 05:30:00+05:30,57.18,58.0,56.19,57.47,1813046
2015-04-08 05:30:00+05:30,57.63,60.49,57.25,59.83,4712406
2015-04-09 05:30:00+05:30,60.92,61.09,59.38,59.93,4215459
2015-04-10 05:30:00+05:30,59.89,60.7,59.45,60.08,2907854
2015-04-13 05:30:00+05:30,60.24,61.05,59.88,60.24,2945879
2015-04-15 05:30:00+05:30,60.25,61.02,59.42,59.95,2531700
2015-04-16 05:30:00+05:30,60.13,60.76,58.79,59.35,2702894
2015-04-17 05:30:00+05:30,59.38,60.41,58.36,59.11,1822392
2015-04-20 05:30:00+05:30,59.37,60.13,57.68,58.89,4032178
2015-04-21 05:30:00+05:30,58.85,58.94,56.17,56.52,2991325
2015-04-22 05:30:00+05:30,56.99,57.18,55.87,56.91,2652774
2015-04-23 05:30:00+05:30,57.37,58.26,57.01,57.52,1615519
2015-04-24 05:30:00+05:30,58.02,58.36,53.09,56.02,5783004
2015-04-27 05:30:00+05:30,56.12,57.27,55.44,56.41,3721645
2015-04-28 05:30:00+05:30,56.31,57.51,55.48,57.11,3579327
