Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,94.0,96.56,93.8,94.6,289430
2015-01-02 05:30:00+05:30,95.0,102.88,94.8,98.07,4043355
2015-01-05 05:30:00+05:30,98.8,102.26,98.04,99.61,844080
2015-01-06 05:30:00+05:30,99.6,99.69,96.0,96.45,198985
2015-01-07 05:30:00+05:30,98.6,98.6,95.0,96.06,2741265
2015-01-08 05:30:00+05:30,96.5,98.66,96.5,97.54,234355
2015-01-09 05:30:00+05:30,99.8,99.8,96.01,97.11,117005
2015-01-12 05:30:00+05:30,97.4,99.6,96.42,99.23,116305
2015-01-13 05:30:00+05:30,99.8,100.88,97.27,99.83,262415
2015-01-14 05:30:00+05:30,101.0,106.98,99.6,104.43,5886480
2015-01-15 05:30:00+05:30,106.4,108.6,104.62,105.38,1749000
2015-01-16 05:30:00+05:30,105.69,105.69,102.48,103.04,990515
2015-01-19 05:30:00+05:30,103.4,104.77,103.0,103.22,470225
2015-01-20 05:30:00+05:30,103.8,103.8,99.47,100.09,376905
2015-01-21 05:30:00+05:30,100.09,103.96,100.09,103.33,694625
2015-01-22 05:30:00+05:30,103.33,104.02,101.9,103.03,287340
2015-01-23 05:30:00+05:30,102.03,103.78,100.9,103.06,502860
2015-01-27 05:30:00+05:30,103.1,105.68,101.1,104.04,668350
2015-01-28 05:30:00+05:30,105.68,109.54,103.22,107.92,1561985
2015-01-29 05:30:00+05:30,108.2,113.94,107.03,112.35,1367105
2015-01-30 05:30:00+05:30,111.8,111.8,108.0,108.62,382360
2015-02-02 05:30:00+05:30,109.0,109.52,106.75,108.21,132425
2015-02-03 05:30:00+05:30,109.0,117.8,108.24,113.4,1032290
2015-02-04 05:30:00+05:30,113.32,114.27,110.05,111.05,189575
2015-02-05 05:30:00+05:30,110.4,115.75,108.4,109.33,250050
2015-02-06 05:30:00+05:30,108.93,110.98,107.0,110.11,179400
2015-02-09 05:30:00+05:30,110.0,110.88,106.2,106.99,91300
2015-02-10 05:30:00+05:30,106.4,111.69,106.4,108.96,232410
2015-02-11 05:30:00+05:30,108.96,115.48,108.02,108.86,267315
2015-02-12 05:30:00+05:30,108.2,114.8,108.2,114.01,442765
2015-02-13 05:30:00+05:30,114.4,114.98,111.0,112.79,141035
2015-02-16 05:30:00+05:30,113.61,113.9,109.68,111.58,55960
2015-02-18 05:30:00+05:30,110.2,114.0,110.2,113.22,72020
2015-02-19 05:30:00+05:30,112.56,116.0,110.4,115.62,141110
2015-02-20 05:30:00+05:30,116.0,119.0,112.4,117.86,172315
2015-02-23 05:30:00+05:30,118.54,119.54,115.73,116.77,198800
2015-02-24 05:30:00+05:30,116.2,117.8,114.2,115.69,91760
2015-02-25 05:30:00+05:30,115.44,117.37,113.8,115.49,225400
2015-02-26 05:30:00+05:30,115.0,115.57,112.4,114.56,125900
2015-02-27 05:30:00+05:30,113.8,116.88,113.8,115.37,71985
2015-02-28 05:30:00+05:30,114.85,115.56,112.21,113.98,79705
2015-03-02 05:30:00+05:30,114.96,118.74,113.6,116.04,502950
2015-03-03 05:30:00+05:30,117.59,121.8,116.22,119.8,298125
2015-03-04 05:30:00+05:30,123.6,123.6,118.26,118.99,292365
2015-03-05 05:30:00+05:30,118.99,119.87,114.56,117.75,73855
2015-03-09 05:30:00+05:30,115.11,117.7,112.59,113.61,115060
2015-03-10 05:30:00+05:30,114.6,116.89,113.6,113.95,143040
2015-03-11 05:30:00+05:30,117.1,117.16,113.4,114.49,151630
2015-03-12 05:30:00+05:30,116.39,119.54,115.26,117.94,153620
2015-03-13 05:30:00+05:30,118.94,121.37,115.8,116.46,118785
2015-03-16 05:30:00+05:30,116.4,119.4,115.6,117.64,1787290
2015-03-17 05:30:00+05:30,119.36,119.36,115.47,116.38,113200
2015-03-18 05:30:00+05:30,116.04,118.79,115.2,117.31,49055
2015-03-19 05:30:00+05:30,118.68,118.68,116.0,117.28,65950
2015-03-20 05:30:00+05:30,117.11,117.6,111.65,113.04,83185
2015-03-23 05:30:00+05:30,113.0,116.2,113.0,115.51,57615
2015-03-24 05:30:00+05:30,115.09,115.18,113.26,114.19,30445
2015-03-25 05:30:00+05:30,114.2,114.24,109.06,110.79,74325
2015-03-26 05:30:00+05:30,110.6,112.4,108.4,109.49,61670
2015-03-27 05:30:00+05:30,110.0,111.2,108.76,110.16,96670
2015-03-30 05:30:00+05:30,112.04,116.0,110.8,115.85,61525
2015-03-31 05:30:00+05:30,117.99,119.6,116.43,117.82,81095
2015-04-01 05:30:00+05:30,119.97,120.8,116.43,119.64,115625
2015-04-06 05:30:00+05:30,121.0,121.0,118.5,119.25,74695
2015-04-07 05:30:00+05:30,119.18,120.6,118.6,119.49,386240
