Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,646.0,647.0,640.8,642.1,378210
2015-01-02 05:30:00+05:30,644.0,648.53,643.0,644.28,430070
2015-01-05 05:30:00+05:30,644.28,644.28,628.2,629.68,1468825
2015-01-06 05:30:00+05:30,626.0,626.0,611.0,613.11,1956675
2015-01-07 05:30:00+05:30,615.02,615.61,602.0,607.84,1597185
2015-01-08 05:30:00+05:30,612.0,618.81,608.2,613.26,1394180
2015-01-09 05:30:00+05:30,619.0,634.0,618.24,632.76,2968190
2015-01-12 05:30:00+05:30,630.6,642.8,625.33,641.45,1671110
2015-01-13 05:30:00+05:30,642.0,647.6,638.0,644.67,2453370
2015-01-14 05:30:00+05:30,641.0,644.64,638.2,641.65,1656545
2015-01-15 05:30:00+05:30,645.32,650.79,640.79,648.11,2218360
2015-01-16 05:30:00+05:30,648.4,659.0,646.25,657.16,2110020
2015-01-19 05:30:00+05:30,656.0,666.0,653.94,664.78,1243345
2015-01-20 05:30:00+05:30,668.4,668.4,658.47,661.24,1488550
2015-01-21 05:30:00+05:30,655.5,669.78,650.4,667.17,2155780
2015-01-22 05:30:00+05:30,666.02,673.0,666.02,672.25,1228990
2015-01-23 05:30:00+05:30,677.95,677.95,667.0,669.92,2207395
2015-01-27 05:30:00+05:30,664.97,664.97,639.07,642.48,2061520
2015-01-28 05:30:00+05:30,644.0,649.0,634.42,647.81,1248555
2015-01-29 05:30:00+05:30,646.8,676.0,642.07,672.66,7008190
2015-01-30 05:30:00+05:30,674.0,674.57,640.2,646.65,3163790
2015-02-02 05:30:00+05:30,635.95,636.8,627.02,627.82,1931265
2015-02-03 05:30:00+05:30,620.4,623.8,614.98,617.43,2612865
2015-02-04 05:30:00+05:30,621.0,625.25,617.0,619.38,1074225
2015-02-05 05:30:00+05:30,617.6,619.0,612.24,614.41,2110710
2015-02-06 05:30:00+05:30,615.0,623.4,606.0,608.86,1222480
2015-02-09 05:30:00+05:30,606.6,622.59,601.4,619.82,1760745
2015-02-10 05:30:00+05:30,622.21,629.1,615.0,626.1,1694925
2015-02-11 05:30:00+05:30,628.06,636.18,624.79,630.48,1164455
2015-02-12 05:30:00+05:30,639.0,668.63,638.47,666.24,2286200
