Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,676.11,678.88,671.33,677.81,40974
2015-01-02 05:30:00+05:30,678.32,698.42,677.11,696.37,44752
2015-01-05 05:30:00+05:30,697.23,706.71,692.65,698.99,98622
2015-01-06 05:30:00+05:30,694.64,695.04,665.73,672.34,124859
2015-01-07 05:30:00+05:30,677.31,684.08,671.33,680.79,129629
2015-01-08 05:30:00+05:30,683.28,689.66,676.97,682.28,40885
2015-01-09 05:30:00+05:30,683.28,690.0,676.31,678.21,50665
2015-01-12 05:30:00+05:30,679.2,686.87,675.91,684.39,28371
2015-01-13 05:30:00+05:30,690.65,715.16,686.67,706.46,93953
2015-01-14 05:30:00+05:30,706.19,717.13,705.28,710.54,53375
2015-01-15 05:30:00+05:30,717.15,735.68,711.18,730.73,107135
2015-01-16 05:30:00+05:30,730.73,736.55,720.16,724.42,78314
2015-01-19 05:30:00+05:30,727.63,740.06,725.68,727.61,72548
2015-01-20 05:30:00+05:30,734.47,738.46,730.3,735.39,67842
2015-01-21 05:30:00+05:30,737.38,758.98,727.91,753.65,116499
2015-01-22 05:30:00+05:30,760.98,761.93,749.08,758.86,74043
2015-01-23 05:30:00+05:30,764.96,765.29,748.44,755.61,92391
2015-01-27 05:30:00+05:30,756.73,769.74,752.01,766.95,128986
2015-01-28 05:30:00+05:30,763.0,779.5,763.0,775.86,120905
2015-01-29 05:30:00+05:30,775.72,786.87,767.28,783.27,82639
2015-01-30 05:30:00+05:30,782.89,791.85,769.2,773.73,111780
2015-02-02 05:30:00+05:30,762.59,772.61,756.99,758.64,61124
2015-02-03 05:30:00+05:30,761.35,777.31,756.99,774.51,173935
2015-02-04 05:30:00+05:30,775.31,784.36,771.98,776.34,90336
2015-02-05 05:30:00+05:30,772.97,781.96,766.95,774.42,178816
2015-02-06 05:30:00+05:30,765.0,780.5,753.47,757.99,92993
2015-02-09 05:30:00+05:30,755.99,757.17,734.31,738.76,40797
2015-02-10 05:30:00+05:30,734.88,762.8,727.49,759.64,73904
2015-02-11 05:30:00+05:30,759.64,774.46,756.02,765.79,117547
2015-02-12 05:30:00+05:30,778.31,783.19,758.5,762.42,112246
2015-02-13 05:30:00+05:30,764.96,775.7,764.96,768.93,60310
2015-02-16 05:30:00+05:30,769.35,776.87,764.16,768.0,39959
2015-02-18 05:30:00+05:30,768.15,773.92,758.98,770.42,87713
2015-02-19 05:30:00+05:30,770.54,776.91,749.24,754.23,123293
2015-02-20 05:30:00+05:30,754.58,760.01,747.23,749.16,42305
2015-02-23 05:30:00+05:30,751.21,756.86,727.58,736.21,68067
2015-02-24 05:30:00+05:30,734.88,738.56,727.91,733.44,45812
2015-02-25 05:30:00+05:30,735.29,741.05,727.11,730.76,42809
2015-02-26 05:30:00+05:30,732.1,739.82,713.29,716.73,121574
2015-02-27 05:30:00+05:30,723.68,751.61,716.07,746.08,121259
2015-02-28 05:30:00+05:30,751.41,759.57,738.07,747.72,90550
2015-03-02 05:30:00+05:30,756.99,798.34,754.01,794.3,155347
2015-03-03 05:30:00+05:30,792.85,801.78,780.9,796.39,115784
2015-03-04 05:30:00+05:30,796.04,798.41,769.29,773.49,71571
2015-03-05 05:30:00+05:30,774.12,778.9,748.55,753.94,89072
2015-03-09 05:30:00+05:30,752.01,758.58,737.07,739.15,64040
2015-03-10 05:30:00+05:30,739.06,746.71,732.09,736.84,60947
2015-03-11 05:30:00+05:30,736.47,741.25,725.16,737.27,38424
2015-03-12 05:30:00+05:30,741.05,752.81,739.59,745.27,46691
2015-03-13 05:30:00+05:30,746.28,754.4,720.34,730.99,128848
2015-03-16 05:30:00+05:30,735.08,741.0,727.71,735.55,28237
2015-03-17 05:30:00+05:30,738.1,742.45,731.0,738.12,47751
2015-03-18 05:30:00+05:30,739.46,739.46,727.51,730.95,47577
2015-03-19 05:30:00+05:30,732.69,742.81,716.15,719.54,52797
2015-03-20 05:30:00+05:30,719.54,725.12,707.19,720.23,53797
2015-03-23 05:30:00+05:30,726.1,734.08,713.13,723.08,48142
2015-03-24 05:30:00+05:30,719.17,729.1,713.17,715.83,58079
2015-03-25 05:30:00+05:30,716.15,724.49,707.4,711.25,92404
2015-03-26 05:30:00+05:30,709.18,717.35,702.94,707.02,178761
2015-03-27 05:30:00+05:30,705.64,716.95,705.2,710.96,55488
