Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,399.75,402.92,396.4,401.7,668246
2015-01-02 05:30:00+05:30,400.52,404.74,400.02,401.32,466686
2015-01-05 05:30:00+05:30,403.75,403.75,392.18,394.57,1006312
2015-01-06 05:30:00+05:30,393.5,393.6,380.67,384.03,1735204
2015-01-07 05:30:00+05:30,384.88,387.0,373.18,374.9,1770280
2015-01-08 05:30:00+05:30,379.25,385.0,373.75,383.58,1953018
2015-01-09 05:30:00+05:30,384.17,395.92,380.73,386.39,3082224
2015-01-12 05:30:00+05:30,388.78,394.75,385.18,393.89,1330842
2015-01-13 05:30:00+05:30,393.89,398.74,390.84,395.9,1458036
2015-01-14 05:30:00+05:30,398.98,399.7,387.58,394.7,2066638
2015-01-15 05:30:00+05:30,398.74,404.62,388.12,398.32,1829488
2015-01-16 05:30:00+05:30,398.5,411.03,393.89,409.75,1592674
2015-01-19 05:30:00+05:30,412.5,432.5,409.95,411.17,1667916
2015-01-20 05:30:00+05:30,415.63,419.82,412.43,418.04,1549634
2015-01-21 05:30:00+05:30,415.3,423.0,410.25,421.82,3770516
2015-01-22 05:30:00+05:30,422.0,423.27,414.25,416.43,1884552
2015-01-23 05:30:00+05:30,415.78,417.23,407.83,411.67,2341538
2015-01-27 05:30:00+05:30,412.23,412.23,401.89,404.09,2230886
2015-01-28 05:30:00+05:30,402.5,416.44,402.5,414.85,2086694
2015-01-29 05:30:00+05:30,414.5,415.68,402.23,412.24,2375720
2015-01-30 05:30:00+05:30,452.5,455.0,438.29,447.94,10707672
2015-02-02 05:30:00+05:30,450.0,475.0,449.52,472.75,5044878
2015-02-03 05:30:00+05:30,477.5,478.75,467.75,475.07,4221136
2015-02-04 05:30:00+05:30,475.0,477.5,471.39,475.09,2469950
2015-02-05 05:30:00+05:30,475.0,495.22,471.74,493.17,4247448
2015-02-06 05:30:00+05:30,492.5,499.25,486.33,488.68,2011924
2015-02-09 05:30:00+05:30,485.25,502.38,482.83,498.58,2335254
2015-02-10 05:30:00+05:30,496.25,496.97,481.25,483.34,2893204
2015-02-11 05:30:00+05:30,484.93,491.75,480.3,488.93,1071258
2015-02-12 05:30:00+05:30,487.5,497.5,487.25,496.1,2182688
2015-02-13 05:30:00+05:30,497.5,501.0,494.2,498.24,1643004
2015-02-16 05:30:00+05:30,498.77,502.0,495.15,496.22,1512434
2015-02-18 05:30:00+05:30,497.89,510.0,496.89,508.29,3163902
2015-02-19 05:30:00+05:30,507.5,513.67,505.0,512.04,2068476
2015-02-20 05:30:00+05:30,512.5,513.75,499.03,500.19,1334286
2015-02-23 05:30:00+05:30,500.0,506.93,489.62,492.75,1333170
2015-02-24 05:30:00+05:30,492.75,499.7,488.92,494.02,1821524
2015-02-25 05:30:00+05:30,497.38,498.4,492.95,495.8,1138174
2015-02-26 05:30:00+05:30,495.75,502.0,491.24,493.87,2078322
2015-02-27 05:30:00+05:30,497.25,506.42,493.87,505.5,2404410
2015-02-28 05:30:00+05:30,506.39,507.47,496.8,505.18,792260
2015-03-02 05:30:00+05:30,510.23,510.23,500.09,506.22,2049168
2015-03-03 05:30:00+05:30,507.75,511.23,496.27,507.8,2153344
2015-03-04 05:30:00+05:30,509.25,512.92,505.0,509.0,1715154
2015-03-05 05:30:00+05:30,509.0,518.73,508.99,516.25,1724358
