Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,157.4,159.0,155.4,158.45,2350082
2015-01-02 05:30:00+05:30,158.9,161.2,158.35,160.1,2923839
2015-01-05 05:30:00+05:30,161.0,161.95,155.5,156.85,4830121
2015-01-06 05:30:00+05:30,156.3,156.3,151.15,153.4,7054029
2015-01-07 05:30:00+05:30,153.8,154.5,146.7,148.9,6638158
2015-01-08 05:30:00+05:30,150.7,153.2,148.55,152.55,3540099
2015-01-09 05:30:00+05:30,153.1,155.25,152.1,155.0,3743205
2015-01-12 05:30:00+05:30,155.2,155.2,150.5,151.1,4659450
2015-01-13 05:30:00+05:30,152.1,154.4,150.75,151.7,4324660
2015-01-14 05:30:00+05:30,150.95,151.35,140.8,142.15,13580758
2015-01-15 05:30:00+05:30,143.55,145.75,138.35,141.9,10860317
2015-01-16 05:30:00+05:30,141.5,143.4,137.75,138.55,9096928
2015-01-19 05:30:00+05:30,140.95,141.7,139.5,140.25,8541810
2015-01-20 05:30:00+05:30,141.0,145.2,141.0,144.7,8856169
2015-01-21 05:30:00+05:30,145.65,146.35,140.5,143.2,8871757
2015-01-22 05:30:00+05:30,143.05,144.9,141.1,143.45,6918171
2015-01-23 05:30:00+05:30,145.6,146.25,142.1,144.8,6943971
2015-01-27 05:30:00+05:30,139.9,144.5,139.0,142.5,7886739
2015-01-28 05:30:00+05:30,141.75,143.1,139.65,140.15,7496686
2015-01-29 05:30:00+05:30,139.9,142.9,138.25,142.4,10636771
2015-01-30 05:30:00+05:30,143.0,143.1,138.6,139.7,7570814
2015-02-02 05:30:00+05:30,140.0,145.7,139.5,145.25,7296741
2015-02-03 05:30:00+05:30,145.85,148.5,142.9,146.45,6262548
2015-02-04 05:30:00+05:30,147.0,153.8,146.0,152.4,8349284
2015-02-05 05:30:00+05:30,152.3,153.9,146.75,148.05,6672029
2015-02-06 05:30:00+05:30,148.0,150.0,145.65,147.3,5623571
2015-02-09 05:30:00+05:30,146.3,149.0,145.5,146.55,9737189
2015-02-10 05:30:00+05:30,148.5,153.7,146.55,149.2,8706407
2015-02-11 05:30:00+05:30,149.55,151.5,147.05,149.85,6154345
