Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,320.64,321.32,318.36,320.27,2134943
2015-01-02 05:30:00+05:30,320.0,330.46,320.0,329.36,6837182
2015-01-05 05:30:00+05:30,332.09,334.0,328.64,330.05,8525695
2015-01-06 05:30:00+05:30,326.73,327.18,314.73,316.05,10977213
2015-01-07 05:30:00+05:30,314.18,314.77,304.96,307.5,17565564
2015-01-08 05:30:00+05:30,313.64,316.82,310.18,315.86,10378632
2015-01-09 05:30:00+05:30,318.14,318.55,306.46,310.77,12976058
2015-01-12 05:30:00+05:30,311.59,316.0,307.91,315.05,6862905
2015-01-13 05:30:00+05:30,317.27,317.27,308.86,309.91,10827147
2015-01-14 05:30:00+05:30,308.41,310.73,302.73,306.27,10849533
2015-01-15 05:30:00+05:30,320.14,323.64,315.96,320.77,13771065
2015-01-16 05:30:00+05:30,320.77,322.36,315.86,321.68,12170782
2015-01-19 05:30:00+05:30,323.18,328.91,321.36,328.0,8493401
2015-01-20 05:30:00+05:30,327.0,335.68,327.0,334.32,9485628
2015-01-21 05:30:00+05:30,333.18,337.23,331.96,334.96,10295745
2015-01-22 05:30:00+05:30,335.36,338.46,331.46,336.18,7703253
2015-01-23 05:30:00+05:30,340.82,341.36,335.18,337.0,11178141
2015-01-27 05:30:00+05:30,340.46,349.82,338.82,348.64,11514700
2015-01-28 05:30:00+05:30,348.14,357.64,346.91,349.14,12221232
2015-01-29 05:30:00+05:30,345.55,348.91,341.41,345.73,18252281
2015-01-30 05:30:00+05:30,346.77,347.27,322.41,327.91,25927467
2015-02-02 05:30:00+05:30,327.55,327.91,318.18,319.86,30715669
2015-02-03 05:30:00+05:30,320.0,324.36,313.73,315.09,21467480
2015-02-04 05:30:00+05:30,314.59,315.68,309.32,313.32,12925154
2015-02-05 05:30:00+05:30,309.91,313.91,302.5,305.09,15513916
2015-02-06 05:30:00+05:30,305.46,309.09,297.91,299.41,14720472
2015-02-09 05:30:00+05:30,297.73,297.73,289.55,290.96,12670155
2015-02-10 05:30:00+05:30,289.55,304.55,287.64,300.96,25868824
2015-02-11 05:30:00+05:30,303.73,309.05,303.59,304.27,11348916
2015-02-12 05:30:00+05:30,307.46,310.32,300.0,308.32,11877985
2015-02-13 05:30:00+05:30,312.73,314.46,309.27,312.59,8203750
2015-02-16 05:30:00+05:30,315.41,315.41,305.82,307.32,9160351
2015-02-18 05:30:00+05:30,308.82,312.73,308.82,311.27,7297602
2015-02-19 05:30:00+05:30,309.18,312.59,302.05,307.77,8534268
2015-02-20 05:30:00+05:30,304.55,305.27,298.64,300.86,14212405
2015-02-23 05:30:00+05:30,302.73,304.09,297.27,299.09,10113053
2015-02-24 05:30:00+05:30,299.55,301.27,295.0,296.41,10064185
2015-02-25 05:30:00+05:30,297.82,300.91,292.05,293.18,14900753
2015-02-26 05:30:00+05:30,295.18,295.86,291.05,292.09,15170504
2015-02-27 05:30:00+05:30,295.09,306.41,293.64,304.77,14179741
2015-02-28 05:30:00+05:30,309.18,316.27,301.09,314.68,15688916
2015-03-02 05:30:00+05:30,318.96,319.96,309.59,317.32,13419116
2015-03-03 05:30:00+05:30,316.36,317.73,312.82,316.96,13479319
2015-03-04 05:30:00+05:30,327.27,329.09,314.59,317.59,22320146
2015-03-05 05:30:00+05:30,314.91,318.09,309.18,316.14,10477486
2015-03-09 05:30:00+05:30,310.91,311.77,301.59,302.55,11332044
2015-03-10 05:30:00+05:30,302.46,307.09,300.32,303.32,12967049
2015-03-11 05:30:00+05:30,303.27,306.32,299.09,302.41,9721074
2015-03-12 05:30:00+05:30,306.86,308.82,304.23,307.46,10136450
2015-03-13 05:30:00+05:30,313.64,314.55,299.09,300.18,11874437
2015-03-16 05:30:00+05:30,299.55,302.73,296.05,301.32,10327719
2015-03-17 05:30:00+05:30,301.82,305.91,300.14,304.41,9268478
2015-03-18 05:30:00+05:30,302.82,305.96,300.96,304.36,7936914
2015-03-19 05:30:00+05:30,308.64,310.36,298.5,300.18,12800153
2015-03-20 05:30:00+05:30,299.0,299.32,287.91,289.64,19329978
2015-03-23 05:30:00+05:30,292.77,293.09,284.05,285.27,9518205
2015-03-24 05:30:00+05:30,282.27,287.86,281.32,283.55,15049214
2015-03-25 05:30:00+05:30,283.64,290.0,282.82,288.09,12486988
2015-03-26 05:30:00+05:30,282.73,285.18,275.09,279.96,28902242
2015-03-27 05:30:00+05:30,284.55,287.46,280.23,285.96,14366876
2015-03-30 05:30:00+05:30,287.55,290.46,284.86,289.73,11686054
2015-03-31 05:30:00+05:30,289.91,293.41,285.27,286.82,11832801
2015-04-01 05:30:00+05:30,286.36,294.91,285.5,293.77,7595727
2015-04-06 05:30:00+05:30,295.86,295.86,290.32,292.05,8688245
2015-04-07 05:30:00+05:30,293.59,294.05,286.36,288.55,8139911
2015-04-08 05:30:00+05:30,289.91,290.64,285.96,286.46,7569069
2015-04-09 05:30:00+05:30,289.09,292.64,288.09,291.46,11170438
2015-04-10 05:30:00+05:30,290.46,292.41,288.36,289.36,7481999
2015-04-13 05:30:00+05:30,290.82,290.82,287.27,288.09,7281545
2015-04-15 05:30:00+05:30,289.41,293.0,284.59,286.36,9336987
2015-04-16 05:30:00+05:30,287.18,287.27,281.96,284.09,8002235
2015-04-17 05:30:00+05:30,285.5,286.32,280.23,281.91,9619477
2015-04-20 05:30:00+05:30,284.46,288.73,280.27,282.86,9639414
2015-04-21 05:30:00+05:30,282.73,287.82,281.77,282.59,8226148
2015-04-22 05:30:00+05:30,284.77,286.36,275.82,284.5,10129096
2015-04-23 05:30:00+05:30,285.68,287.18,281.59,283.5,8556066
2015-04-24 05:30:00+05:30,284.05,284.14,279.18,280.23,11142393
2015-04-27 05:30:00+05:30,282.46,284.05,269.73,274.82,20511599
2015-04-28 05:30:00+05:30,277.82,298.73,277.82,297.14,30948365
2015-04-29 05:30:00+05:30,298.0,304.36,295.55,300.14,20249103
2015-04-30 05:30:00+05:30,300.91,303.27,295.64,301.05,17180161
2015-05-04 05:30:00+05:30,302.5,306.27,296.55,299.36,9345785
2015-05-05 05:30:00+05:30,299.36,300.82,297.36,298.59,8354635
2015-05-06 05:30:00+05:30,297.18,307.27,281.96,283.77,16502072
2015-05-07 05:30:00+05:30,283.82,284.55,273.27,276.91,13294365
2015-05-08 05:30:00+05:30,281.82,289.91,281.82,288.18,12952295
2015-05-11 05:30:00+05:30,290.96,296.18,290.09,294.09,7938382
2015-05-12 05:30:00+05:30,294.14,294.55,279.09,280.18,11315902
2015-05-13 05:30:00+05:30,284.68,290.14,278.64,288.77,12753307
2015-05-14 05:30:00+05:30,288.82,289.05,282.96,286.32,9646405
2015-05-15 05:30:00+05:30,286.64,287.68,282.32,283.96,9929565
2015-05-18 05:30:00+05:30,286.36,288.09,284.46,287.5,6305319
2015-05-19 05:30:00+05:30,285.41,289.91,283.64,286.68,7491613
2015-05-20 05:30:00+05:30,287.5,291.82,287.5,289.77,6243860
2015-05-21 05:30:00+05:30,291.09,291.64,284.27,285.05,9200582
2015-05-22 05:30:00+05:30,286.36,289.23,283.41,285.09,7392491
2015-05-25 05:30:00+05:30,283.64,285.55,282.68,283.77,4529927
2015-05-26 05:30:00+05:30,283.64,284.55,280.59,281.55,4550001
2015-05-27 05:30:00+05:30,283.46,286.18,279.55,284.68,10377810
2015-05-28 05:30:00+05:30,285.68,287.27,283.18,285.91,9520894
2015-05-29 05:30:00+05:30,288.27,289.91,286.18,288.41,18731160
2015-06-01 05:30:00+05:30,288.18,290.0,287.27,287.68,6298988
2015-06-02 05:30:00+05:30,288.18,288.64,275.46,276.82,11555545
2015-06-03 05:30:00+05:30,276.59,276.59,264.36,268.86,18868837
2015-06-04 05:30:00+05:30,265.27,266.18,259.5,263.73,17156301
2015-06-05 05:30:00+05:30,264.73,265.82,257.27,258.27,19615808
2015-06-08 05:30:00+05:30,259.68,259.68,254.86,257.41,17475809
2015-06-09 05:30:00+05:30,257.18,261.64,256.41,261.0,16042541
2015-06-10 05:30:00+05:30,260.91,267.59,260.64,265.91,14452721
2015-06-11 05:30:00+05:30,269.09,270.18,260.46,262.27,17983914
2015-06-12 05:30:00+05:30,263.18,270.0,261.05,269.05,17147579
2015-06-15 05:30:00+05:30,268.18,273.05,266.55,272.0,14066698
2015-06-16 05:30:00+05:30,270.05,275.46,267.18,274.59,13081095
2015-06-17 05:30:00+05:30,276.59,276.64,272.77,273.96,13925183
2015-06-18 05:30:00+05:30,276.86,277.91,274.86,275.77,12773109
2015-06-19 05:30:00+05:30,273.09,278.18,273.09,276.86,7487928
