Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,117.92,118.48,114.22,116.56,643535
2015-01-02 05:30:00+05:30,117.36,118.76,112.35,113.15,338882
2015-01-05 05:30:00+05:30,113.9,114.88,111.46,112.91,1353991
2015-01-06 05:30:00+05:30,112.31,112.73,109.59,110.34,644733
2015-01-07 05:30:00+05:30,110.43,110.57,104.82,107.53,670739
2015-01-08 05:30:00+05:30,106.22,109.31,106.22,108.33,609467
2015-01-09 05:30:00+05:30,108.47,113.9,108.47,111.46,960502
2015-01-12 05:30:00+05:30,112.12,112.59,110.62,111.18,993153
2015-01-13 05:30:00+05:30,111.18,112.77,109.03,111.04,214234
2015-01-14 05:30:00+05:30,110.62,111.7,107.95,108.47,243246
2015-01-15 05:30:00+05:30,109.5,109.97,107.72,108.89,1185574
2015-01-16 05:30:00+05:30,109.4,110.9,107.63,107.81,615433
2015-01-19 05:30:00+05:30,107.21,111.84,107.21,109.03,336008
2015-01-20 05:30:00+05:30,109.22,112.31,109.03,110.71,401144
2015-01-21 05:30:00+05:30,110.81,114.18,110.81,112.17,630506
2015-01-22 05:30:00+05:30,111.7,114.6,110.01,110.71,333380
2015-01-23 05:30:00+05:30,112.26,113.19,110.43,111.0,373736
2015-01-27 05:30:00+05:30,110.43,112.73,109.54,110.2,460701
2015-01-28 05:30:00+05:30,110.2,113.24,108.56,110.57,828697
2015-01-29 05:30:00+05:30,111.37,115.02,109.97,112.12,445100
2015-01-30 05:30:00+05:30,112.68,115.53,112.54,113.24,470937
2015-02-02 05:30:00+05:30,112.77,116.47,112.77,113.9,520341
2015-02-03 05:30:00+05:30,114.88,115.49,113.15,113.99,321889
2015-02-04 05:30:00+05:30,114.18,116.98,113.8,115.21,593197
2015-02-05 05:30:00+05:30,117.55,118.67,113.71,114.65,403581
2015-02-06 05:30:00+05:30,114.74,115.49,111.84,113.15,549343
2015-02-09 05:30:00+05:30,111.46,112.77,110.43,112.35,214297
2015-02-10 05:30:00+05:30,111.37,112.02,109.69,110.43,742170
2015-02-11 05:30:00+05:30,110.9,111.0,109.03,109.5,496693
2015-02-12 05:30:00+05:30,109.83,113.01,108.56,108.7,426972
2015-02-13 05:30:00+05:30,109.5,109.87,106.69,107.35,830911
2015-02-16 05:30:00+05:30,107.63,108.56,103.23,104.3,358779
2015-02-18 05:30:00+05:30,105.24,108.09,105.19,107.16,1758692
2015-02-19 05:30:00+05:30,107.16,112.02,107.16,111.23,400579
2015-02-20 05:30:00+05:30,111.56,111.56,107.81,109.92,410341
2015-02-23 05:30:00+05:30,109.59,110.43,104.82,105.75,3007525
2015-02-24 05:30:00+05:30,105.8,107.91,104.82,105.66,447095
2015-02-25 05:30:00+05:30,106.04,106.5,101.08,102.85,362141
2015-02-26 05:30:00+05:30,102.1,106.41,102.01,102.62,364377
2015-02-27 05:30:00+05:30,101.73,107.16,101.59,106.27,1407250
2015-02-28 05:30:00+05:30,107.16,107.16,103.27,104.82,242244
2015-03-02 05:30:00+05:30,105.75,105.75,102.24,104.58,542022
2015-03-03 05:30:00+05:30,105.38,105.38,101.73,102.85,480747
2015-03-04 05:30:00+05:30,103.41,104.12,100.05,100.33,392959
2015-03-05 05:30:00+05:30,100.14,102.29,97.8,99.58,684605
2015-03-09 05:30:00+05:30,100.09,103.88,99.58,102.39,396749
2015-03-10 05:30:00+05:30,102.9,102.95,99.58,100.19,2095403
2015-03-11 05:30:00+05:30,99.67,100.89,97.14,97.89,297804
2015-03-12 05:30:00+05:30,97.61,101.08,97.61,98.45,296009
2015-03-13 05:30:00+05:30,98.73,100.42,98.36,99.02,465633
2015-03-16 05:30:00+05:30,98.55,99.76,95.04,96.58,242907
2015-03-17 05:30:00+05:30,96.77,99.67,96.77,98.41,469019
2015-03-18 05:30:00+05:30,98.27,98.59,96.96,98.27,339340
2015-03-19 05:30:00+05:30,98.73,110.71,97.33,106.36,1341573
2015-03-20 05:30:00+05:30,105.75,106.13,100.7,102.01,792141
2015-03-23 05:30:00+05:30,102.48,104.35,96.11,98.27,420105
2015-03-24 05:30:00+05:30,100.14,100.79,96.21,98.45,258304
2015-03-25 05:30:00+05:30,98.59,103.74,98.36,102.9,351103
2015-03-26 05:30:00+05:30,102.01,103.65,96.72,102.99,586999
2015-03-27 05:30:00+05:30,101.54,104.68,99.67,103.23,717770
2015-03-30 05:30:00+05:30,103.88,108.14,101.68,107.06,708963
2015-03-31 05:30:00+05:30,105.8,110.86,103.65,109.4,962614
2015-04-01 05:30:00+05:30,108.56,109.03,102.48,107.21,392242
2015-04-06 05:30:00+05:30,105.8,107.86,103.88,106.97,368416
2015-04-07 05:30:00+05:30,107.63,107.91,104.63,105.8,139716
2015-04-08 05:30:00+05:30,106.5,108.47,105.66,108.09,219313
2015-04-09 05:30:00+05:30,107.72,110.43,104.82,108.8,252287
2015-04-10 05:30:00+05:30,108.61,108.8,104.35,104.68,246555
2015-04-13 05:30:00+05:30,104.68,106.83,103.93,104.73,437906
2015-04-15 05:30:00+05:30,104.82,105.15,101.68,102.57,387711
2015-04-16 05:30:00+05:30,101.59,102.62,98.08,100.14,442938
2015-04-17 05:30:00+05:30,100.33,101.31,98.73,100.09,296817
2015-04-20 05:30:00+05:30,99.67,100.51,96.77,98.22,455998
2015-04-21 05:30:00+05:30,97.47,102.24,97.47,100.84,805172
2015-04-22 05:30:00+05:30,101.26,104.21,98.83,103.13,306212
2015-04-23 05:30:00+05:30,102.57,104.35,99.3,100.0,613075
2015-04-24 05:30:00+05:30,100.14,100.19,96.86,97.57,497043
2015-04-27 05:30:00+05:30,98.5,99.2,95.04,98.27,177399
2015-04-28 05:30:00+05:30,98.41,102.48,97.38,102.01,337665
