Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,55.46,56.48,55.13,56.08,296214
2015-01-02 05:30:00+05:30,56.33,56.58,55.63,55.77,322043
2015-01-05 05:30:00+05:30,55.89,56.98,55.65,56.37,451205
2015-01-06 05:30:00+05:30,56.58,56.78,55.28,55.74,836934
2015-01-07 05:30:00+05:30,55.68,56.27,54.93,55.84,629210
2015-01-08 05:30:00+05:30,55.99,57.58,55.53,57.25,862934
2015-01-09 05:30:00+05:30,57.62,57.83,56.28,56.95,746993
2015-01-12 05:30:00+05:30,56.85,57.17,56.34,56.58,421458
2015-01-13 05:30:00+05:30,56.83,57.47,56.5,56.69,394365
2015-01-14 05:30:00+05:30,56.43,56.91,55.84,55.95,781502
2015-01-15 05:30:00+05:30,56.04,56.66,55.22,56.01,642494
2015-01-16 05:30:00+05:30,55.83,56.55,55.28,56.08,400629
2015-01-19 05:30:00+05:30,55.84,56.48,55.59,56.13,335063
2015-01-20 05:30:00+05:30,56.6,56.63,55.9,56.13,861773
2015-01-21 05:30:00+05:30,55.92,56.0,54.72,55.01,904320
2015-01-22 05:30:00+05:30,55.01,55.73,54.79,55.28,527279
2015-01-23 05:30:00+05:30,55.48,55.58,54.44,55.17,874965
2015-01-27 05:30:00+05:30,55.17,56.08,54.8,55.18,553374
2015-01-28 05:30:00+05:30,55.33,56.54,54.93,56.36,620915
2015-01-29 05:30:00+05:30,56.26,58.23,56.23,58.06,1146695
2015-01-30 05:30:00+05:30,58.33,59.17,57.24,57.88,945491
2015-02-02 05:30:00+05:30,57.83,57.83,56.03,56.66,500520
2015-02-03 05:30:00+05:30,56.62,56.82,55.0,55.13,562340
2015-02-04 05:30:00+05:30,55.1,56.53,54.78,55.87,462359
2015-02-05 05:30:00+05:30,55.99,57.91,55.23,55.78,766286
2015-02-06 05:30:00+05:30,55.5,55.99,54.18,54.59,425873
2015-02-09 05:30:00+05:30,54.16,54.33,53.0,53.26,331476
2015-02-10 05:30:00+05:30,53.14,53.73,51.17,51.83,555294
2015-02-11 05:30:00+05:30,51.98,53.3,51.84,53.01,436245
2015-02-12 05:30:00+05:30,53.31,53.71,52.25,52.57,397590
2015-02-13 05:30:00+05:30,52.59,53.46,51.13,51.71,2301008
2015-02-16 05:30:00+05:30,51.67,53.75,51.66,52.99,1190642
