Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,245.07,245.93,244.0,244.77,1692652
2015-01-02 05:30:00+05:30,244.83,246.77,244.83,245.53,4399784
2015-01-05 05:30:00+05:30,245.8,247.87,245.03,246.5,5492658
2015-01-06 05:30:00+05:30,245.77,246.27,239.33,240.17,8728693
2015-01-07 05:30:00+05:30,238.0,242.67,235.33,235.7,7973720
2015-01-08 05:30:00+05:30,236.97,242.23,236.97,241.6,5632776
2015-01-09 05:30:00+05:30,242.07,243.9,235.4,237.93,7205675
2015-01-12 05:30:00+05:30,238.3,240.9,237.4,238.57,6579300
2015-01-13 05:30:00+05:30,238.93,241.13,238.2,240.07,7749002
2015-01-14 05:30:00+05:30,239.8,239.8,230.73,231.87,10816568
2015-01-15 05:30:00+05:30,235.4,239.93,233.93,238.6,10698478
2015-01-16 05:30:00+05:30,238.97,241.3,236.23,240.07,7209059
2015-01-19 05:30:00+05:30,240.0,241.17,237.33,239.2,4568823
2015-01-20 05:30:00+05:30,239.4,247.9,238.73,247.4,8009782
2015-01-21 05:30:00+05:30,248.63,248.63,232.8,235.13,21632143
2015-01-22 05:30:00+05:30,235.33,239.87,232.57,233.77,19751717
2015-01-23 05:30:00+05:30,235.63,237.3,232.53,232.97,11164999
2015-01-27 05:30:00+05:30,233.33,240.67,232.9,240.1,16837241
2015-01-28 05:30:00+05:30,240.0,242.3,238.37,241.53,8211866
2015-01-29 05:30:00+05:30,242.0,248.0,240.0,246.8,14062512
2015-01-30 05:30:00+05:30,246.67,248.0,242.43,245.7,9278105
2015-02-02 05:30:00+05:30,244.67,246.13,239.6,240.43,5662574
2015-02-03 05:30:00+05:30,240.97,244.67,240.97,244.03,4199272
2015-02-04 05:30:00+05:30,245.0,247.0,243.57,245.07,3871473
2015-02-05 05:30:00+05:30,243.93,248.07,242.47,245.93,6318791
2015-02-06 05:30:00+05:30,244.07,249.6,244.07,249.0,4883250
2015-02-09 05:30:00+05:30,247.43,249.23,244.47,245.27,4792005
2015-02-10 05:30:00+05:30,245.4,248.0,244.6,246.6,5341166
2015-02-11 05:30:00+05:30,247.37,248.6,245.23,247.43,3030315
2015-02-12 05:30:00+05:30,248.0,248.0,243.1,246.93,3529483
2015-02-13 05:30:00+05:30,247.47,252.83,246.7,252.03,6017353
2015-02-16 05:30:00+05:30,252.27,260.67,252.0,259.73,7737649
2015-02-18 05:30:00+05:30,256.67,268.0,256.67,262.17,9112881
2015-02-19 05:30:00+05:30,261.97,262.47,255.73,259.5,4653457
2015-02-20 05:30:00+05:30,258.33,265.27,256.23,264.03,5954272
2015-02-23 05:30:00+05:30,263.33,265.87,259.5,260.17,3901485
2015-02-24 05:30:00+05:30,261.33,265.33,259.1,263.8,5492521
2015-02-25 05:30:00+05:30,265.07,266.67,262.3,266.47,10501201
2015-02-26 05:30:00+05:30,265.27,267.6,261.3,263.77,7801698
2015-02-27 05:30:00+05:30,263.2,264.43,256.03,262.47,22944759
2015-02-28 05:30:00+05:30,262.1,273.3,232.33,240.9,51940134
2015-03-02 05:30:00+05:30,238.67,238.67,228.0,228.83,33815118
2015-03-03 05:30:00+05:30,229.0,230.33,226.0,227.7,29996013
2015-03-04 05:30:00+05:30,230.0,233.87,228.6,229.5,21447975
2015-03-05 05:30:00+05:30,231.33,232.73,227.8,230.83,13666265
2015-03-09 05:30:00+05:30,229.13,229.93,224.83,225.57,10867944
2015-03-10 05:30:00+05:30,226.67,228.47,223.4,225.7,8691256
2015-03-11 05:30:00+05:30,226.9,227.13,225.03,225.47,8468469
2015-03-12 05:30:00+05:30,226.03,232.17,225.87,231.1,18215419
2015-03-13 05:30:00+05:30,232.2,233.33,224.47,226.27,10434348
2015-03-16 05:30:00+05:30,227.33,227.73,223.33,223.6,5730165
2015-03-17 05:30:00+05:30,226.33,227.1,224.17,226.67,7293674
2015-03-18 05:30:00+05:30,227.5,227.5,224.0,224.43,5838059
2015-03-19 05:30:00+05:30,225.67,227.23,221.0,222.23,6974900
2015-03-20 05:30:00+05:30,222.47,222.47,217.6,218.3,7048608
2015-03-23 05:30:00+05:30,217.57,219.87,216.67,218.27,7595698
2015-03-24 05:30:00+05:30,218.07,219.87,217.33,217.7,7143657
2015-03-25 05:30:00+05:30,219.1,219.1,217.33,217.83,4833171
2015-03-26 05:30:00+05:30,217.33,219.3,213.73,214.93,16128731
2015-03-27 05:30:00+05:30,216.0,216.83,210.07,211.67,14268835
2015-03-30 05:30:00+05:30,213.1,219.67,213.1,218.37,11011178
2015-03-31 05:30:00+05:30,219.2,219.2,216.0,217.23,8186377
2015-04-01 05:30:00+05:30,217.23,222.0,216.1,221.63,7226519
2015-04-06 05:30:00+05:30,219.57,227.77,219.4,227.33,12877285
2015-04-07 05:30:00+05:30,227.4,228.67,224.67,227.07,7033050
2015-04-08 05:30:00+05:30,228.0,231.3,227.67,230.83,8254426
2015-04-09 05:30:00+05:30,231.27,232.63,229.33,231.43,5111691
2015-04-10 05:30:00+05:30,231.33,231.73,228.17,231.1,3728914
2015-04-13 05:30:00+05:30,231.33,234.93,229.9,234.33,7261102
2015-04-15 05:30:00+05:30,236.0,239.07,234.27,236.63,11661496
2015-04-16 05:30:00+05:30,235.23,237.6,231.1,233.4,5243825
2015-04-17 05:30:00+05:30,233.67,235.5,231.8,234.57,5871559
2015-04-20 05:30:00+05:30,234.73,234.73,227.07,227.93,7517021
2015-04-21 05:30:00+05:30,227.9,232.47,227.33,227.97,7260219
2015-04-22 05:30:00+05:30,226.67,230.0,225.7,228.93,7179010
2015-04-23 05:30:00+05:30,228.93,231.0,225.53,228.07,5949753
2015-04-24 05:30:00+05:30,228.0,233.3,227.43,231.97,11545879
2015-04-27 05:30:00+05:30,232.6,234.53,229.47,229.9,6247926
2015-04-28 05:30:00+05:30,229.93,230.0,222.4,225.03,7124405
2015-04-29 05:30:00+05:30,223.37,224.0,218.2,218.77,6727361
2015-04-30 05:30:00+05:30,218.53,218.93,214.13,214.9,13358444
2015-05-04 05:30:00+05:30,215.6,220.6,213.4,220.13,4806248
2015-05-05 05:30:00+05:30,219.07,219.33,215.73,217.5,8972029
2015-05-06 05:30:00+05:30,217.33,218.57,210.8,212.23,13474574
2015-05-07 05:30:00+05:30,212.33,215.8,210.4,215.03,7067920
2015-05-08 05:30:00+05:30,217.03,219.53,215.1,218.67,8104600
2015-05-11 05:30:00+05:30,220.0,220.5,216.27,217.63,5863983
2015-05-12 05:30:00+05:30,218.33,218.67,215.4,216.17,9530851
2015-05-13 05:30:00+05:30,217.9,219.87,214.0,218.57,7085304
2015-05-14 05:30:00+05:30,218.0,218.0,214.93,216.47,5358865
2015-05-15 05:30:00+05:30,216.73,218.6,216.57,217.6,3632794
2015-05-18 05:30:00+05:30,218.2,222.6,217.5,222.0,4606380
2015-05-19 05:30:00+05:30,221.17,223.93,220.5,221.7,5713959
2015-05-20 05:30:00+05:30,221.67,222.8,220.33,221.3,3441367
2015-05-21 05:30:00+05:30,222.0,222.27,217.33,218.27,4787885
2015-05-22 05:30:00+05:30,219.33,222.17,216.97,219.43,8321097
2015-05-25 05:30:00+05:30,214.3,216.33,210.93,211.2,15619894
2015-05-26 05:30:00+05:30,211.67,211.67,208.5,209.33,7349088
2015-05-27 05:30:00+05:30,210.0,212.5,209.33,211.8,6089123
2015-05-28 05:30:00+05:30,212.07,214.97,211.0,214.3,13330144
2015-05-29 05:30:00+05:30,214.67,219.97,212.43,218.07,13200568
2015-06-01 05:30:00+05:30,217.0,222.5,217.0,221.37,6707044
2015-06-02 05:30:00+05:30,219.27,219.53,211.73,212.43,7232445
2015-06-03 05:30:00+05:30,209.2,209.23,200.4,202.93,13782613
2015-06-04 05:30:00+05:30,203.33,204.43,198.8,201.07,7336809
2015-06-05 05:30:00+05:30,200.97,205.27,196.67,202.87,11301561
2015-06-08 05:30:00+05:30,204.67,205.5,201.5,202.9,6861965
2015-06-09 05:30:00+05:30,201.27,202.0,199.8,200.4,6607234
2015-06-10 05:30:00+05:30,200.4,202.27,199.07,200.73,6330452
2015-06-11 05:30:00+05:30,201.33,201.33,196.8,198.03,7395690
2015-06-12 05:30:00+05:30,197.87,200.1,196.67,198.37,5554762
2015-06-15 05:30:00+05:30,198.0,201.83,196.0,199.0,5572344
2015-06-16 05:30:00+05:30,198.67,200.1,196.83,199.3,5283926
2015-06-17 05:30:00+05:30,199.0,202.07,198.17,200.73,6985540
2015-06-18 05:30:00+05:30,200.8,202.93,200.13,201.27,7251487
2015-06-19 05:30:00+05:30,201.87,203.63,201.6,203.33,5621552
2015-06-22 05:30:00+05:30,204.13,208.1,203.13,206.93,4620394
2015-06-23 05:30:00+05:30,206.93,210.0,205.07,209.7,4869887
2015-06-24 05:30:00+05:30,210.13,212.07,207.37,209.1,4730322
2015-06-25 05:30:00+05:30,207.07,210.3,206.5,208.23,6987843
2015-06-26 05:30:00+05:30,208.23,208.23,204.7,205.3,3535578
2015-06-29 05:30:00+05:30,203.47,207.3,202.5,206.63,6239223
2015-06-30 05:30:00+05:30,206.8,211.23,205.37,210.1,7472142
2015-07-01 05:30:00+05:30,210.17,210.93,208.33,209.07,5681727
