Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,619.0,621.9,615.05,618.53,178335
2015-01-02 05:30:00+05:30,615.13,621.85,611.25,612.33,319964
2015-01-05 05:30:00+05:30,610.05,624.0,608.5,609.23,364177
2015-01-06 05:30:00+05:30,607.5,612.17,600.5,605.83,644779
2015-01-07 05:30:00+05:30,606.0,615.7,601.25,612.08,547454
2015-01-08 05:30:00+05:30,615.0,623.38,615.0,618.8,418103
2015-01-09 05:30:00+05:30,621.4,623.0,612.6,619.1,383074
2015-01-12 05:30:00+05:30,617.15,618.9,608.5,616.5,224421
2015-01-13 05:30:00+05:30,615.0,630.55,615.0,624.4,369745
2015-01-14 05:30:00+05:30,622.65,631.25,612.23,618.48,707929
2015-01-15 05:30:00+05:30,629.5,647.0,626.7,639.05,714759
2015-01-16 05:30:00+05:30,638.5,656.43,637.28,652.3,532771
2015-01-19 05:30:00+05:30,652.45,667.5,648.0,666.1,340615
2015-01-20 05:30:00+05:30,666.6,669.5,657.65,662.63,459573
2015-01-21 05:30:00+05:30,669.0,670.0,657.53,662.53,347990
2015-01-22 05:30:00+05:30,662.5,668.05,657.5,664.98,453838
2015-01-23 05:30:00+05:30,668.0,687.83,665.65,680.95,1140799
2015-01-27 05:30:00+05:30,679.83,680.0,656.55,662.23,595733
2015-01-28 05:30:00+05:30,662.23,667.0,651.5,658.15,414978
2015-01-29 05:30:00+05:30,658.25,659.98,641.2,648.4,738132
2015-01-30 05:30:00+05:30,650.5,650.95,630.0,632.55,407185
2015-02-02 05:30:00+05:30,632.65,642.48,616.8,620.6,363993
2015-02-03 05:30:00+05:30,621.05,624.48,596.05,599.6,1173604
2015-02-04 05:30:00+05:30,601.45,609.95,600.0,605.48,457242
2015-02-05 05:30:00+05:30,605.5,607.63,587.63,589.85,1213715
2015-02-06 05:30:00+05:30,588.55,590.1,571.5,574.88,1046026
2015-02-09 05:30:00+05:30,566.5,567.2,553.15,556.7,1320778
2015-02-10 05:30:00+05:30,554.55,576.38,551.0,570.1,1004169
2015-02-11 05:30:00+05:30,571.2,576.38,561.5,566.7,539809
2015-02-12 05:30:00+05:30,573.42,577.2,565.85,567.23,566268
2015-02-13 05:30:00+05:30,567.0,599.5,561.8,596.28,1497251
2015-02-16 05:30:00+05:30,599.83,614.0,588.3,605.23,1072907
2015-02-18 05:30:00+05:30,606.0,621.0,604.03,614.1,900795
2015-02-19 05:30:00+05:30,618.5,629.48,610.5,624.95,707367
2015-02-20 05:30:00+05:30,628.35,632.73,621.0,626.0,323912
2015-02-23 05:30:00+05:30,627.92,637.25,624.03,630.63,676276
2015-02-24 05:30:00+05:30,630.5,634.5,622.67,629.35,458365
2015-02-25 05:30:00+05:30,630.0,640.6,630.0,633.55,349796
2015-02-26 05:30:00+05:30,633.5,634.98,622.48,624.8,1111377
2015-02-27 05:30:00+05:30,627.95,644.0,625.08,640.25,578382
2015-02-28 05:30:00+05:30,643.95,651.5,632.5,645.98,282997
2015-03-02 05:30:00+05:30,647.55,654.4,629.28,639.08,689547
2015-03-03 05:30:00+05:30,629.0,629.0,609.78,615.83,658140
2015-03-04 05:30:00+05:30,627.5,630.33,602.6,605.55,681927
2015-03-05 05:30:00+05:30,609.5,616.78,602.0,614.33,401225
2015-03-09 05:30:00+05:30,612.0,614.4,600.5,603.4,467243
2015-03-10 05:30:00+05:30,605.1,622.25,605.1,614.13,455988
2015-03-11 05:30:00+05:30,612.35,632.75,609.1,630.15,491639
2015-03-12 05:30:00+05:30,630.15,630.63,616.63,620.58,498941
2015-03-13 05:30:00+05:30,626.5,626.5,610.25,613.88,303972
2015-03-16 05:30:00+05:30,616.0,616.0,603.78,609.88,282726
2015-03-17 05:30:00+05:30,612.63,619.13,602.88,616.13,1289140
2015-03-18 05:30:00+05:30,615.03,616.45,605.0,607.75,291076
2015-03-19 05:30:00+05:30,614.0,615.92,600.5,603.7,387533
2015-03-20 05:30:00+05:30,602.5,602.5,577.2,582.65,786014
2015-03-23 05:30:00+05:30,586.23,600.0,579.13,592.75,617531
2015-03-24 05:30:00+05:30,587.5,611.67,587.1,596.03,509384
2015-03-25 05:30:00+05:30,596.03,607.5,596.03,605.17,373785
2015-03-26 05:30:00+05:30,602.17,611.0,583.42,600.55,1345157
2015-03-27 05:30:00+05:30,601.6,602.5,586.15,594.25,395227
2015-03-30 05:30:00+05:30,599.0,606.2,591.8,600.15,345317
2015-03-31 05:30:00+05:30,601.25,605.0,590.0,593.9,405727
2015-04-01 05:30:00+05:30,594.0,604.0,589.08,601.05,344986
2015-04-06 05:30:00+05:30,597.9,622.5,595.4,621.33,453444
2015-04-07 05:30:00+05:30,621.95,641.9,615.78,634.42,330521
2015-04-08 05:30:00+05:30,637.5,640.83,628.55,637.1,263684
2015-04-09 05:30:00+05:30,637.5,639.92,630.5,637.28,303482
2015-04-10 05:30:00+05:30,637.0,645.0,633.03,643.38,232139
2015-04-13 05:30:00+05:30,641.45,641.45,620.5,623.9,393286
2015-04-15 05:30:00+05:30,622.05,623.0,601.92,604.45,912056
2015-04-16 05:30:00+05:30,605.03,617.5,600.63,614.25,570588
2015-04-17 05:30:00+05:30,616.0,619.0,607.08,612.25,228654
2015-04-20 05:30:00+05:30,609.0,612.25,591.3,593.85,841051
2015-04-21 05:30:00+05:30,595.0,604.88,587.5,595.23,281250
2015-04-22 05:30:00+05:30,597.5,610.5,588.23,606.48,415609
2015-04-23 05:30:00+05:30,610.5,610.5,591.5,599.42,414705
2015-04-24 05:30:00+05:30,598.63,602.5,584.0,586.05,1010598
2015-04-27 05:30:00+05:30,584.03,591.13,574.48,582.98,607431
2015-04-28 05:30:00+05:30,583.35,596.0,575.0,591.1,337443
2015-04-29 05:30:00+05:30,591.5,592.35,580.5,586.33,252274
2015-04-30 05:30:00+05:30,585.0,586.98,568.85,572.5,811821
2015-05-04 05:30:00+05:30,575.5,604.48,575.5,601.25,404009
2015-05-05 05:30:00+05:30,601.0,601.0,584.23,589.63,328796
2015-05-06 05:30:00+05:30,589.63,593.0,579.23,581.58,560962
2015-05-07 05:30:00+05:30,581.33,589.0,572.0,585.38,489446
2015-05-08 05:30:00+05:30,588.0,604.3,587.5,590.17,238725
2015-05-11 05:30:00+05:30,591.5,605.0,591.5,597.13,176765
2015-05-12 05:30:00+05:30,597.13,597.13,585.0,588.55,407500
2015-05-13 05:30:00+05:30,594.5,613.63,588.53,603.45,524194
2015-05-14 05:30:00+05:30,603.95,615.7,597.78,613.58,530651
2015-05-15 05:30:00+05:30,615.0,628.1,613.67,624.53,417500
2015-05-18 05:30:00+05:30,622.48,634.25,615.83,631.83,235738
2015-05-19 05:30:00+05:30,631.83,638.5,622.33,626.92,347503
2015-05-20 05:30:00+05:30,626.92,633.67,618.0,625.38,291281
2015-05-21 05:30:00+05:30,627.5,631.35,620.78,624.48,323018
2015-05-22 05:30:00+05:30,627.5,629.85,621.92,627.83,375666
2015-05-25 05:30:00+05:30,627.83,636.73,624.35,629.95,189233
2015-05-26 05:30:00+05:30,629.95,636.45,626.0,631.53,176351
2015-05-27 05:30:00+05:30,628.0,629.25,606.98,611.4,499393
2015-05-28 05:30:00+05:30,611.98,611.98,592.03,599.08,594559
2015-05-29 05:30:00+05:30,597.5,633.88,584.83,629.05,1726828
2015-06-01 05:30:00+05:30,629.05,635.0,620.0,629.05,310562
2015-06-02 05:30:00+05:30,629.45,632.38,609.45,612.3,356412
2015-06-03 05:30:00+05:30,613.13,614.25,600.05,602.42,319142
2015-06-04 05:30:00+05:30,603.5,608.88,590.03,597.8,292334
2015-06-05 05:30:00+05:30,598.13,615.35,595.05,602.92,327915
2015-06-08 05:30:00+05:30,604.0,610.5,594.33,603.2,285641
2015-06-09 05:30:00+05:30,603.05,610.92,598.75,602.6,240517
2015-06-10 05:30:00+05:30,601.0,615.0,600.1,610.25,234190
2015-06-11 05:30:00+05:30,613.0,613.0,592.5,593.8,257105
2015-06-12 05:30:00+05:30,595.0,599.5,588.0,596.48,301682
2015-06-15 05:30:00+05:30,597.5,614.13,595.5,610.15,358806
2015-06-16 05:30:00+05:30,617.48,619.5,608.92,616.48,335033
2015-06-17 05:30:00+05:30,617.75,629.48,611.75,626.78,597866
2015-06-18 05:30:00+05:30,627.58,633.73,622.53,626.98,473325
2015-06-19 05:30:00+05:30,627.0,662.35,626.8,652.78,941642
2015-06-22 05:30:00+05:30,655.0,661.3,649.0,656.0,421560
2015-06-23 05:30:00+05:30,656.5,669.5,653.5,668.05,289350
2015-06-24 05:30:00+05:30,669.98,670.95,646.7,651.17,370274
2015-06-25 05:30:00+05:30,640.38,655.35,638.75,649.9,618278
2015-06-26 05:30:00+05:30,650.05,658.95,646.5,652.05,330078
2015-06-29 05:30:00+05:30,645.0,647.5,638.25,642.08,321810
2015-06-30 05:30:00+05:30,644.08,644.78,632.58,641.17,625514
2015-07-01 05:30:00+05:30,640.0,651.0,636.53,644.0,456741
2015-07-02 05:30:00+05:30,646.0,662.4,644.63,656.73,378476
2015-07-03 05:30:00+05:30,660.0,664.95,654.0,656.33,433313
2015-07-06 05:30:00+05:30,649.5,662.73,647.5,660.88,302670
2015-07-07 05:30:00+05:30,659.0,667.0,655.5,658.9,311645
2015-07-08 05:30:00+05:30,656.0,656.05,637.25,639.58,507548
2015-07-09 05:30:00+05:30,645.83,645.83,630.5,632.0,239573
2015-07-10 05:30:00+05:30,629.0,635.92,622.67,624.78,901039
2015-07-13 05:30:00+05:30,635.0,636.0,625.53,633.8,434987
2015-07-14 05:30:00+05:30,635.0,637.0,625.5,634.98,228450
2015-07-15 05:30:00+05:30,636.0,647.0,635.03,644.0,348973
2015-07-16 05:30:00+05:30,639.0,644.85,633.63,638.42,411072
2015-07-17 05:30:00+05:30,641.95,650.85,636.0,648.3,521329
2015-07-20 05:30:00+05:30,652.5,658.5,646.45,657.2,340955
2015-07-21 05:30:00+05:30,658.45,661.5,644.4,649.3,209036
2015-07-22 05:30:00+05:30,649.05,675.0,647.5,671.13,466788
2015-07-23 05:30:00+05:30,674.0,684.0,672.78,679.45,599939
2015-07-24 05:30:00+05:30,681.35,681.35,662.0,664.85,179925
2015-07-27 05:30:00+05:30,659.5,670.0,655.55,657.98,225019
2015-07-28 05:30:00+05:30,660.0,669.75,653.28,657.0,310634
2015-07-29 05:30:00+05:30,661.95,663.5,650.0,657.78,343039
2015-07-30 05:30:00+05:30,662.83,671.75,655.6,658.88,342037
2015-07-31 05:30:00+05:30,664.3,691.0,661.5,681.8,627183
2015-08-03 05:30:00+05:30,677.0,677.0,666.0,668.95,207929
2015-08-04 05:30:00+05:30,670.65,684.95,668.43,682.15,281052
2015-08-05 05:30:00+05:30,683.0,694.98,674.83,693.43,320567
2015-08-06 05:30:00+05:30,693.25,703.73,686.85,698.63,313855
2015-08-07 05:30:00+05:30,697.5,721.03,692.5,695.15,1239718
2015-08-10 05:30:00+05:30,690.0,697.48,676.0,679.85,357906
2015-08-11 05:30:00+05:30,681.45,684.48,667.5,669.78,371513
2015-08-12 05:30:00+05:30,669.5,669.75,647.5,649.7,378795
2015-08-13 05:30:00+05:30,651.55,674.0,650.5,669.8,383810
2015-08-14 05:30:00+05:30,674.0,690.9,672.5,689.08,366541
2015-08-17 05:30:00+05:30,689.95,689.95,672.6,675.53,197542
2015-08-18 05:30:00+05:30,677.05,685.88,675.55,682.48,211121
2015-08-19 05:30:00+05:30,683.5,692.35,674.35,682.83,266301
2015-08-20 05:30:00+05:30,685.0,687.6,663.83,667.38,351695
2015-08-21 05:30:00+05:30,661.5,664.9,644.0,661.13,387193
2015-08-24 05:30:00+05:30,642.45,649.0,612.5,621.63,519940
2015-08-25 05:30:00+05:30,625.0,636.98,613.0,625.48,533346
2015-08-26 05:30:00+05:30,627.58,631.0,602.55,607.75,500377
2015-08-27 05:30:00+05:30,623.35,623.5,607.5,615.1,1216417
2015-08-28 05:30:00+05:30,618.3,623.53,609.5,616.98,998858
2015-08-31 05:30:00+05:30,615.5,621.0,605.85,610.45,936540
2015-09-01 05:30:00+05:30,603.75,609.17,584.5,588.6,793666
2015-09-02 05:30:00+05:30,592.5,593.95,562.75,567.28,1123305
2015-09-03 05:30:00+05:30,571.98,579.0,546.08,570.33,678180
2015-09-04 05:30:00+05:30,569.0,570.75,550.5,555.3,747411
2015-09-07 05:30:00+05:30,555.5,561.2,546.38,555.45,347357
2015-09-08 05:30:00+05:30,555.5,581.2,551.5,572.95,686286
2015-09-09 05:30:00+05:30,582.55,591.95,575.6,585.3,783043
2015-09-10 05:30:00+05:30,583.0,591.78,574.05,585.05,356379
2015-09-11 05:30:00+05:30,591.45,597.45,580.03,583.25,405665
2015-09-14 05:30:00+05:30,585.3,589.9,576.53,586.38,359899
2015-09-15 05:30:00+05:30,583.05,585.88,572.55,575.95,367116
2015-09-16 05:30:00+05:30,579.5,585.0,575.53,583.98,488346
2015-09-18 05:30:00+05:30,587.53,607.45,584.88,599.63,1317293
2015-09-21 05:30:00+05:30,591.0,598.98,588.53,592.65,568712
2015-09-22 05:30:00+05:30,598.5,601.2,589.38,593.7,1006418
2015-09-23 05:30:00+05:30,587.5,610.75,586.53,604.13,767231
2015-09-24 05:30:00+05:30,602.5,616.5,598.75,610.5,1072617
2015-09-28 05:30:00+05:30,612.48,619.9,606.42,610.8,422368
2015-09-29 05:30:00+05:30,603.0,639.55,600.8,624.85,1626516
2015-09-30 05:30:00+05:30,625.55,634.42,622.8,631.9,1324303
2015-10-01 05:30:00+05:30,638.5,639.0,621.58,625.03,527675
2015-10-05 05:30:00+05:30,627.75,640.0,627.75,635.35,556530
2015-10-06 05:30:00+05:30,638.5,645.0,629.63,632.13,696930
2015-10-07 05:30:00+05:30,630.53,649.48,630.0,643.92,356994
2015-10-08 05:30:00+05:30,647.23,647.38,633.6,636.33,2301363
2015-10-09 05:30:00+05:30,640.0,643.8,633.23,636.67,356875
2015-10-12 05:30:00+05:30,635.08,641.25,630.0,637.45,374085
2015-10-13 05:30:00+05:30,636.05,645.0,635.0,641.48,713246
2015-10-14 05:30:00+05:30,641.48,645.0,636.5,644.05,141796
2015-10-15 05:30:00+05:30,646.0,650.7,633.65,637.42,537123
2015-10-16 05:30:00+05:30,639.0,647.48,634.13,644.42,369706
2015-10-19 05:30:00+05:30,645.0,649.95,637.98,640.63,411561
2015-10-20 05:30:00+05:30,641.0,642.0,623.53,625.33,754220
2015-10-21 05:30:00+05:30,623.98,631.9,616.0,628.33,375539
2015-10-23 05:30:00+05:30,633.3,639.98,620.2,623.33,407296
2015-10-26 05:30:00+05:30,625.0,629.95,618.33,622.65,291312
2015-10-27 05:30:00+05:30,621.0,630.17,616.65,625.03,406206
2015-10-28 05:30:00+05:30,621.0,626.6,610.1,613.45,970835
2015-10-29 05:30:00+05:30,614.0,618.5,607.0,613.9,596937
2015-10-30 05:30:00+05:30,611.25,613.42,586.65,591.8,483318
2015-11-02 05:30:00+05:30,600.03,618.25,600.03,604.42,644214
2015-11-03 05:30:00+05:30,605.95,617.75,605.25,616.48,327758
2015-11-04 05:30:00+05:30,616.48,629.75,616.48,627.15,227070
