Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,60.35,61.1,59.61,59.97,854576
2015-01-02 05:30:00+05:30,59.79,60.94,59.71,60.2,813743
2015-01-05 05:30:00+05:30,60.48,60.58,58.93,59.16,1164927
2015-01-06 05:30:00+05:30,59.13,59.13,56.41,57.28,1482944
2015-01-07 05:30:00+05:30,57.2,58.46,56.71,58.07,950477
2015-01-08 05:30:00+05:30,58.6,59.14,57.15,58.33,1404986
2015-01-09 05:30:00+05:30,59.0,59.84,56.78,57.65,1637793
2015-01-12 05:30:00+05:30,57.96,58.1,56.92,57.35,585921
2015-01-13 05:30:00+05:30,57.55,59.1,57.45,58.77,956613
2015-01-14 05:30:00+05:30,59.25,59.51,57.88,58.36,841341
2015-01-15 05:30:00+05:30,58.8,59.13,58.22,58.66,542897
2015-01-16 05:30:00+05:30,58.48,60.1,57.95,59.46,1118951
2015-01-19 05:30:00+05:30,59.65,60.77,59.6,59.96,797336
2015-01-20 05:30:00+05:30,59.8,60.3,59.11,59.33,675891
2015-01-21 05:30:00+05:30,59.39,61.43,58.86,61.12,1577921
2015-01-22 05:30:00+05:30,61.63,63.42,61.63,62.78,2413367
2015-01-23 05:30:00+05:30,63.4,64.24,62.1,62.5,1199651
2015-01-27 05:30:00+05:30,62.6,63.21,61.76,62.79,949235
2015-01-28 05:30:00+05:30,62.2,62.93,60.84,61.36,999620
2015-01-29 05:30:00+05:30,61.37,61.47,58.96,59.67,2155796
2015-01-30 05:30:00+05:30,60.22,61.22,58.36,59.4,1132367
2015-02-02 05:30:00+05:30,59.49,59.83,58.39,58.85,827483
2015-02-03 05:30:00+05:30,59.15,60.42,58.47,58.94,1066716
2015-02-04 05:30:00+05:30,59.36,59.63,57.35,57.54,1367427
2015-02-05 05:30:00+05:30,57.94,58.71,56.81,57.44,784484
2015-02-06 05:30:00+05:30,57.68,57.87,56.1,56.38,900809
2015-02-09 05:30:00+05:30,56.63,58.6,56.62,57.64,1142009
2015-02-10 05:30:00+05:30,57.15,61.73,57.15,60.64,3813426
2015-02-11 05:30:00+05:30,61.66,61.74,59.52,60.96,1578311
2015-02-12 05:30:00+05:30,61.17,62.35,60.77,61.5,1612589
2015-02-13 05:30:00+05:30,61.63,62.02,60.85,61.74,965541
2015-02-16 05:30:00+05:30,62.02,62.35,60.59,60.81,1127610
2015-02-18 05:30:00+05:30,60.88,61.87,60.12,60.54,719562
2015-02-19 05:30:00+05:30,60.8,63.6,60.58,63.39,1661898
2015-02-20 05:30:00+05:30,63.84,64.12,62.3,62.81,969731
2015-02-23 05:30:00+05:30,63.07,63.11,61.3,61.57,553698
2015-02-24 05:30:00+05:30,61.81,61.81,59.59,60.06,862910
2015-02-25 05:30:00+05:30,60.29,60.71,58.74,59.79,1391538
2015-02-26 05:30:00+05:30,60.16,60.16,57.75,59.42,1323053
2015-02-27 05:30:00+05:30,59.65,60.98,58.72,60.35,1651931
2015-02-28 05:30:00+05:30,60.8,60.8,57.94,59.54,851396
2015-03-02 05:30:00+05:30,61.23,62.16,60.46,61.9,1291805
2015-03-03 05:30:00+05:30,62.16,62.16,61.1,61.66,792921
2015-03-04 05:30:00+05:30,62.02,62.79,60.44,60.89,1246487
2015-03-05 05:30:00+05:30,61.1,64.14,60.59,63.57,1878317
2015-03-09 05:30:00+05:30,63.6,65.56,62.48,62.91,1791665
2015-03-10 05:30:00+05:30,63.21,63.87,62.7,63.09,917393
2015-03-11 05:30:00+05:30,63.08,65.15,62.22,64.12,1372463
2015-03-12 05:30:00+05:30,64.26,65.3,63.48,64.86,1145309
2015-03-13 05:30:00+05:30,65.16,67.08,64.01,65.43,2492706
2015-03-16 05:30:00+05:30,65.45,65.7,62.7,63.86,2165867
2015-03-17 05:30:00+05:30,64.5,65.08,64.0,64.67,2535668
2015-03-18 05:30:00+05:30,64.92,66.1,64.13,64.4,927939
2015-03-19 05:30:00+05:30,65.05,66.1,64.92,65.72,1403607
2015-03-20 05:30:00+05:30,65.84,66.49,64.14,64.5,1013841
2015-03-23 05:30:00+05:30,64.16,65.11,63.6,63.9,634104
2015-03-24 05:30:00+05:30,63.93,64.38,62.77,63.27,519155
2015-03-25 05:30:00+05:30,63.27,63.36,62.29,62.81,608358
2015-03-26 05:30:00+05:30,62.81,63.11,61.14,61.54,937538
2015-03-27 05:30:00+05:30,62.26,63.13,61.1,62.27,647063
2015-03-30 05:30:00+05:30,62.55,66.11,62.3,65.73,1316186
2015-03-31 05:30:00+05:30,66.36,68.47,66.17,67.81,1965117
2015-04-01 05:30:00+05:30,68.28,68.44,66.52,66.9,1213736
2015-04-06 05:30:00+05:30,67.05,68.15,66.52,67.61,1296741
2015-04-07 05:30:00+05:30,67.82,68.01,66.42,66.92,759456
2015-04-08 05:30:00+05:30,67.43,67.43,66.27,66.67,1082411
2015-04-09 05:30:00+05:30,66.9,68.7,66.5,67.25,1459394
2015-04-10 05:30:00+05:30,67.29,67.69,66.66,67.0,555564
2015-04-13 05:30:00+05:30,67.28,67.67,66.57,67.01,912482
2015-04-15 05:30:00+05:30,67.03,68.99,66.66,67.44,2516520
2015-04-16 05:30:00+05:30,67.56,68.17,65.19,66.57,1116819
2015-04-17 05:30:00+05:30,66.88,69.52,66.66,68.23,2237747
2015-04-20 05:30:00+05:30,68.86,70.41,68.36,68.8,2637647
2015-04-21 05:30:00+05:30,69.04,69.49,65.67,66.06,2541087
2015-04-22 05:30:00+05:30,66.48,66.71,62.96,64.36,1745045
2015-04-23 05:30:00+05:30,64.66,65.25,62.8,63.05,1193282
2015-04-24 05:30:00+05:30,63.14,63.14,60.85,61.51,1349852
2015-04-27 05:30:00+05:30,62.12,62.16,59.09,59.9,1789365
2015-04-28 05:30:00+05:30,59.91,61.48,57.24,61.03,3442991
2015-04-29 05:30:00+05:30,64.53,65.56,62.02,63.09,2714624
2015-04-30 05:30:00+05:30,63.22,67.15,62.29,66.39,2906519
2015-05-04 05:30:00+05:30,67.03,67.54,65.5,66.13,867362
2015-05-05 05:30:00+05:30,66.48,67.43,65.71,66.4,827270
2015-05-06 05:30:00+05:30,66.24,67.96,63.43,64.51,1344213
2015-05-07 05:30:00+05:30,63.86,64.61,60.44,61.95,2050502
2015-05-08 05:30:00+05:30,63.22,64.46,62.08,63.96,1551479
2015-05-11 05:30:00+05:30,64.65,67.71,64.53,67.4,1437965
2015-05-12 05:30:00+05:30,67.56,68.04,63.45,64.19,4003883
2015-05-13 05:30:00+05:30,65.11,66.88,64.82,66.0,2484750
2015-05-14 05:30:00+05:30,65.65,65.82,64.75,65.28,1316348
2015-05-15 05:30:00+05:30,65.47,66.5,64.81,65.22,954624
2015-05-18 05:30:00+05:30,66.11,66.83,65.38,65.79,1316042
2015-05-19 05:30:00+05:30,65.38,65.65,63.21,63.53,1766204
2015-05-20 05:30:00+05:30,63.78,63.8,61.89,62.49,2519400
2015-05-21 05:30:00+05:30,62.93,62.93,61.23,61.91,2236076
2015-05-22 05:30:00+05:30,62.29,63.85,62.03,63.05,1240946
2015-05-25 05:30:00+05:30,63.07,63.76,62.42,62.82,658274
2015-05-26 05:30:00+05:30,62.74,62.95,61.41,61.93,1230380
2015-05-27 05:30:00+05:30,61.51,62.55,61.38,62.39,920817
2015-05-28 05:30:00+05:30,62.52,63.11,61.63,62.39,1074959
2015-05-29 05:30:00+05:30,62.68,64.43,62.62,64.12,1814241
2015-06-01 05:30:00+05:30,64.05,64.32,62.2,62.47,926603
2015-06-02 05:30:00+05:30,62.68,62.85,61.55,61.75,772554
2015-06-03 05:30:00+05:30,61.76,62.68,60.34,61.95,1088049
2015-06-04 05:30:00+05:30,62.58,63.46,61.16,61.7,923027
2015-06-05 05:30:00+05:30,61.62,62.06,60.31,61.14,1039832
2015-06-08 05:30:00+05:30,61.73,61.73,59.52,59.87,1053264
2015-06-09 05:30:00+05:30,59.4,60.75,59.33,60.46,964872
2015-06-10 05:30:00+05:30,60.77,64.51,60.58,64.23,3309641
2015-06-11 05:30:00+05:30,64.69,65.01,62.29,62.72,1885404
2015-06-12 05:30:00+05:30,62.66,63.53,62.06,62.21,729026
2015-06-15 05:30:00+05:30,62.52,64.03,62.43,63.29,735533
2015-06-16 05:30:00+05:30,63.27,64.26,62.29,63.88,738350
2015-06-17 05:30:00+05:30,64.49,64.72,63.6,63.79,975564
2015-06-18 05:30:00+05:30,64.09,65.17,63.97,64.53,1018682
2015-06-19 05:30:00+05:30,64.82,65.78,64.36,65.04,1302015
2015-06-22 05:30:00+05:30,65.2,66.2,64.99,65.72,860016
2015-06-23 05:30:00+05:30,65.81,66.13,65.1,65.83,521126
2015-06-24 05:30:00+05:30,66.19,67.81,65.74,67.39,2487029
2015-06-25 05:30:00+05:30,67.33,68.84,67.1,67.98,3111885
2015-06-26 05:30:00+05:30,67.82,68.85,67.04,67.72,1459215
2015-06-29 05:30:00+05:30,62.81,67.54,62.81,66.96,2410838
