Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,319.25,320.0,315.0,315.9,60500
2015-01-02 05:30:00+05:30,312.8,318.33,312.8,316.58,136860
2015-01-05 05:30:00+05:30,318.5,318.5,314.5,316.75,213800
2015-01-06 05:30:00+05:30,314.8,315.65,311.0,312.34,263180
2015-01-07 05:30:00+05:30,313.25,315.45,312.38,313.65,713460
2015-01-08 05:30:00+05:30,313.75,317.25,313.75,315.02,150480
2015-01-09 05:30:00+05:30,318.5,324.0,313.68,319.32,409840
2015-01-12 05:30:00+05:30,321.0,326.0,319.27,323.14,951140
2015-01-13 05:30:00+05:30,323.5,337.05,323.5,335.73,1102160
2015-01-14 05:30:00+05:30,336.75,346.5,334.25,339.09,748060
2015-01-15 05:30:00+05:30,343.46,347.0,338.05,340.46,1195060
2015-01-16 05:30:00+05:30,338.1,350.25,337.0,349.26,997040
2015-01-19 05:30:00+05:30,350.25,355.0,349.23,353.7,708280
2015-01-20 05:30:00+05:30,353.65,355.5,350.0,353.73,568620
2015-01-21 05:30:00+05:30,354.39,356.0,351.91,354.0,622080
2015-01-22 05:30:00+05:30,353.75,358.5,352.6,354.85,1082980
2015-01-23 05:30:00+05:30,357.4,364.5,357.4,362.92,917320
2015-01-27 05:30:00+05:30,362.92,371.5,362.8,367.5,907000
2015-01-28 05:30:00+05:30,367.25,371.05,360.75,365.2,475240
2015-01-29 05:30:00+05:30,365.0,368.25,357.4,360.72,440800
2015-01-30 05:30:00+05:30,361.0,361.0,355.0,355.65,607740
2015-02-02 05:30:00+05:30,355.69,358.08,348.82,352.98,494320
2015-02-03 05:30:00+05:30,355.55,359.5,347.5,353.93,378180
2015-02-04 05:30:00+05:30,353.9,356.96,347.8,348.89,131760
2015-02-05 05:30:00+05:30,352.5,352.5,340.5,344.96,340860
2015-02-06 05:30:00+05:30,345.0,348.5,342.5,344.23,177620
2015-02-09 05:30:00+05:30,344.5,346.5,338.0,341.77,311020
2015-02-10 05:30:00+05:30,345.0,350.9,338.35,339.71,318040
2015-02-11 05:30:00+05:30,344.95,350.0,340.25,344.05,274160
2015-02-12 05:30:00+05:30,344.25,348.5,339.02,341.23,257740
2015-02-13 05:30:00+05:30,342.0,354.89,341.5,351.68,573700
2015-02-16 05:30:00+05:30,361.3,363.6,355.12,357.37,477900
2015-02-18 05:30:00+05:30,357.5,361.25,353.0,358.47,643780
2015-02-19 05:30:00+05:30,358.75,358.75,350.69,352.09,230180
2015-02-20 05:30:00+05:30,352.55,361.89,351.25,358.84,2695220
2015-02-23 05:30:00+05:30,360.26,360.26,348.13,349.97,584180
2015-02-24 05:30:00+05:30,350.1,353.99,346.5,350.49,1165940
2015-02-25 05:30:00+05:30,351.21,353.75,350.5,352.63,858920
2015-02-26 05:30:00+05:30,354.99,354.99,347.5,350.97,514040
2015-02-27 05:30:00+05:30,352.23,352.95,349.98,351.05,1312840
2015-02-28 05:30:00+05:30,353.5,354.9,350.35,351.2,83540
2015-03-02 05:30:00+05:30,352.5,352.5,347.5,349.5,521600
2015-03-03 05:30:00+05:30,352.0,358.03,346.62,354.81,524860
2015-03-04 05:30:00+05:30,358.2,365.95,355.65,364.99,905620
2015-03-05 05:30:00+05:30,365.0,368.32,362.32,364.8,607680
2015-03-09 05:30:00+05:30,364.85,371.25,361.75,369.22,431520
2015-03-10 05:30:00+05:30,369.35,375.25,367.47,369.86,365160
2015-03-11 05:30:00+05:30,369.48,372.29,362.65,364.04,386900
2015-03-12 05:30:00+05:30,365.01,369.0,365.01,366.45,274020
2015-03-13 05:30:00+05:30,367.77,367.89,362.7,364.95,430300
2015-03-16 05:30:00+05:30,367.4,367.4,362.75,363.84,254460
2015-03-17 05:30:00+05:30,365.0,370.0,365.0,369.46,541880
2015-03-18 05:30:00+05:30,370.5,371.0,368.3,370.42,992220
2015-03-19 05:30:00+05:30,371.0,371.0,366.05,368.37,540260
2015-03-20 05:30:00+05:30,370.0,370.0,361.25,363.21,548920
2015-03-23 05:30:00+05:30,364.2,364.22,354.5,356.7,472500
2015-03-24 05:30:00+05:30,359.25,359.5,349.5,351.08,535500
2015-03-25 05:30:00+05:30,348.6,354.75,348.6,352.09,542640
2015-03-26 05:30:00+05:30,351.0,351.55,338.25,342.26,847220
2015-03-27 05:30:00+05:30,344.9,345.85,338.55,340.75,524860
2015-03-30 05:30:00+05:30,342.0,349.95,342.0,347.2,903860
2015-03-31 05:30:00+05:30,347.5,356.6,341.38,347.37,1284000
2015-04-01 05:30:00+05:30,352.55,353.0,343.5,346.16,274980
2015-04-06 05:30:00+05:30,349.45,357.5,346.32,356.07,498260
2015-04-07 05:30:00+05:30,356.07,358.75,353.21,357.87,354360
2015-04-08 05:30:00+05:30,357.3,358.41,350.5,352.31,253900
2015-04-09 05:30:00+05:30,353.0,355.6,353.0,355.05,609340
2015-04-10 05:30:00+05:30,356.1,356.99,353.25,354.93,899140
2015-04-13 05:30:00+05:30,356.0,356.0,353.31,354.93,590040
2015-04-15 05:30:00+05:30,355.05,355.47,351.25,353.42,468540
2015-04-16 05:30:00+05:30,353.42,354.75,349.5,351.34,528120
2015-04-17 05:30:00+05:30,351.21,352.65,349.5,350.04,286920
2015-04-20 05:30:00+05:30,350.05,350.5,345.0,347.66,305160
2015-04-21 05:30:00+05:30,349.99,349.99,343.25,344.39,222660
2015-04-22 05:30:00+05:30,344.35,347.0,341.27,343.6,347480
2015-04-23 05:30:00+05:30,346.7,346.7,343.3,345.44,716540
2015-04-24 05:30:00+05:30,347.5,347.5,339.01,342.49,212780
2015-04-27 05:30:00+05:30,342.45,343.4,338.05,342.41,684780
2015-04-28 05:30:00+05:30,342.0,342.5,339.77,341.84,506520
2015-04-29 05:30:00+05:30,344.0,344.0,326.25,328.27,833100
2015-04-30 05:30:00+05:30,328.26,335.5,326.3,328.63,858380
2015-05-04 05:30:00+05:30,333.0,340.5,331.17,340.07,338820
2015-05-05 05:30:00+05:30,340.45,341.75,338.6,340.37,291640
2015-05-06 05:30:00+05:30,340.47,341.0,337.81,340.14,348660
2015-05-07 05:30:00+05:30,342.5,342.5,336.25,338.38,570180
2015-05-08 05:30:00+05:30,338.05,343.5,338.05,339.82,449040
2015-05-11 05:30:00+05:30,342.85,343.5,338.16,340.32,787160
2015-05-12 05:30:00+05:30,340.61,342.25,334.0,335.22,761380
2015-05-13 05:30:00+05:30,335.27,340.53,332.5,335.08,690220
2015-05-14 05:30:00+05:30,335.25,345.99,335.25,342.73,404840
2015-05-15 05:30:00+05:30,343.75,352.5,343.01,351.57,462760
2015-05-18 05:30:00+05:30,355.01,367.45,347.05,353.87,753320
2015-05-19 05:30:00+05:30,355.0,357.9,345.13,351.44,522280
2015-05-20 05:30:00+05:30,353.44,355.82,342.75,348.08,605100
2015-05-21 05:30:00+05:30,343.75,349.95,341.5,347.45,618140
2015-05-22 05:30:00+05:30,347.5,355.98,346.4,349.8,847920
2015-05-25 05:30:00+05:30,346.3,350.7,345.25,346.83,258300
2015-05-26 05:30:00+05:30,348.0,349.65,326.76,340.27,1256800
2015-05-27 05:30:00+05:30,340.27,356.75,338.8,353.13,1234000
2015-05-28 05:30:00+05:30,354.5,360.5,347.78,352.88,684300
2015-05-29 05:30:00+05:30,349.6,352.88,328.24,337.58,2166760
2015-06-01 05:30:00+05:30,335.0,336.65,326.55,333.51,1366460
2015-06-02 05:30:00+05:30,338.6,350.0,337.76,340.16,1503080
2015-06-03 05:30:00+05:30,325.0,326.65,299.0,309.35,7808880
2015-06-04 05:30:00+05:30,294.0,302.5,290.03,300.22,8609540
2015-06-05 05:30:00+05:30,291.5,306.25,285.55,300.58,15123780
2015-06-08 05:30:00+05:30,292.5,292.5,275.05,278.45,6897380
2015-06-09 05:30:00+05:30,279.52,306.0,276.25,298.22,11377620
2015-06-10 05:30:00+05:30,302.5,312.0,301.06,303.02,4943000
2015-06-11 05:30:00+05:30,307.95,315.3,298.79,308.24,6056040
2015-06-12 05:30:00+05:30,309.23,309.23,296.27,304.36,2093980
2015-06-15 05:30:00+05:30,302.4,302.5,294.62,297.75,1461340
2015-06-16 05:30:00+05:30,294.95,294.95,287.75,289.23,1749640
2015-06-17 05:30:00+05:30,287.25,295.0,282.55,291.95,2810340
2015-06-18 05:30:00+05:30,293.2,306.4,292.5,304.08,2379380
2015-06-19 05:30:00+05:30,300.5,316.25,300.5,314.05,2916820
2015-06-22 05:30:00+05:30,313.8,320.56,310.75,314.83,1578880
2015-06-23 05:30:00+05:30,314.5,314.5,305.01,306.39,1087660
2015-06-24 05:30:00+05:30,307.5,308.16,299.06,300.21,1100560
2015-06-25 05:30:00+05:30,300.25,302.45,290.51,291.82,2730260
2015-06-26 05:30:00+05:30,296.1,298.5,293.5,297.91,1517260
2015-06-29 05:30:00+05:30,291.27,304.38,291.27,303.55,1641920
2015-06-30 05:30:00+05:30,301.1,319.6,301.1,317.61,5053860
2015-07-01 05:30:00+05:30,320.0,324.7,305.8,307.22,3379980
2015-07-02 05:30:00+05:30,313.0,318.75,310.75,312.08,2226580
2015-07-03 05:30:00+05:30,315.75,317.25,307.55,308.26,1795300
2015-07-06 05:30:00+05:30,310.0,310.0,303.75,306.02,772420
2015-07-07 05:30:00+05:30,309.5,309.5,303.0,304.24,1270540
2015-07-08 05:30:00+05:30,303.0,303.01,298.01,299.8,2180020
2015-07-09 05:30:00+05:30,303.75,304.95,300.05,301.5,1416380
2015-07-10 05:30:00+05:30,303.0,303.5,296.3,298.17,1841440
2015-07-13 05:30:00+05:30,301.0,301.0,294.75,297.77,1314900
2015-07-14 05:30:00+05:30,299.5,299.7,296.76,297.65,814760
2015-07-15 05:30:00+05:30,296.0,299.78,296.0,298.4,2028020
2015-07-16 05:30:00+05:30,299.5,302.27,298.75,301.27,710740
2015-07-17 05:30:00+05:30,301.0,306.25,301.0,303.93,1057040
2015-07-20 05:30:00+05:30,305.25,306.59,302.89,303.55,399060
2015-07-21 05:30:00+05:30,305.0,305.39,302.5,303.43,452920
2015-07-22 05:30:00+05:30,302.4,302.4,298.7,299.53,524660
2015-07-23 05:30:00+05:30,300.0,303.5,299.97,303.02,626740
2015-07-24 05:30:00+05:30,302.6,306.22,300.0,301.7,610640
2015-07-27 05:30:00+05:30,305.0,315.34,301.65,313.07,2264780
2015-07-28 05:30:00+05:30,313.25,315.0,308.45,309.62,1077740
2015-07-29 05:30:00+05:30,310.0,312.73,304.12,307.63,1462520
2015-07-30 05:30:00+05:30,301.6,319.5,299.02,316.56,3539580
2015-07-31 05:30:00+05:30,310.5,319.5,310.5,317.87,2239100
2015-08-03 05:30:00+05:30,319.25,325.0,311.0,316.31,2175840
2015-08-04 05:30:00+05:30,317.5,319.18,316.01,317.53,2115420
2015-08-05 05:30:00+05:30,340.0,349.9,329.51,341.92,7291100
2015-08-06 05:30:00+05:30,326.69,329.8,322.5,324.31,3465900
2015-08-07 05:30:00+05:30,327.4,328.0,326.28,327.43,1386780
2015-08-10 05:30:00+05:30,327.5,328.37,317.35,319.42,1240620
2015-08-11 05:30:00+05:30,323.02,323.2,315.0,315.87,1024740
2015-08-12 05:30:00+05:30,311.25,317.5,300.35,311.71,2288740
2015-08-13 05:30:00+05:30,315.0,326.65,311.7,315.86,10121700
2015-08-14 05:30:00+05:30,319.9,319.9,312.56,313.44,1277080
2015-08-17 05:30:00+05:30,313.44,314.0,306.5,306.77,908340
2015-08-18 05:30:00+05:30,310.05,310.35,307.0,308.24,1267800
2015-08-19 05:30:00+05:30,310.0,310.0,304.06,304.94,1183320
2015-08-20 05:30:00+05:30,306.25,309.0,304.29,307.55,1310820
2015-08-21 05:30:00+05:30,303.75,309.75,303.0,304.54,738980
2015-08-24 05:30:00+05:30,303.9,310.44,299.75,301.8,1571680
2015-08-25 05:30:00+05:30,304.75,311.04,301.45,308.17,1011360
2015-08-26 05:30:00+05:30,308.5,309.99,302.5,303.21,1139660
2015-08-27 05:30:00+05:30,308.25,308.75,301.5,302.85,719600
2015-08-28 05:30:00+05:30,305.0,307.0,302.0,305.23,863400
2015-08-31 05:30:00+05:30,305.0,305.25,297.5,298.27,1388160
2015-09-01 05:30:00+05:30,296.75,301.42,295.5,300.18,697040
2015-09-02 05:30:00+05:30,302.05,303.36,295.18,296.5,811500
2015-09-03 05:30:00+05:30,301.48,303.74,292.5,301.77,1035980
2015-09-04 05:30:00+05:30,302.5,303.25,298.02,299.78,390760
2015-09-07 05:30:00+05:30,300.15,301.5,298.0,300.07,620080
2015-09-08 05:30:00+05:30,299.05,300.21,294.0,295.11,745780
2015-09-09 05:30:00+05:30,297.0,299.75,296.55,299.33,524680
2015-09-10 05:30:00+05:30,300.0,300.75,298.5,300.26,458920
2015-09-11 05:30:00+05:30,300.05,303.0,298.06,300.06,283840
2015-09-14 05:30:00+05:30,301.0,303.45,300.0,302.83,369140
2015-09-15 05:30:00+05:30,302.0,304.5,300.0,301.25,427300
2015-09-16 05:30:00+05:30,304.35,306.9,300.19,304.82,1040500
2015-09-18 05:30:00+05:30,304.82,313.0,304.82,311.83,1297880
2015-09-21 05:30:00+05:30,312.75,312.75,308.5,308.84,198280
2015-09-22 05:30:00+05:30,311.0,315.0,306.25,307.42,506640
2015-09-23 05:30:00+05:30,308.95,317.52,303.0,310.99,628980
2015-09-24 05:30:00+05:30,314.4,314.4,307.62,310.6,536920
2015-09-28 05:30:00+05:30,312.25,313.9,307.65,310.96,556260
2015-09-29 05:30:00+05:30,309.4,312.5,305.55,308.98,483740
2015-09-30 05:30:00+05:30,312.5,319.9,310.67,318.38,1097420
2015-10-01 05:30:00+05:30,318.2,321.7,316.16,321.13,606180
2015-10-05 05:30:00+05:30,322.5,324.1,321.3,323.93,588660
2015-10-06 05:30:00+05:30,324.0,325.95,321.25,324.76,464720
2015-10-07 05:30:00+05:30,324.5,324.5,315.74,316.88,738680
2015-10-08 05:30:00+05:30,319.6,320.95,317.02,318.37,179440
2015-10-09 05:30:00+05:30,318.35,322.45,317.63,320.83,297500
2015-10-12 05:30:00+05:30,320.85,321.5,311.5,312.81,481200
2015-10-13 05:30:00+05:30,313.35,315.88,305.26,307.6,925300
2015-10-14 05:30:00+05:30,309.95,312.4,305.55,310.53,312380
2015-10-15 05:30:00+05:30,309.75,312.95,307.52,310.33,482180
2015-10-16 05:30:00+05:30,312.5,333.5,308.5,328.47,6347460
2015-10-19 05:30:00+05:30,329.9,330.72,322.61,324.65,1438240
2015-10-20 05:30:00+05:30,329.92,332.43,325.52,326.83,1463060
2015-10-21 05:30:00+05:30,327.25,331.45,322.01,323.17,1199100
2015-10-23 05:30:00+05:30,327.5,327.5,315.56,316.43,781340
2015-10-26 05:30:00+05:30,317.9,321.0,314.0,315.82,668320
2015-10-27 05:30:00+05:30,319.95,320.5,317.25,317.73,666520
2015-10-28 05:30:00+05:30,318.5,319.0,315.0,316.87,596880
2015-10-29 05:30:00+05:30,316.88,318.5,312.6,314.52,955500
2015-10-30 05:30:00+05:30,311.5,313.1,307.5,308.7,1020400
2015-11-02 05:30:00+05:30,308.0,315.95,307.5,313.8,593800
2015-11-03 05:30:00+05:30,314.95,316.0,310.26,310.89,570000
