Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,120.17,120.21,118.42,118.71,1478981
2015-01-02 05:30:00+05:30,118.75,120.83,118.75,120.33,2383093
2015-01-05 05:30:00+05:30,120.46,120.75,119.21,120.0,2197057
2015-01-06 05:30:00+05:30,119.58,120.42,115.21,116.0,5923512
2015-01-07 05:30:00+05:30,117.08,119.17,116.13,118.79,5848555
2015-01-08 05:30:00+05:30,119.42,121.08,119.33,120.79,7564225
2015-01-09 05:30:00+05:30,120.96,121.25,116.25,116.88,3778993
2015-01-12 05:30:00+05:30,117.5,117.83,115.42,116.67,3190536
2015-01-13 05:30:00+05:30,116.04,116.96,115.08,115.79,4515434
2015-01-14 05:30:00+05:30,116.42,116.88,114.33,114.79,2736211
2015-01-15 05:30:00+05:30,116.54,117.13,115.33,116.0,7016254
2015-01-16 05:30:00+05:30,115.54,118.17,115.29,117.0,6225935
2015-01-19 05:30:00+05:30,117.42,119.08,116.54,118.13,5186906
2015-01-20 05:30:00+05:30,118.96,119.58,118.42,119.04,6449028
2015-01-21 05:30:00+05:30,119.38,120.13,118.58,119.58,6947634
2015-01-22 05:30:00+05:30,119.58,119.75,116.13,116.83,6729065
2015-01-23 05:30:00+05:30,118.0,118.5,117.04,118.25,9045246
2015-01-27 05:30:00+05:30,118.75,119.75,117.25,119.29,17981989
2015-01-28 05:30:00+05:30,119.17,120.79,117.96,119.04,6764470
2015-01-29 05:30:00+05:30,118.92,118.92,117.58,118.21,17553749
2015-01-30 05:30:00+05:30,119.0,122.83,118.42,119.71,22309884
2015-02-02 05:30:00+05:30,120.38,120.38,117.96,118.38,10364855
2015-02-03 05:30:00+05:30,118.71,120.67,118.46,120.0,7781554
2015-02-04 05:30:00+05:30,119.33,120.08,118.38,119.0,4036543
2015-02-05 05:30:00+05:30,118.5,119.25,115.88,116.79,6143088
2015-02-06 05:30:00+05:30,116.79,117.29,115.25,116.67,5976496
2015-02-09 05:30:00+05:30,115.83,117.0,115.08,115.67,3114468
2015-02-10 05:30:00+05:30,115.0,116.92,113.96,114.29,4506774
2015-02-11 05:30:00+05:30,114.17,117.5,114.0,116.79,3522443
2015-02-12 05:30:00+05:30,117.13,118.88,116.71,118.42,5162803
2015-02-13 05:30:00+05:30,118.42,119.75,118.0,119.38,3614206
2015-02-16 05:30:00+05:30,118.5,120.54,118.5,120.0,1945559
2015-02-18 05:30:00+05:30,120.04,123.17,119.67,121.71,4976054
2015-02-19 05:30:00+05:30,121.83,122.67,118.33,122.21,3709055
2015-02-20 05:30:00+05:30,122.0,122.79,120.08,121.38,3178181
2015-02-23 05:30:00+05:30,121.38,122.33,120.25,121.71,6031716
2015-02-24 05:30:00+05:30,121.88,124.33,121.67,122.17,5885638
2015-02-25 05:30:00+05:30,122.5,123.83,121.33,121.71,7538304
2015-02-26 05:30:00+05:30,122.58,129.04,121.46,127.79,25489447
