Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,120.56,122.76,119.3,122.34,1635928
2015-01-02 05:30:00+05:30,122.54,125.96,121.82,122.72,3830649
2015-01-05 05:30:00+05:30,123.04,124.6,121.52,121.78,2330784
2015-01-06 05:30:00+05:30,120.54,120.8,114.4,115.1,3696371
2015-01-07 05:30:00+05:30,115.2,116.16,110.2,111.04,5527305
2015-01-08 05:30:00+05:30,113.44,113.84,109.24,111.8,5735154
2015-01-09 05:30:00+05:30,113.16,113.52,111.44,112.28,3082944
2015-01-12 05:30:00+05:30,112.4,113.8,109.72,113.38,1738535
2015-01-13 05:30:00+05:30,113.2,113.8,109.44,110.12,1968960
2015-01-14 05:30:00+05:30,110.38,112.72,110.0,112.04,2349605
2015-01-15 05:30:00+05:30,114.44,118.28,113.2,116.6,5844566
2015-01-16 05:30:00+05:30,116.6,117.96,114.7,116.28,2444169
2015-01-19 05:30:00+05:30,116.8,119.6,116.8,117.2,3496301
2015-01-20 05:30:00+05:30,118.28,118.96,115.22,115.92,2429105
2015-01-21 05:30:00+05:30,116.0,117.92,113.2,114.56,4336035
2015-01-22 05:30:00+05:30,114.0,115.86,110.6,111.8,3213975
2015-01-23 05:30:00+05:30,113.2,115.16,110.24,112.6,4523404
2015-01-27 05:30:00+05:30,113.24,114.2,110.48,113.1,2285865
2015-01-28 05:30:00+05:30,113.2,117.6,112.52,117.06,4607011
2015-01-29 05:30:00+05:30,117.4,120.2,116.4,118.4,6284038
2015-01-30 05:30:00+05:30,119.18,122.36,117.64,119.38,4699578
2015-02-02 05:30:00+05:30,119.22,124.78,118.64,123.94,5501209
2015-02-03 05:30:00+05:30,124.8,125.4,114.0,114.78,4439459
2015-02-04 05:30:00+05:30,114.88,117.44,112.2,112.48,5002078
2015-02-05 05:30:00+05:30,112.48,115.06,111.1,111.8,2395883
2015-02-06 05:30:00+05:30,112.0,114.4,110.52,113.3,2088686
2015-02-09 05:30:00+05:30,112.5,112.5,109.68,110.86,1653573
2015-02-10 05:30:00+05:30,110.2,114.8,109.42,113.84,2935900
2015-02-11 05:30:00+05:30,114.24,115.08,110.96,112.42,3073808
2015-02-12 05:30:00+05:30,113.0,114.4,111.3,112.94,1848975
2015-02-13 05:30:00+05:30,111.98,113.16,109.32,109.88,4704875
2015-02-16 05:30:00+05:30,110.6,113.34,110.02,112.68,3112648
2015-02-18 05:30:00+05:30,112.68,112.92,109.66,110.06,2080709
2015-02-19 05:30:00+05:30,110.98,111.48,108.0,110.3,2387048
2015-02-20 05:30:00+05:30,110.9,112.8,109.22,111.32,2128744
2015-02-23 05:30:00+05:30,112.14,112.4,108.64,109.2,2109834
2015-02-24 05:30:00+05:30,109.4,109.9,107.34,108.12,2508410
2015-02-25 05:30:00+05:30,109.0,109.8,108.24,109.2,1811720
2015-02-26 05:30:00+05:30,109.76,112.08,108.86,111.6,3763908
2015-02-27 05:30:00+05:30,112.4,117.98,110.76,117.46,4583255
2015-02-28 05:30:00+05:30,118.4,118.98,114.72,117.24,2540605
2015-03-02 05:30:00+05:30,118.24,124.4,117.4,123.48,5249178
2015-03-03 05:30:00+05:30,123.66,125.28,120.8,122.46,4982311
2015-03-04 05:30:00+05:30,121.6,122.74,116.2,117.0,4147009
2015-03-05 05:30:00+05:30,117.68,118.94,116.34,117.96,3722826
2015-03-09 05:30:00+05:30,117.36,118.16,114.86,115.84,2242350
