Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,77.82,77.93,77.2,77.31,776890
2015-01-02 05:30:00+05:30,77.34,78.58,77.34,78.24,3603816
2015-01-05 05:30:00+05:30,78.1,79.0,76.78,78.33,7273125
2015-01-06 05:30:00+05:30,77.85,77.99,75.65,76.58,8268241
2015-01-07 05:30:00+05:30,76.13,78.1,75.28,77.68,3248041
2015-01-08 05:30:00+05:30,77.82,78.33,76.83,78.02,2430509
2015-01-09 05:30:00+05:30,77.99,78.67,77.23,78.07,2074445
2015-01-12 05:30:00+05:30,77.59,78.5,76.41,76.97,3651823
2015-01-13 05:30:00+05:30,77.0,77.71,76.27,76.61,2843582
2015-01-14 05:30:00+05:30,76.58,77.2,76.02,76.72,3929167
2015-01-15 05:30:00+05:30,76.97,81.03,76.97,80.61,6409342
2015-01-16 05:30:00+05:30,80.53,83.99,79.4,83.09,8201939
2015-01-19 05:30:00+05:30,82.98,83.97,81.43,83.37,5069996
2015-01-20 05:30:00+05:30,84.02,84.59,82.78,83.12,6129745
2015-01-21 05:30:00+05:30,83.06,83.49,82.36,82.84,2858027
2015-01-22 05:30:00+05:30,82.95,85.38,82.7,83.66,6999214
2015-01-23 05:30:00+05:30,83.91,84.59,83.01,84.33,4538090
2015-01-27 05:30:00+05:30,83.6,85.15,83.01,84.56,6032938
2015-01-28 05:30:00+05:30,84.84,85.55,84.02,84.28,5435377
2015-01-29 05:30:00+05:30,84.5,84.56,83.23,83.91,6906408
2015-01-30 05:30:00+05:30,83.74,84.87,82.33,83.46,3086410
2015-02-02 05:30:00+05:30,83.04,83.85,82.33,83.37,2421135
2015-02-03 05:30:00+05:30,83.97,84.25,82.61,83.01,1316714
2015-02-04 05:30:00+05:30,83.18,84.16,82.27,82.47,1736476
2015-02-05 05:30:00+05:30,82.47,82.84,80.47,81.01,2447285
2015-02-06 05:30:00+05:30,80.3,81.77,79.85,80.89,2416777
2015-02-09 05:30:00+05:30,80.64,80.89,78.95,79.77,2504817
2015-02-10 05:30:00+05:30,79.06,82.44,78.95,81.82,3972662
2015-02-11 05:30:00+05:30,82.33,83.94,81.77,82.19,5656504
2015-02-12 05:30:00+05:30,83.91,85.71,82.36,84.73,7757398
2015-02-13 05:30:00+05:30,85.57,86.11,84.22,85.43,8249441
2015-02-16 05:30:00+05:30,85.71,87.07,85.71,86.14,3780208
2015-02-18 05:30:00+05:30,85.77,87.41,85.29,87.27,4024556
2015-02-19 05:30:00+05:30,87.29,87.43,85.24,87.01,2701253
2015-02-20 05:30:00+05:30,86.79,87.29,85.88,86.42,4574751
2015-02-23 05:30:00+05:30,86.28,88.82,86.0,87.91,5842956
2015-02-24 05:30:00+05:30,87.91,88.93,87.72,88.39,3776544
2015-02-25 05:30:00+05:30,88.87,88.96,86.05,87.15,3832908
2015-02-26 05:30:00+05:30,86.9,88.22,85.04,86.14,7349681
2015-02-27 05:30:00+05:30,86.25,88.82,85.77,88.59,4857999
2015-02-28 05:30:00+05:30,89.38,89.77,87.52,88.45,4166323
2015-03-02 05:30:00+05:30,88.96,89.66,87.63,88.36,3280017
2015-03-03 05:30:00+05:30,88.08,88.2,86.93,87.72,3763940
2015-03-04 05:30:00+05:30,88.05,88.73,86.33,87.1,4915225
2015-03-05 05:30:00+05:30,86.84,88.05,85.49,87.49,2505686
2015-03-09 05:30:00+05:30,86.45,87.04,84.42,84.73,2896950
2015-03-10 05:30:00+05:30,84.73,84.78,82.73,83.74,3997067
2015-03-11 05:30:00+05:30,84.25,84.59,83.15,83.4,3341996
2015-03-12 05:30:00+05:30,83.49,85.94,83.49,84.39,4024250
2015-03-13 05:30:00+05:30,84.73,84.81,82.33,82.67,3733995
2015-03-16 05:30:00+05:30,82.08,83.29,82.08,82.75,1542741
2015-03-17 05:30:00+05:30,82.95,84.02,82.36,83.26,4277515
2015-03-18 05:30:00+05:30,83.18,83.6,82.27,82.7,3484716
2015-03-19 05:30:00+05:30,82.7,84.16,81.77,82.39,2635039
2015-03-20 05:30:00+05:30,82.33,84.5,81.54,83.57,3754266
2015-03-23 05:30:00+05:30,84.3,85.66,83.77,84.14,4238738
2015-03-24 05:30:00+05:30,84.02,85.07,83.18,83.43,5157984
2015-03-25 05:30:00+05:30,83.32,83.77,82.44,82.61,5993144
2015-03-26 05:30:00+05:30,82.84,84.3,81.23,81.82,11818996
2015-03-27 05:30:00+05:30,81.82,82.3,80.75,81.63,3470478
2015-03-30 05:30:00+05:30,81.8,82.11,80.98,81.77,4348606
2015-03-31 05:30:00+05:30,82.05,82.58,81.49,81.91,4785956
2015-04-01 05:30:00+05:30,81.82,82.81,81.82,82.58,2801058
2015-04-06 05:30:00+05:30,82.56,84.28,82.25,83.43,5302159
2015-04-07 05:30:00+05:30,83.01,83.57,82.33,83.43,2450881
2015-04-08 05:30:00+05:30,83.2,84.47,82.89,83.06,3999016
2015-04-09 05:30:00+05:30,83.2,85.49,83.12,85.15,2416214
2015-04-10 05:30:00+05:30,85.43,86.31,84.76,86.11,2194649
2015-04-13 05:30:00+05:30,86.17,87.8,85.01,87.04,2203150
2015-04-15 05:30:00+05:30,87.38,87.97,85.15,85.46,2324989
2015-04-16 05:30:00+05:30,85.24,85.86,83.18,84.98,2485870
2015-04-17 05:30:00+05:30,84.98,85.49,84.08,84.64,3657639
2015-04-20 05:30:00+05:30,84.7,86.05,83.83,84.47,2273285
2015-04-21 05:30:00+05:30,84.59,85.71,83.52,83.94,2307110
2015-04-22 05:30:00+05:30,84.02,84.33,82.67,82.92,4837523
2015-04-23 05:30:00+05:30,83.46,83.99,82.27,82.7,3506343
2015-04-24 05:30:00+05:30,82.33,83.43,81.23,82.25,2606923
2015-04-27 05:30:00+05:30,82.39,83.32,81.49,81.74,2047221
2015-04-28 05:30:00+05:30,81.37,82.61,80.92,81.46,3420947
2015-04-29 05:30:00+05:30,81.4,81.65,80.36,80.67,2056818
2015-04-30 05:30:00+05:30,80.13,81.65,79.17,80.19,4089662
2015-05-04 05:30:00+05:30,80.64,81.54,79.51,81.29,3642920
2015-05-05 05:30:00+05:30,80.67,82.7,79.82,80.72,7979177
2015-05-06 05:30:00+05:30,80.5,80.5,78.98,79.29,6016500
2015-05-07 05:30:00+05:30,78.95,79.54,77.85,79.12,5434452
2015-05-08 05:30:00+05:30,79.51,80.19,78.78,78.95,2979638
2015-05-11 05:30:00+05:30,79.37,80.84,78.83,80.64,3918114
2015-05-12 05:30:00+05:30,80.58,80.67,78.16,78.55,4540446
2015-05-13 05:30:00+05:30,78.67,79.79,77.85,79.43,4087635
2015-05-14 05:30:00+05:30,79.4,79.4,77.96,78.61,3459008
2015-05-15 05:30:00+05:30,79.06,79.91,78.55,78.98,6289366
2015-05-18 05:30:00+05:30,78.67,79.48,78.24,78.98,14930379
2015-05-19 05:30:00+05:30,78.95,81.15,77.88,78.24,6578838
2015-05-20 05:30:00+05:30,78.44,79.74,78.41,79.4,5155547
2015-05-21 05:30:00+05:30,79.23,79.48,78.21,78.67,2622229
2015-05-22 05:30:00+05:30,78.55,80.05,77.48,79.48,5367217
2015-05-25 05:30:00+05:30,79.93,80.86,79.54,80.7,5543199
2015-05-26 05:30:00+05:30,80.86,80.98,79.82,80.67,2214919
2015-05-27 05:30:00+05:30,80.67,80.98,79.96,80.75,1134426
2015-05-28 05:30:00+05:30,81.34,81.34,79.26,80.75,3838906
2015-05-29 05:30:00+05:30,80.36,81.46,79.65,81.03,3464887
