Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,125.48,126.56,124.5,125.89,1024344
2015-01-02 05:30:00+05:30,125.96,129.17,125.25,125.59,1918265
2015-01-05 05:30:00+05:30,125.63,126.38,124.76,125.24,2259047
2015-01-06 05:30:00+05:30,124.9,124.9,119.35,119.95,2064414
2015-01-07 05:30:00+05:30,120.15,121.24,116.44,119.2,2989682
2015-01-08 05:30:00+05:30,120.38,122.4,116.35,120.34,3979779
2015-01-09 05:30:00+05:30,120.04,120.81,117.85,118.2,2001769
2015-01-12 05:30:00+05:30,120.0,120.1,117.44,118.19,1962592
2015-01-13 05:30:00+05:30,119.12,119.25,116.21,116.59,2712097
2015-01-14 05:30:00+05:30,117.38,118.88,116.25,117.04,1956369
2015-01-15 05:30:00+05:30,119.25,125.44,118.49,122.91,6345173
2015-01-16 05:30:00+05:30,122.25,124.34,120.6,122.35,2310009
2015-01-19 05:30:00+05:30,122.36,125.57,122.36,123.44,2093033
2015-01-20 05:30:00+05:30,124.16,124.67,120.49,120.7,1836528
2015-01-21 05:30:00+05:30,121.05,123.26,120.79,121.82,2965150
2015-01-22 05:30:00+05:30,120.96,122.44,117.56,119.42,2904475
2015-01-23 05:30:00+05:30,120.56,122.29,118.13,119.31,3232993
2015-01-27 05:30:00+05:30,120.3,123.0,117.75,122.4,4136792
2015-01-28 05:30:00+05:30,122.91,130.0,122.06,127.76,7024896
2015-01-29 05:30:00+05:30,128.18,131.21,126.53,127.6,6347253
2015-01-30 05:30:00+05:30,128.65,130.88,123.81,124.91,3713742
2015-02-02 05:30:00+05:30,124.91,130.5,123.75,129.45,2786746
2015-02-03 05:30:00+05:30,131.14,131.87,125.01,126.15,2904161
2015-02-04 05:30:00+05:30,126.56,127.31,123.47,124.11,2278166
2015-02-05 05:30:00+05:30,124.13,126.04,119.63,120.56,1798848
2015-02-06 05:30:00+05:30,121.13,124.13,120.0,122.95,2065447
2015-02-09 05:30:00+05:30,121.13,122.18,117.6,118.46,1871865
2015-02-10 05:30:00+05:30,117.38,123.75,117.11,121.75,2985091
2015-02-11 05:30:00+05:30,122.7,123.19,120.08,122.24,1781230
2015-02-12 05:30:00+05:30,123.06,123.34,120.4,121.9,1555729
2015-02-13 05:30:00+05:30,122.44,126.45,120.55,122.14,3838044
2015-02-16 05:30:00+05:30,122.81,127.9,122.1,126.89,4517055
2015-02-18 05:30:00+05:30,126.75,126.75,117.56,118.34,4607195
2015-02-19 05:30:00+05:30,119.14,119.96,115.31,118.69,3684774
2015-02-20 05:30:00+05:30,119.63,121.07,117.23,119.21,2372119
2015-02-23 05:30:00+05:30,119.31,120.08,117.59,118.26,3700119
2015-02-24 05:30:00+05:30,118.54,120.51,117.25,120.15,3199202
2015-02-25 05:30:00+05:30,120.38,121.01,119.16,119.55,2156222
2015-02-26 05:30:00+05:30,120.38,121.45,118.99,120.79,3093633
2015-02-27 05:30:00+05:30,121.76,125.85,120.98,125.4,3483764
2015-02-28 05:30:00+05:30,126.68,126.75,121.69,123.96,2355703
2015-03-02 05:30:00+05:30,125.1,137.25,124.13,135.86,6674261
2015-03-03 05:30:00+05:30,136.84,138.9,132.94,134.93,4153090
2015-03-04 05:30:00+05:30,136.09,139.41,129.38,131.06,7216430
2015-03-05 05:30:00+05:30,131.06,133.05,129.32,131.55,2407349
2015-03-09 05:30:00+05:30,129.98,131.74,127.45,128.25,1703469
2015-03-10 05:30:00+05:30,127.88,132.1,127.37,129.45,3159750
