Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,223.2,223.2,219.2,220.47,224580
2015-01-02 05:30:00+05:30,219.4,223.6,219.4,221.22,1140060
2015-01-05 05:30:00+05:30,221.89,224.94,212.92,214.32,2714270
2015-01-06 05:30:00+05:30,213.98,217.08,207.05,209.09,2630455
2015-01-07 05:30:00+05:30,207.6,209.83,204.72,208.0,2997375
2015-01-08 05:30:00+05:30,210.0,212.95,207.69,210.68,2122775
2015-01-09 05:30:00+05:30,212.0,214.8,209.74,212.22,1631725
2015-01-12 05:30:00+05:30,212.0,214.0,206.89,208.17,1672230
2015-01-13 05:30:00+05:30,208.4,210.65,206.46,207.9,1341805
2015-01-14 05:30:00+05:30,207.41,210.97,204.0,206.84,1721870
2015-01-15 05:30:00+05:30,211.55,224.5,211.55,222.17,6634490
2015-01-16 05:30:00+05:30,222.6,233.98,222.6,233.02,6486800
2015-01-19 05:30:00+05:30,234.24,235.42,223.43,228.52,3596275
2015-01-20 05:30:00+05:30,227.01,229.77,221.85,224.86,4028045
2015-01-21 05:30:00+05:30,227.39,232.0,219.41,221.29,3969370
2015-01-22 05:30:00+05:30,223.2,225.6,220.5,224.57,2249560
2015-01-23 05:30:00+05:30,226.6,228.32,215.62,219.09,4388500
2015-01-27 05:30:00+05:30,217.78,223.35,217.32,220.33,6726175
2015-01-28 05:30:00+05:30,220.2,232.76,219.4,231.77,2866135
2015-01-29 05:30:00+05:30,230.0,233.83,227.0,231.98,1517590
2015-01-30 05:30:00+05:30,232.8,233.78,226.06,228.47,2071770
2015-02-02 05:30:00+05:30,228.0,234.15,227.26,231.78,1898535
2015-02-03 05:30:00+05:30,233.78,241.0,232.0,234.62,3522345
2015-02-04 05:30:00+05:30,233.8,235.4,226.67,228.17,1344615
2015-02-05 05:30:00+05:30,228.2,237.74,228.2,231.43,2496745
2015-02-06 05:30:00+05:30,230.0,235.59,226.01,228.02,1363010
2015-02-09 05:30:00+05:30,228.02,232.8,226.2,229.5,1195380
