Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,489.25,494.15,487.03,493.16,934528
2015-01-02 05:30:00+05:30,491.97,511.91,491.97,506.37,4148596
2015-01-05 05:30:00+05:30,504.69,520.42,501.32,518.24,6686952
2015-01-06 05:30:00+05:30,508.89,508.89,493.95,496.08,7894918
2015-01-07 05:30:00+05:30,489.75,495.09,484.01,488.61,9134678
2015-01-08 05:30:00+05:30,498.65,509.34,495.68,506.57,5476843
2015-01-09 05:30:00+05:30,515.72,519.38,510.03,516.76,4010545
2015-01-12 05:30:00+05:30,513.0,519.13,505.83,516.76,2533395
2015-01-13 05:30:00+05:30,514.83,520.12,509.78,513.94,4282874
2015-01-14 05:30:00+05:30,515.97,521.06,508.5,514.83,6006186
2015-01-15 05:30:00+05:30,522.69,530.31,518.19,527.3,6829305
2015-01-16 05:30:00+05:30,525.47,530.12,516.86,520.17,4205034
2015-01-19 05:30:00+05:30,520.91,533.87,517.6,532.79,4568341
2015-01-20 05:30:00+05:30,533.03,555.05,529.08,553.27,6075180
2015-01-21 05:30:00+05:30,550.94,552.52,540.21,545.65,6452158
2015-01-22 05:30:00+05:30,544.81,562.67,542.73,560.49,5946787
2015-01-23 05:30:00+05:30,568.9,584.88,567.91,582.21,7682336
2015-01-27 05:30:00+05:30,589.73,601.25,589.73,598.14,7136967
2015-01-28 05:30:00+05:30,592.64,592.84,580.77,582.95,8209728
2015-01-29 05:30:00+05:30,579.78,594.33,574.44,592.25,5812166
2015-01-30 05:30:00+05:30,595.02,598.28,574.93,578.94,4136616
2015-02-02 05:30:00+05:30,581.56,589.58,574.69,586.21,4316925
2015-02-03 05:30:00+05:30,591.31,605.9,589.87,596.9,6035606
2015-02-04 05:30:00+05:30,600.21,600.21,581.96,585.13,3362648
2015-02-05 05:30:00+05:30,584.73,596.5,575.82,582.95,6774777
2015-02-06 05:30:00+05:30,561.03,565.93,546.34,553.66,12091509
2015-02-09 05:30:00+05:30,544.16,548.57,535.56,536.89,4579430
2015-02-10 05:30:00+05:30,538.23,561.97,537.59,558.11,5557625
2015-02-11 05:30:00+05:30,560.98,565.34,547.48,552.97,4588336
2015-02-12 05:30:00+05:30,556.24,559.99,546.64,555.84,5430678
2015-02-13 05:30:00+05:30,556.73,561.18,549.11,559.55,3469320
2015-02-16 05:30:00+05:30,562.96,574.29,559.5,568.06,5732125
2015-02-18 05:30:00+05:30,566.62,580.77,554.7,578.1,5784461
2015-02-19 05:30:00+05:30,579.78,586.26,566.03,570.43,4271131
2015-02-20 05:30:00+05:30,573.35,578.79,566.18,573.75,3865784
2015-02-23 05:30:00+05:30,575.82,578.25,565.98,568.11,3008142
2015-02-24 05:30:00+05:30,570.88,571.87,554.01,558.41,4304190
2015-02-25 05:30:00+05:30,560.69,569.89,558.02,562.17,3050026
2015-02-26 05:30:00+05:30,564.05,565.98,551.44,554.7,3533029
2015-02-27 05:30:00+05:30,561.03,574.84,557.52,569.05,4310800
2015-02-28 05:30:00+05:30,570.73,592.6,557.82,587.05,4108469
2015-03-02 05:30:00+05:30,591.06,594.62,567.02,578.79,4899347
2015-03-03 05:30:00+05:30,576.32,576.32,565.93,568.01,3555077
2015-03-04 05:30:00+05:30,575.33,585.82,564.05,568.01,6176534
2015-03-05 05:30:00+05:30,569.89,571.67,561.68,564.64,3318912
2015-03-09 05:30:00+05:30,564.94,567.51,556.04,559.1,3528212
2015-03-10 05:30:00+05:30,561.87,566.62,552.77,554.26,3875591
2015-03-11 05:30:00+05:30,555.05,559.2,542.38,545.05,3151043
2015-03-12 05:30:00+05:30,549.01,560.93,548.42,557.92,3394342
2015-03-13 05:30:00+05:30,559.65,559.7,549.21,552.43,5325356
2015-03-16 05:30:00+05:30,553.12,559.7,548.37,550.99,2757396
2015-03-17 05:30:00+05:30,558.02,572.86,556.43,565.49,5338621
