Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,82.2,82.65,81.95,82.15,938370
2015-01-02 05:30:00+05:30,82.25,83.75,82.25,83.35,2387959
2015-01-05 05:30:00+05:30,84.1,84.6,82.7,82.85,1932062
2015-01-06 05:30:00+05:30,82.0,82.3,79.5,79.65,3509161
2015-01-07 05:30:00+05:30,79.5,80.2,78.0,78.25,6050723
2015-01-08 05:30:00+05:30,78.8,80.4,78.8,80.0,2131875
2015-01-09 05:30:00+05:30,80.8,80.8,79.0,79.8,1628211
2015-01-12 05:30:00+05:30,79.65,80.55,79.1,80.3,1152593
2015-01-13 05:30:00+05:30,80.1,80.5,78.8,79.1,1239610
2015-01-14 05:30:00+05:30,79.2,79.5,78.2,78.85,1698726
2015-01-15 05:30:00+05:30,80.0,82.5,79.8,81.7,3779466
2015-01-16 05:30:00+05:30,81.4,83.0,81.1,82.7,3751660
2015-01-19 05:30:00+05:30,82.5,83.65,82.4,82.8,1681839
2015-01-20 05:30:00+05:30,82.85,83.65,81.6,82.1,2328202
2015-01-21 05:30:00+05:30,82.2,83.65,81.5,83.4,3908410
2015-01-22 05:30:00+05:30,83.5,83.75,82.65,83.3,1743113
2015-01-23 05:30:00+05:30,83.9,90.85,82.8,88.85,7726076
2015-01-27 05:30:00+05:30,89.4,91.2,88.25,89.0,6022715
2015-01-28 05:30:00+05:30,89.0,90.3,87.5,88.0,4184638
2015-01-29 05:30:00+05:30,87.95,88.8,86.5,88.15,6091464
2015-01-30 05:30:00+05:30,88.35,91.55,87.8,90.5,4689840
2015-02-02 05:30:00+05:30,91.2,92.45,89.3,91.15,5228666
2015-02-03 05:30:00+05:30,91.45,92.0,86.9,87.35,3239110
2015-02-04 05:30:00+05:30,88.1,92.0,87.8,90.1,8146546
2015-02-05 05:30:00+05:30,91.0,91.1,82.35,83.3,8635942
2015-02-06 05:30:00+05:30,83.3,84.45,80.55,82.1,6246080
2015-02-09 05:30:00+05:30,80.5,80.9,78.45,80.05,6683197
2015-02-10 05:30:00+05:30,78.3,82.2,77.95,81.3,6072995
2015-02-11 05:30:00+05:30,81.8,82.7,81.5,82.15,1923495
2015-02-12 05:30:00+05:30,82.1,84.4,81.8,83.9,2829265
2015-02-13 05:30:00+05:30,84.5,84.65,83.15,84.4,2601904
2015-02-16 05:30:00+05:30,84.3,85.0,83.4,84.1,1912876
2015-02-18 05:30:00+05:30,84.4,86.8,84.0,86.25,2950082
2015-02-19 05:30:00+05:30,86.7,88.8,83.5,88.3,3956381
2015-02-20 05:30:00+05:30,88.3,88.65,85.45,85.95,3317379
2015-02-23 05:30:00+05:30,86.45,87.8,84.4,84.95,4082849
2015-02-24 05:30:00+05:30,85.25,86.1,83.25,84.45,4198879
2015-02-25 05:30:00+05:30,84.85,85.7,82.6,83.0,2045340
2015-02-26 05:30:00+05:30,82.8,83.65,81.2,82.7,4020091
2015-02-27 05:30:00+05:30,84.6,87.9,84.5,87.3,7855296
2015-02-28 05:30:00+05:30,89.0,89.2,84.55,86.85,4884856
2015-03-02 05:30:00+05:30,86.5,87.4,85.1,86.25,3162250
2015-03-03 05:30:00+05:30,86.4,87.8,85.0,87.25,2803269
2015-03-04 05:30:00+05:30,88.0,88.3,83.8,84.35,2752005
2015-03-05 05:30:00+05:30,84.35,85.9,84.0,85.3,2394050
2015-03-09 05:30:00+05:30,84.55,84.85,82.0,82.25,2210809
2015-03-10 05:30:00+05:30,82.75,83.2,80.85,81.1,2361600
2015-03-11 05:30:00+05:30,81.8,82.15,80.55,80.85,3338126
2015-03-12 05:30:00+05:30,81.25,82.4,81.2,81.45,3011012
2015-03-13 05:30:00+05:30,82.7,82.7,79.4,79.7,3689687
2015-03-16 05:30:00+05:30,80.7,81.45,79.5,81.0,3030132
2015-03-17 05:30:00+05:30,81.65,81.8,80.05,80.55,2387387
2015-03-18 05:30:00+05:30,80.15,82.1,78.85,80.35,5906417
2015-03-19 05:30:00+05:30,80.95,81.75,79.5,79.8,2905760
2015-03-20 05:30:00+05:30,80.0,80.4,78.65,78.95,2398900
2015-03-23 05:30:00+05:30,79.5,79.6,78.35,78.75,2500710
2015-03-24 05:30:00+05:30,78.55,79.45,78.15,78.35,2560026
2015-03-25 05:30:00+05:30,78.9,78.9,77.25,77.35,1892901
2015-03-26 05:30:00+05:30,77.5,78.25,76.0,76.2,4567870
2015-03-27 05:30:00+05:30,76.95,76.95,74.0,74.9,3761113
2015-03-30 05:30:00+05:30,75.6,75.85,73.55,74.35,4614892
2015-03-31 05:30:00+05:30,75.3,77.5,74.9,77.1,6840776
2015-04-01 05:30:00+05:30,77.05,77.9,76.7,77.5,2798293
2015-04-06 05:30:00+05:30,78.0,78.3,76.1,77.25,4749503
2015-04-07 05:30:00+05:30,77.8,79.0,77.2,78.4,2546427
2015-04-08 05:30:00+05:30,78.9,79.0,77.15,77.35,2227241
2015-04-09 05:30:00+05:30,77.8,78.6,77.35,78.35,1948487
2015-04-10 05:30:00+05:30,78.5,79.6,78.0,78.9,1930751
2015-04-13 05:30:00+05:30,79.2,80.45,78.9,80.15,2412265
2015-04-15 05:30:00+05:30,80.5,82.35,79.4,81.2,4619530
2015-04-16 05:30:00+05:30,81.2,81.3,79.35,80.2,1788962
2015-04-17 05:30:00+05:30,80.0,81.5,79.25,80.45,1602765
2015-04-20 05:30:00+05:30,80.4,81.05,78.45,78.75,1983867
2015-04-21 05:30:00+05:30,78.5,79.4,77.15,77.5,2395252
2015-04-22 05:30:00+05:30,77.6,79.45,76.55,78.65,3366177
2015-04-23 05:30:00+05:30,79.8,80.35,78.6,79.25,2348489
2015-04-24 05:30:00+05:30,79.3,79.35,77.6,78.1,1487555
2015-04-27 05:30:00+05:30,78.5,79.2,77.4,77.6,2222370
2015-04-28 05:30:00+05:30,77.4,78.6,76.55,77.9,2494510
2015-04-29 05:30:00+05:30,77.9,78.15,77.15,77.45,1615193
2015-04-30 05:30:00+05:30,77.45,77.95,74.4,75.8,6036198
2015-05-04 05:30:00+05:30,76.3,77.7,76.25,77.3,1665818
2015-05-05 05:30:00+05:30,77.2,77.35,76.0,76.1,1528185
2015-05-06 05:30:00+05:30,76.0,76.15,73.1,73.45,4113387
2015-05-07 05:30:00+05:30,73.4,73.65,70.55,71.7,5413380
