Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,39.7,40.59,39.7,40.43,25306790
2015-01-02 05:30:00+05:30,40.59,41.29,40.59,41.06,34328670
2015-01-05 05:30:00+05:30,41.29,42.13,41.29,41.66,52039580
2015-01-06 05:30:00+05:30,41.39,41.39,39.42,39.64,61686810
2015-01-07 05:30:00+05:30,39.77,39.77,38.35,38.88,47475600
2015-01-08 05:30:00+05:30,39.39,39.66,39.05,39.48,31688900
2015-01-09 05:30:00+05:30,40.19,40.48,39.5,39.95,50593600
2015-01-12 05:30:00+05:30,39.94,39.94,39.29,39.66,26901100
2015-01-13 05:30:00+05:30,39.69,39.87,39.01,39.14,30017750
2015-01-14 05:30:00+05:30,39.13,39.13,37.54,37.67,71272520
2015-01-15 05:30:00+05:30,37.87,38.86,37.2,38.46,70090690
2015-01-16 05:30:00+05:30,38.19,38.54,37.62,38.33,45370460
2015-01-19 05:30:00+05:30,38.45,38.68,38.04,38.46,27889210
2015-01-20 05:30:00+05:30,38.55,40.35,38.55,40.19,60159320
2015-01-21 05:30:00+05:30,40.49,40.59,39.34,39.7,38964640
2015-01-22 05:30:00+05:30,39.79,40.46,39.59,40.33,45262420
2015-01-23 05:30:00+05:30,40.99,41.19,39.89,40.3,45251140
2015-01-27 05:30:00+05:30,40.27,40.39,39.54,39.83,39710240
2015-01-28 05:30:00+05:30,39.69,39.69,38.88,39.1,39941540
2015-01-29 05:30:00+05:30,39.02,39.23,38.36,39.03,51612730
2015-01-30 05:30:00+05:30,39.24,39.49,38.64,39.03,35996470
2015-02-02 05:30:00+05:30,38.98,39.47,38.21,38.37,31779900
2015-02-03 05:30:00+05:30,38.69,38.73,37.8,38.1,34425190
2015-02-04 05:30:00+05:30,38.38,39.33,38.29,38.91,44190690
2015-02-05 05:30:00+05:30,39.16,39.27,37.79,37.91,31011380
2015-02-06 05:30:00+05:30,37.99,38.06,36.69,36.85,45179700
2015-02-09 05:30:00+05:30,35.69,36.14,34.61,34.73,75333310
2015-02-10 05:30:00+05:30,34.49,35.99,34.49,35.76,52795140
2015-02-11 05:30:00+05:30,35.99,36.86,35.29,36.49,39553750
2015-02-12 05:30:00+05:30,36.61,36.73,35.59,36.52,34145850
2015-02-13 05:30:00+05:30,36.86,37.17,36.51,36.64,37352550
2015-02-16 05:30:00+05:30,36.86,37.43,36.82,36.97,29904010
2015-02-18 05:30:00+05:30,37.18,37.18,36.46,36.74,32316210
2015-02-19 05:30:00+05:30,36.79,37.97,36.79,37.51,77501140
2015-02-20 05:30:00+05:30,37.79,38.17,37.29,37.46,34412860
2015-02-23 05:30:00+05:30,37.64,37.68,36.49,36.72,30841810
2015-02-24 05:30:00+05:30,36.8,36.99,35.71,35.9,32870620
2015-02-25 05:30:00+05:30,36.27,36.47,35.0,35.08,39310750
2015-02-26 05:30:00+05:30,35.22,35.48,34.41,34.51,80617520
2015-02-27 05:30:00+05:30,34.73,35.46,34.57,35.05,50130540
2015-02-28 05:30:00+05:30,35.6,36.44,34.64,35.51,74940860
2015-03-02 05:30:00+05:30,35.73,35.91,34.89,35.24,43788950
2015-03-03 05:30:00+05:30,35.29,35.77,34.94,35.3,51194440
2015-03-04 05:30:00+05:30,35.59,35.7,34.55,34.8,46718140
2015-03-05 05:30:00+05:30,34.84,34.91,34.11,34.31,47685900
2015-03-09 05:30:00+05:30,34.31,34.36,33.49,33.62,43673500
2015-03-10 05:30:00+05:30,33.8,33.89,32.99,33.15,40905230
2015-03-11 05:30:00+05:30,33.29,33.49,32.41,32.52,46807530
2015-03-12 05:30:00+05:30,32.76,33.63,32.73,33.31,43231190
2015-03-13 05:30:00+05:30,33.59,33.63,32.49,32.64,32786120
2015-03-16 05:30:00+05:30,32.87,32.87,32.3,32.61,27762010
2015-03-17 05:30:00+05:30,32.99,33.63,32.7,33.24,43276650
2015-03-18 05:30:00+05:30,33.56,33.56,32.92,33.16,30986880
2015-03-19 05:30:00+05:30,33.41,34.47,33.35,33.65,61467460
2015-03-20 05:30:00+05:30,33.65,34.13,32.69,32.86,57742590
2015-03-23 05:30:00+05:30,33.03,33.49,32.85,33.13,35791690
2015-03-24 05:30:00+05:30,33.0,33.38,32.41,32.7,44522970
2015-03-25 05:30:00+05:30,32.79,32.88,32.19,32.3,35436320
