Date,Open,High,Low,Close,Volume
2016-11-08 05:30:00+05:30,25.48,27.96,24.7,27.23,305744125
2016-11-09 05:30:00+05:30,23.29,26.67,23.29,25.74,13691740
2016-11-10 05:30:00+05:30,26.43,27.31,25.67,25.86,7757505
2016-11-11 05:30:00+05:30,25.72,26.67,25.48,26.11,5469225
2016-11-15 05:30:00+05:30,25.96,26.35,25.48,25.96,6065140
2016-11-16 05:30:00+05:30,26.07,26.49,25.54,25.82,1348375
2016-11-17 05:30:00+05:30,25.54,26.33,25.54,26.09,3663045
2016-11-18 05:30:00+05:30,26.07,26.37,25.78,26.1,1428705
2016-11-21 05:30:00+05:30,25.6,26.2,25.6,26.07,1251720
2016-11-22 05:30:00+05:30,25.61,26.33,25.61,26.12,1221180
2016-11-23 05:30:00+05:30,25.81,26.37,25.68,26.26,2689105
2016-11-24 05:30:00+05:30,26.01,26.18,25.85,25.98,464200
2016-11-25 05:30:00+05:30,25.84,26.13,25.72,25.86,752580
2016-11-28 05:30:00+05:30,26.07,26.07,25.19,25.36,765375
2016-11-29 05:30:00+05:30,25.44,26.07,25.22,25.78,671920
2016-11-30 05:30:00+05:30,25.66,26.16,25.66,26.04,881995
2016-12-01 05:30:00+05:30,25.79,26.07,25.6,25.66,290610
2016-12-02 05:30:00+05:30,25.54,26.01,25.54,25.61,321495
2016-12-05 05:30:00+05:30,25.49,25.84,25.3,25.63,412855
2016-12-06 05:30:00+05:30,25.78,25.78,24.9,25.07,330010
2016-12-07 05:30:00+05:30,24.92,25.24,24.15,24.33,841590
2016-12-08 05:30:00+05:30,24.41,25.48,24.36,25.05,658800
2016-12-09 05:30:00+05:30,25.2,25.21,24.54,24.6,316125
2016-12-12 05:30:00+05:30,24.0,25.01,24.0,24.94,337830
2016-12-13 05:30:00+05:30,24.41,24.96,24.41,24.75,121365
2016-12-14 05:30:00+05:30,24.95,24.95,24.63,24.68,270700
2016-12-15 05:30:00+05:30,24.3,24.95,24.3,24.89,394195
2016-12-16 05:30:00+05:30,24.62,25.24,24.36,24.47,1062405
2016-12-19 05:30:00+05:30,24.59,24.6,24.06,24.36,695340
2016-12-20 05:30:00+05:30,24.53,24.56,24.0,24.06,368745
2016-12-21 05:30:00+05:30,24.12,24.12,23.45,23.56,591235
2016-12-22 05:30:00+05:30,23.59,23.7,21.45,22.76,858660
2016-12-23 05:30:00+05:30,22.52,22.87,21.93,22.04,390865
2016-12-26 05:30:00+05:30,21.87,21.87,20.8,21.3,613680
2016-12-27 05:30:00+05:30,21.16,21.93,20.91,21.64,336915
2016-12-28 05:30:00+05:30,21.53,21.99,21.4,21.77,473130
2016-12-29 05:30:00+05:30,21.77,22.28,21.51,22.17,349315
2016-12-30 05:30:00+05:30,22.33,22.79,22.22,22.55,259935
2017-01-02 05:30:00+05:30,22.87,23.7,22.58,23.66,251710
2017-01-03 05:30:00+05:30,24.36,24.86,24.18,24.33,1051015
2017-01-04 05:30:00+05:30,24.71,24.77,24.0,24.6,488095
2017-01-05 05:30:00+05:30,24.68,24.88,24.36,24.76,457150
2017-01-06 05:30:00+05:30,24.76,24.81,24.3,24.47,309145
2017-01-09 05:30:00+05:30,24.48,24.89,24.18,24.74,396565
2017-01-10 05:30:00+05:30,24.43,24.83,24.43,24.73,168405
2017-01-11 05:30:00+05:30,24.76,24.77,24.41,24.49,416340
2017-01-12 05:30:00+05:30,24.48,24.71,24.48,24.56,229965
2017-01-13 05:30:00+05:30,24.34,24.89,24.34,24.73,452140
2017-01-16 05:30:00+05:30,24.41,24.79,24.41,24.54,198115
2017-01-17 05:30:00+05:30,24.74,24.74,24.3,24.41,175905
2017-01-18 05:30:00+05:30,24.6,24.63,24.09,24.2,1273255
2017-01-19 05:30:00+05:30,24.39,24.44,24.23,24.35,221290
2017-01-20 05:30:00+05:30,24.37,24.37,23.82,23.98,201015
2017-01-23 05:30:00+05:30,24.0,24.19,23.48,23.51,109350
2017-01-24 05:30:00+05:30,23.41,24.11,23.41,23.99,178965
2017-01-25 05:30:00+05:30,23.75,24.27,23.59,23.99,218050
2017-01-27 05:30:00+05:30,23.71,23.88,23.2,23.63,462510
2017-01-30 05:30:00+05:30,23.63,23.76,23.41,23.72,426100
2017-01-31 05:30:00+05:30,23.47,23.64,23.35,23.56,137335
2017-02-01 05:30:00+05:30,23.56,23.82,23.35,23.61,138910
2017-02-02 05:30:00+05:30,23.5,24.0,23.47,23.52,89440
2017-02-03 05:30:00+05:30,23.17,23.69,23.11,23.34,792960
2017-02-06 05:30:00+05:30,23.58,24.0,23.29,23.9,565380
2017-02-07 05:30:00+05:30,23.67,24.02,23.67,23.97,1235250
2017-02-08 05:30:00+05:30,23.7,24.0,23.6,23.94,380430
2017-02-09 05:30:00+05:30,23.8,23.94,23.64,23.93,375900
2017-02-10 05:30:00+05:30,23.86,23.92,23.59,23.84,129735
2017-02-13 05:30:00+05:30,23.65,23.96,23.65,23.94,419040
2017-02-14 05:30:00+05:30,23.76,23.85,23.61,23.76,133065
2017-02-15 05:30:00+05:30,23.92,23.94,23.59,23.91,443400
2017-02-16 05:30:00+05:30,23.97,23.97,23.23,23.78,2598720
2017-02-17 05:30:00+05:30,23.7,23.94,23.7,23.88,224205
2017-02-20 05:30:00+05:30,23.38,24.14,23.38,23.96,1583995
2017-02-21 05:30:00+05:30,23.78,24.0,23.48,23.71,2223420
2017-02-22 05:30:00+05:30,23.72,23.82,22.82,23.02,2061040
2017-02-23 05:30:00+05:30,22.82,23.41,22.53,23.16,655380
2017-02-27 05:30:00+05:30,23.29,23.58,22.91,23.42,203305
2017-02-28 05:30:00+05:30,23.42,23.76,22.99,23.13,943845
2017-03-01 05:30:00+05:30,23.64,23.64,22.52,22.85,1403415
2017-03-02 05:30:00+05:30,22.93,22.99,22.17,22.31,532375
2017-03-03 05:30:00+05:30,22.36,22.67,21.93,22.09,968625
2017-03-06 05:30:00+05:30,22.08,22.87,21.93,22.09,335310
2017-03-07 05:30:00+05:30,21.97,22.52,21.96,22.23,418635
2017-03-08 05:30:00+05:30,22.05,22.19,21.63,21.69,265110
2017-03-09 05:30:00+05:30,21.45,21.69,21.04,21.13,496435
2017-03-10 05:30:00+05:30,21.33,21.59,21.1,21.2,247050
2017-03-14 05:30:00+05:30,21.75,21.75,20.15,20.64,848535
2017-03-15 05:30:00+05:30,20.62,21.04,20.49,20.71,547620
2017-03-16 05:30:00+05:30,20.68,20.86,20.51,20.75,545775
2017-03-17 05:30:00+05:30,20.86,21.19,20.7,21.09,1347235
2017-03-20 05:30:00+05:30,21.19,23.04,21.07,22.19,2517205
2017-03-21 05:30:00+05:30,22.81,23.17,21.99,22.08,3646845
2017-03-22 05:30:00+05:30,21.93,22.49,21.68,22.13,2094055
2017-03-23 05:30:00+05:30,22.23,22.56,22.2,22.36,1526350
2017-03-24 05:30:00+05:30,22.33,22.56,22.22,22.4,5880570
2017-03-27 05:30:00+05:30,22.4,23.09,22.4,22.8,3960520
2017-03-28 05:30:00+05:30,22.92,23.09,22.52,22.6,418630
2017-03-29 05:30:00+05:30,22.58,22.81,22.34,22.45,304630
2017-03-30 05:30:00+05:30,22.16,22.86,22.16,22.76,417915
2017-03-31 05:30:00+05:30,22.64,24.89,22.49,24.0,10976245
2017-04-03 05:30:00+05:30,23.93,24.3,23.7,23.98,2186725
2017-04-05 05:30:00+05:30,23.96,24.55,23.94,24.33,1976170
2017-04-06 05:30:00+05:30,24.3,25.9,24.0,24.95,2762440
2017-04-07 05:30:00+05:30,24.85,25.6,24.81,25.21,1143855
2017-04-10 05:30:00+05:30,25.22,25.78,25.19,25.67,864600
2017-04-11 05:30:00+05:30,25.25,25.99,25.13,25.79,1001050
2017-04-12 05:30:00+05:30,25.36,26.9,25.2,26.72,4442145
2017-04-13 05:30:00+05:30,26.78,28.68,26.76,28.37,7348360
2017-04-17 05:30:00+05:30,28.74,29.57,28.16,28.31,3735760
2017-04-18 05:30:00+05:30,28.04,29.27,28.04,28.73,3122100
2017-04-19 05:30:00+05:30,28.52,29.21,28.44,29.0,3090580
2017-04-20 05:30:00+05:30,28.8,29.1,28.33,28.46,1137600
2017-04-21 05:30:00+05:30,28.68,28.68,26.49,27.63,3808780
2017-04-24 05:30:00+05:30,27.63,29.27,27.08,27.68,2137255
2017-04-25 05:30:00+05:30,27.85,28.39,27.26,27.39,1287895
2017-04-26 05:30:00+05:30,27.02,28.15,27.02,27.74,2183785
2017-04-27 05:30:00+05:30,28.14,28.21,27.47,28.02,923200
2017-04-28 05:30:00+05:30,27.75,28.27,27.66,27.87,695790
2017-05-02 05:30:00+05:30,27.32,27.91,27.32,27.87,1738120
2017-05-03 05:30:00+05:30,27.38,28.86,27.38,28.6,4530960
2017-05-04 05:30:00+05:30,28.3,28.85,27.81,27.94,1207935
2017-05-05 05:30:00+05:30,28.89,29.45,28.45,28.71,6121780
2017-05-08 05:30:00+05:30,28.51,29.63,28.51,29.16,3130150
2017-05-09 05:30:00+05:30,29.33,29.99,29.04,29.48,5071315
2017-05-10 05:30:00+05:30,29.67,29.84,29.37,29.58,1986685
2017-05-11 05:30:00+05:30,29.78,29.8,29.04,29.16,981115
2017-05-12 05:30:00+05:30,29.62,29.94,28.52,28.9,7155565
2017-05-15 05:30:00+05:30,28.92,29.6,28.74,28.84,912255
2017-05-16 05:30:00+05:30,28.98,29.3,28.92,29.2,1180140
2017-05-17 05:30:00+05:30,29.45,29.82,29.27,29.69,4286520
2017-05-18 05:30:00+05:30,29.05,29.53,28.95,29.08,1291680
2017-05-19 05:30:00+05:30,29.27,29.87,28.44,29.47,1177605
2017-05-22 05:30:00+05:30,29.16,29.39,28.48,29.13,681415
2017-05-23 05:30:00+05:30,28.65,29.18,28.15,28.55,1269670
2017-05-24 05:30:00+05:30,28.57,29.18,27.62,27.8,1349685
2017-05-25 05:30:00+05:30,28.27,28.91,27.52,28.61,2175055
2017-05-26 05:30:00+05:30,28.9,29.04,28.44,28.87,347055
2017-05-29 05:30:00+05:30,28.15,28.65,28.15,28.5,579240
2017-05-30 05:30:00+05:30,28.2,29.33,28.15,29.0,330045
2017-05-31 05:30:00+05:30,29.04,29.59,28.87,29.52,956850
2017-06-01 05:30:00+05:30,29.35,29.69,28.82,29.61,954045
2017-06-02 05:30:00+05:30,29.63,30.55,29.33,30.26,2659495
2017-06-05 05:30:00+05:30,30.46,31.94,30.33,31.34,4032520
2017-06-06 05:30:00+05:30,31.13,31.6,30.98,31.39,2095560
2017-06-07 05:30:00+05:30,29.75,31.17,29.75,30.72,1449895
2017-06-08 05:30:00+05:30,30.64,31.59,30.22,30.38,1225120
2017-06-09 05:30:00+05:30,30.63,31.37,30.26,30.45,2360175
2017-06-12 05:30:00+05:30,30.58,31.99,30.49,31.79,2402055
2017-06-13 05:30:00+05:30,31.94,32.47,31.41,32.29,2769630
2017-06-14 05:30:00+05:30,32.57,32.71,31.68,31.99,1202620
2017-06-15 05:30:00+05:30,31.98,32.65,31.98,32.34,833560
2017-06-16 05:30:00+05:30,32.23,33.25,31.05,32.52,17206495
2017-06-19 05:30:00+05:30,32.59,32.97,32.02,32.31,411655
2017-06-20 05:30:00+05:30,30.04,32.18,30.04,31.79,201375
2017-06-21 05:30:00+05:30,31.41,31.93,30.65,30.91,750265
2017-06-22 05:30:00+05:30,31.32,31.32,30.84,30.91,385800
2017-06-23 05:30:00+05:30,31.13,31.13,30.34,30.48,463425
2017-06-27 05:30:00+05:30,30.12,30.55,29.39,29.96,562180
2017-06-28 05:30:00+05:30,29.75,30.99,29.69,30.39,2000290
2017-06-29 05:30:00+05:30,30.99,31.4,30.48,30.78,2864965
2017-06-30 05:30:00+05:30,30.0,32.0,30.0,31.69,430405
2017-07-03 05:30:00+05:30,31.48,31.7,30.66,30.87,674125
2017-07-04 05:30:00+05:30,31.41,31.41,30.61,31.01,264390
2017-07-05 05:30:00+05:30,30.98,31.29,30.64,30.88,629410
2017-07-06 05:30:00+05:30,30.93,32.3,30.87,31.19,980070
2017-07-07 05:30:00+05:30,31.04,33.74,30.94,31.52,20002570
2017-07-10 05:30:00+05:30,31.64,31.64,28.21,30.93,256810
2017-07-11 05:30:00+05:30,31.05,31.34,30.23,31.08,1037745
2017-07-12 05:30:00+05:30,31.08,32.47,30.28,32.08,5801310
2017-07-13 05:30:00+05:30,32.39,32.52,31.11,31.41,738745
2017-07-14 05:30:00+05:30,31.11,31.7,30.52,30.98,665185
2017-07-17 05:30:00+05:30,30.81,31.08,30.34,30.49,327145
2017-07-18 05:30:00+05:30,30.58,30.58,29.75,30.22,2979450
2017-07-19 05:30:00+05:30,30.23,30.7,30.0,30.34,292920
2017-07-20 05:30:00+05:30,30.22,30.9,30.1,30.26,298420
2017-07-21 05:30:00+05:30,30.48,30.48,29.75,29.91,264865
2017-07-24 05:30:00+05:30,29.97,30.46,29.56,29.73,223350
2017-07-25 05:30:00+05:30,29.33,30.81,29.33,29.93,2183485
2017-07-26 05:30:00+05:30,29.57,30.72,29.57,30.49,499065
2017-07-27 05:30:00+05:30,30.76,30.81,29.75,29.85,386700
2017-07-28 05:30:00+05:30,29.76,31.35,29.64,30.33,13362205
2017-07-31 05:30:00+05:30,30.23,30.23,29.05,29.52,375595
2017-08-01 05:30:00+05:30,29.52,29.93,29.22,29.65,3629605
2017-08-02 05:30:00+05:30,29.63,29.92,29.37,29.62,207220
2017-08-03 05:30:00+05:30,29.05,29.68,29.05,29.51,409020
2017-08-04 05:30:00+05:30,29.51,30.24,29.51,29.78,519955
2017-08-07 05:30:00+05:30,30.09,30.95,29.99,30.78,875005
2017-08-08 05:30:00+05:30,30.78,31.57,30.46,30.89,3247225
2017-08-09 05:30:00+05:30,30.55,31.69,30.55,31.21,568825
