Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,213.7,219.7,212.2,219.25,2304326
2015-01-02 05:30:00+05:30,219.35,224.45,219.35,222.3,3270358
2015-01-05 05:30:00+05:30,222.5,225.3,218.1,219.8,3512083
2015-01-06 05:30:00+05:30,217.95,219.5,206.75,209.05,6095798
2015-01-07 05:30:00+05:30,209.0,211.85,204.15,209.0,3410940
2015-01-08 05:30:00+05:30,211.3,212.65,205.55,210.5,3956233
2015-01-09 05:30:00+05:30,213.9,213.9,206.6,207.8,2842333
2015-01-12 05:30:00+05:30,207.05,208.0,204.25,206.25,2641823
2015-01-13 05:30:00+05:30,207.0,209.0,203.3,204.6,4640762
2015-01-14 05:30:00+05:30,202.0,203.0,185.85,188.1,10865065
2015-01-15 05:30:00+05:30,188.5,192.5,186.5,189.7,7275654
2015-01-16 05:30:00+05:30,191.6,194.9,190.0,193.25,6323218
2015-01-19 05:30:00+05:30,195.0,195.95,192.05,193.15,2577634
2015-01-20 05:30:00+05:30,193.5,205.0,192.6,204.15,7450225
2015-01-21 05:30:00+05:30,205.4,206.0,196.55,199.65,5341348
2015-01-22 05:30:00+05:30,203.8,206.8,198.6,201.1,6966585
2015-01-23 05:30:00+05:30,203.5,206.7,200.4,205.4,5078703
2015-01-27 05:30:00+05:30,204.8,208.15,201.8,207.3,4559087
2015-01-28 05:30:00+05:30,206.25,206.95,198.45,201.15,3755411
2015-01-29 05:30:00+05:30,199.5,203.9,196.4,201.45,10159523
2015-01-30 05:30:00+05:30,203.0,204.8,196.45,201.95,5627736
2015-02-02 05:30:00+05:30,199.5,205.0,197.55,198.2,3557339
2015-02-03 05:30:00+05:30,201.0,212.0,198.2,210.7,7921272
2015-02-04 05:30:00+05:30,212.05,219.6,210.7,216.6,7754951
2015-02-05 05:30:00+05:30,215.0,215.65,206.55,207.8,2866989
2015-02-06 05:30:00+05:30,207.5,213.4,206.55,210.6,3334756
2015-02-09 05:30:00+05:30,208.5,210.0,198.6,200.8,2464805
2015-02-10 05:30:00+05:30,200.55,207.4,199.55,206.35,2110708
2015-02-11 05:30:00+05:30,206.0,211.6,202.0,208.25,2673304
2015-02-12 05:30:00+05:30,208.9,215.2,204.6,212.65,3097817
