Date,Open,High,Low,Close,Volume
2015-01-01 05:30:00+05:30,103.6,103.95,103.22,103.58,270638
2015-01-02 05:30:00+05:30,103.76,105.05,103.69,104.49,1049738
2015-01-05 05:30:00+05:30,104.45,105.94,104.16,104.68,959650
2015-01-06 05:30:00+05:30,104.06,104.33,101.64,102.23,3099176
2015-01-07 05:30:00+05:30,101.85,102.19,100.94,101.46,2076396
2015-01-08 05:30:00+05:30,104.28,104.79,101.85,102.19,1948034
2015-01-09 05:30:00+05:30,102.98,105.0,101.86,103.78,3396780
2015-01-12 05:30:00+05:30,103.13,104.81,102.69,104.26,1105448
2015-01-13 05:30:00+05:30,104.46,106.26,104.06,105.66,1578170
2015-01-14 05:30:00+05:30,106.13,106.78,103.13,103.49,2430964
2015-01-15 05:30:00+05:30,105.0,105.75,103.36,104.91,1748356
2015-01-16 05:30:00+05:30,105.15,105.64,103.67,104.07,2076170
2015-01-19 05:30:00+05:30,110.83,112.22,109.19,109.54,8083552
2015-01-20 05:30:00+05:30,109.89,111.38,109.29,110.7,3347650
2015-01-21 05:30:00+05:30,110.55,111.56,108.12,110.38,4425354
2015-01-22 05:30:00+05:30,110.63,112.07,109.63,111.48,4864662
2015-01-23 05:30:00+05:30,112.35,113.25,110.67,112.84,4819460
2015-01-27 05:30:00+05:30,112.95,113.58,111.56,112.23,3941138
2015-01-28 05:30:00+05:30,111.75,114.75,111.7,113.86,4192492
2015-01-29 05:30:00+05:30,114.0,115.22,112.46,113.01,3372082
2015-01-30 05:30:00+05:30,113.79,114.38,111.97,113.73,2348298
2015-02-02 05:30:00+05:30,114.75,117.69,114.19,117.21,3987164
2015-02-03 05:30:00+05:30,117.0,117.76,115.83,116.54,2116386
2015-02-04 05:30:00+05:30,116.85,118.11,115.55,116.1,2230816
2015-02-05 05:30:00+05:30,116.43,120.58,116.42,119.67,3065904
2015-02-06 05:30:00+05:30,119.63,122.76,119.25,120.61,2768578
2015-02-09 05:30:00+05:30,119.98,121.88,119.18,121.46,1698644
2015-02-10 05:30:00+05:30,120.19,122.25,119.5,120.49,2785146
2015-02-11 05:30:00+05:30,121.13,121.69,118.72,119.7,3541626
2015-02-12 05:30:00+05:30,120.66,122.44,120.23,121.28,2409940
2015-02-13 05:30:00+05:30,121.5,124.48,121.28,123.88,2309792
2015-02-16 05:30:00+05:30,123.92,125.11,123.75,124.03,1279368
2015-02-18 05:30:00+05:30,124.13,125.81,122.91,125.44,1511394
2015-02-19 05:30:00+05:30,125.44,125.44,122.81,123.66,1845512
2015-02-20 05:30:00+05:30,123.66,123.94,121.41,121.88,1212446
2015-02-23 05:30:00+05:30,121.88,123.38,120.67,121.83,1422466
2015-02-24 05:30:00+05:30,122.34,123.71,121.8,122.44,2108402
2015-02-25 05:30:00+05:30,122.54,124.8,122.27,124.46,2457268
2015-02-26 05:30:00+05:30,124.46,125.42,122.14,123.36,2619602
2015-02-27 05:30:00+05:30,123.19,123.49,121.63,122.68,3066156
2015-02-28 05:30:00+05:30,123.15,124.41,122.25,123.6,1160190
2015-03-02 05:30:00+05:30,123.77,126.45,122.63,124.59,2464912
