symbol,start_date,end_date
NSE:YESBANK-EQ,2015-01-01,2020-03-19
NSE:SHREECEM-EQ,2020-03-19,2022-09-30
NSE:VEDL-EQ,2015-01-01,2020-07-31
NSE:HDFCLIFE-EQ,2020-07-31,2026-01-01
NSE:ZEEL-EQ,2015-01-01,2020-09-25
NSE:SBILIFE-EQ,2020-09-25,2026-01-01
NSE:INDUSTOWER-EQ,2015-01-01,2020-09-25
NSE:DIVISLAB-EQ,2020-09-25,2024-09-30
NSE:GAIL-EQ,2015-01-01,2021-03-31
NSE:TATACONSUM-EQ,2021-03-31,2026-01-01
NSE:IOC-EQ,2015-01-01,2022-03-31
NSE:APOLLOHOSP-EQ,2022-03-31,2026-01-01
NSE:ADANIENT-EQ,2022-09-30,2026-01-01
NSE:HDFC-EQ,2015-01-01,2023-07-13
NSE:LTIM-EQ,2023-07-13,2024-09-30
NSE:UPL-EQ,2015-01-01,2024-03-28
NSE:SHRIRAMFIN-EQ,2024-03-28,2026-01-01
NSE:BEL-EQ,2024-09-30,2026-01-01
NSE:TRENT-EQ,2024-09-30,2026-01-01
NSE:BPCL-EQ,2015-01-01,2025-03-28
NSE:JIOFIN-EQ,2025-03-28,2026-01-01
NSE:BRITANNIA-EQ,2015-01-01,2025-03-28
NSE:ETERNAL-EQ,2025-03-28,2026-01-01
