stock,entry_time,avg_entry_price,last_entry_price,quantity,exit_time,exit_price,tp,sl,trades,pnl,tax,mtf_charge,leverage,mtf_rate_daily,max_mtf_days,brokerage,returns,cum_pnl,cum_max,drawdown,drawdown_pct
NSE:AUBANK-EQ,2020-01-01 11:00:00,397.28,397.28,252,2020-01-01 12:05:00,398.0,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 11:00:00'), 'entry_price': 397.28, 'quantity': 252}]",141.28000000000688,40.16,0.0,1,0.00019199999999999998,100,0,0.0014111833483561919,500141.28,500141.28,0.0,0.0
NSE:APOLLOTYRE-EQ,2020-01-01 11:00:00,163.6,163.6,611,2020-01-01 12:05:00,163.85,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 11:00:00'), 'entry_price': 163.6, 'quantity': 611}]",112.66,40.09,0.0,1,0.00019199999999999998,100,0,0.0011270553303534628,500253.94,500253.94,0.0,0.0
NSE:ADANIENT-EQ,2020-01-01 11:00:00,208.3,208.3,480,2020-01-01 12:10:00,208.15,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 11:00:00'), 'entry_price': 208.3, 'quantity': 480}]",-112.09000000000273,40.09,0.0,1,0.00019199999999999998,100,0,-0.0011210793726996592,500141.85,500253.94,-112.09000000002561,-0.022406620125775642
NSE:AUROPHARMA-EQ,2020-01-01 11:00:00,458.4,458.4,218,2020-01-01 12:15:00,459.25,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 11:00:00'), 'entry_price': 458.4, 'quantity': 218}]",145.22000000000497,40.08,0.0,1,0.00019199999999999998,100,0,0.0014531998014634567,500287.07,500287.07,0.0,0.0
NSE:BAJAJ-AUTO-EQ,2020-01-01 11:00:00,3175.35,3175.35,31,2020-01-02 09:15:00,3165.95,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 11:00:00'), 'entry_price': 3175.35, 'quantity': 31}]",-330.8500000000028,39.45,0.0,1,0.00019199999999999998,100,0,-0.0033610722109882,499956.22000000003,500287.07,-330.8499999999767,-0.06613203095574241
NSE:BOSCHLTD-EQ,2020-01-01 12:05:00,15403.0,15403.0,6,2020-01-01 12:55:00,15437.6,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 12:05:00'), 'entry_price': 15403.0, 'quantity': 6}]",170.5300000000022,37.07,0.0,1,0.00019199999999999998,100,0,0.0018452033153714882,500126.75,500287.07,-160.32000000000698,-0.032045601338448935
NSE:BANDHANBNK-EQ,2020-01-01 12:05:00,505.6,505.6,198,2020-01-01 14:40:00,503.5,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 12:05:00'), 'entry_price': 505.6, 'quantity': 198}]",-455.9100000000045,40.11,0.0,1,0.00019199999999999998,100,0,-0.00455414509014197,499670.84,500287.07,-616.2299999999814,-0.12317528014465402
NSE:COLPAL-EQ,2020-01-01 12:10:00,1457.75,1457.75,69,2020-01-01 12:15:00,1460.6,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 12:10:00'), 'entry_price': 1457.75, 'quantity': 69}]",156.29999999999373,40.35,0.0,1,0.00019199999999999998,100,0,0.001553913490862121,499827.14,500287.07,-459.929999999993,-0.09193321746252467
NSE:IRB-EQ,2020-01-01 12:15:00,7.349999999999999,7.35,13618,2020-01-01 13:45:00,7.35,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 12:15:00'), 'entry_price': 7.35, 'quantity': 13618}]",-40.13999999998791,40.14,0.0,1,0.00019199999999999998,100,0,-0.00040102984944883783,499787.0,500287.07,-500.070000000007,-0.09995661091141271
NSE:BDL-EQ,2020-01-01 12:15:00,147.03,147.03,681,2020-01-01 12:25:00,147.48,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 12:15:00'), 'entry_price': 147.03, 'quantity': 681}]",266.27999999999224,40.17,0.0,1,0.00019199999999999998,100,0,0.0026594111124193663,500053.28,500287.07,-233.78999999997905,-0.04673116976618625
NSE:ASTRAL-EQ,2020-01-01 12:25:00,656.55,656.55,153,2020-01-01 13:00:00,660.38,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 12:25:00'), 'entry_price': 656.55, 'quantity': 153}]",545.6700000000062,40.32,0.0,1,0.00019199999999999998,100,0,0.005432138585386238,500598.95,500598.95,0.0,0.0
NSE:COFORGE-EQ,2020-01-01 13:00:00,317.14,317.14,316,2020-01-01 14:45:00,316.81,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 13:00:00'), 'entry_price': 317.14, 'quantity': 316}]",-144.45999999999498,40.18,0.0,1,0.00019199999999999998,100,0,-0.0014414829372963404,500454.49,500598.95,-144.46000000002095,-0.028857431682591615
NSE:DMART-EQ,2020-01-01 13:45:00,1827.35,1827.35,55,2020-01-01 15:20:00,1833.5,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 13:45:00'), 'entry_price': 1827.35, 'quantity': 55}]",297.930000000005,40.32,0.0,1,0.00019199999999999998,100,0,0.002964352253760463,500752.42000000004,500752.42000000004,0.0,0.0
NSE:MAHABANK-EQ,2020-01-01 14:40:00,12.75,12.75,7858,2020-01-01 14:50:00,12.9,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 14:40:00'), 'entry_price': 12.75, 'quantity': 7858}]",1138.4400000000028,40.26,0.0,1,0.00019199999999999998,100,0,0.011362867366340812,501890.86000000004,501890.86000000004,0.0,0.0
NSE:BANKINDIA-EQ,2020-01-01 14:45:00,69.9,69.9,1433,2020-01-01 15:10:00,70.3,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 14:45:00'), 'entry_price': 69.9, 'quantity': 1433}]",532.9899999999877,40.21,0.0,1,0.00019199999999999998,100,0,0.005321029843251177,502423.85000000003,502423.85000000003,0.0,0.0
NSE:ABFRL-EQ,2020-01-01 14:50:00,234.25,234.25,429,2020-01-01 14:55:00,235.5,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 14:50:00'), 'entry_price': 234.25, 'quantity': 429}]",495.92,40.33,0.0,1,0.00019199999999999998,100,0,0.004934858808924978,502919.77,502919.77,0.0,0.0
NSE:APOLLOTYRE-EQ,2020-01-01 14:55:00,163.25,163.25,616,2020-01-01 15:20:00,163.6,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 14:55:00'), 'entry_price': 163.25, 'quantity': 616}]",175.2599999999965,40.34,0.0,1,0.00019199999999999998,100,0,0.0017428054334638979,503095.03,503095.03,0.0,0.0
NSE:APLAPOLLO-EQ,2020-01-01 15:10:00,189.53,189.53,531,2020-01-02 10:05:00,190.68,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 15:10:00'), 'entry_price': 189.53, 'quantity': 531}]",570.2500000000031,40.4,0.0,1,0.00019199999999999998,100,0,0.005666211879261675,503665.28,503665.28,0.0,0.0
NSE:CHOLAFIN-EQ,2020-01-01 15:20:00,302.75,302.75,333,2020-01-02 09:25:00,304.25,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 15:20:00'), 'entry_price': 302.75, 'quantity': 333}]",459.04,40.46,0.0,1,0.00019199999999999998,100,0,0.004553256807592068,504124.32,504124.32,0.0,0.0
NSE:BOSCHLTD-EQ,2020-01-01 15:20:00,15273.0,15273.0,7,2020-01-02 09:20:00,15350.0,0.0,0.0,"[{'entry_time': Timestamp('2020-01-01 15:20:00'), 'entry_price': 15273.0, 'quantity': 7}]",496.09000000000003,42.91,0.0,1,0.00019199999999999998,100,0,0.004640214758069796,504620.41000000003,504620.41000000003,0.0,0.0
